time,status,x,y,z
20160811T17:22:25.064519,1,1753533,1753533,1753533
20160811T17:22:25.072331,1,1753534,1753534,1753534
20160811T17:22:25.080143,1,1753535,1753535,1753535
20160811T17:22:25.087956,1,1753536,1753536,1753536
20160811T17:22:25.095769,1,1753537,1753537,1753537
20160811T17:22:25.103581,1,1753538,1753538,1753538
20160811T17:22:25.111393,1,1753539,1753539,1753539
20160811T17:22:25.119206,1,1753540,1753540,1753540
20160811T17:22:25.127019,1,1753541,1753541,1753541
20160811T17:22:25.134831,1,1753542,1753542,1753542
20160811T17:22:25.142643,1,1753543,1753543,1753543
20160811T17:22:25.150456,1,1753544,1753544,1753544
20160811T17:22:25.158269,1,1753545,1753545,1753545
20160811T17:22:25.166081,1,1753546,1753546,1753546
20160811T17:22:25.173893,1,1753547,1753547,1753547
20160811T17:22:25.181706,1,1753548,1753548,1753548
20160811T17:22:25.189519,1,1753549,1753549,1753549
20160811T17:22:25.197331,1,1753550,1753550,1753550
20160811T17:22:25.205143,1,1753551,1753551,1753551
20160811T17:22:25.212956,1,1753552,1753552,1753552
20160811T17:22:25.220769,1,1753553,1753553,1753553
20160811T17:22:25.228581,1,1753554,1753554,1753554
20160811T17:22:25.236393,1,1753555,1753555,1753555
20160811T17:22:25.244206,1,1753556,1753556,1753556
20160811T17:22:25.252019,1,1753557,1753557,1753557
20160811T17:22:25.259831,1,1753558,1753558,1753558
20160811T17:22:25.267643,1,1753559,1753559,1753559
20160811T17:22:25.275456,1,1753560,1753560,1753560
20160811T17:22:25.283269,1,1753561,1753561,1753561
20160811T17:22:25.291081,1,1753562,1753562,1753562
20160811T17:22:25.298893,1,1753563,1753563,1753563
20160811T17:22:25.306706,1,1753564,1753564,1753564
20160811T17:22:25.314519,1,1753565,1753565,1753565
20160811T17:22:25.322331,1,1753566,1753566,1753566
20160811T17:22:25.330143,1,1753567,1753567,1753567
20160811T17:22:25.337956,1,1753568,1753568,1753568
20160811T17:22:25.345769,1,1753569,1753569,1753569
20160811T17:22:25.353581,1,1753570,1753570,1753570
20160811T17:22:25.361393,1,1753571,1753571,1753571
20160811T17:22:25.369206,1,1753572,1753572,1753572
20160811T17:22:25.377019,1,1753573,1753573,1753573
20160811T17:22:25.384831,1,1753574,1753574,1753574
20160811T17:22:25.392643,1,1753575,1753575,1753575
20160811T17:22:25.400456,1,1753576,1753576,1753576
20160811T17:22:25.408269,1,1753577,1753577,1753577
20160811T17:22:25.416081,1,1753578,1753578,1753578
20160811T17:22:25.423893,1,1753579,1753579,1753579
20160811T17:22:25.431706,1,1753580,1753580,1753580
20160811T17:22:25.439519,1,1753581,1753581,1753581
20160811T17:22:25.447331,1,1753582,1753582,1753582
20160811T17:22:25.455143,1,1753583,1753583,1753583
20160811T17:22:25.462956,1,1753584,1753584,1753584
20160811T17:22:25.470769,1,1753585,1753585,1753585
20160811T17:22:25.478581,1,1753586,1753586,1753586
20160811T17:22:25.486393,1,1753587,1753587,1753587
20160811T17:22:25.494206,1,1753588,1753588,1753588
20160811T17:22:25.502019,1,1753589,1753589,1753589
20160811T17:22:25.509831,1,1753590,1753590,1753590
20160811T17:22:25.517643,1,1753591,1753591,1753591
20160811T17:22:25.525456,1,1753592,1753592,1753592
20160811T17:22:25.533269,1,1753593,1753593,1753593
20160811T17:22:25.541081,1,1753594,1753594,1753594
20160811T17:22:25.548893,1,1753595,1753595,1753595
20160811T17:22:25.556706,1,1753596,1753596,1753596
20160811T17:22:25.564519,1,1753597,1753597,1753597
20160811T17:22:25.572331,1,1753598,1753598,1753598
