Time,Bx,By,Bz,status
2016-08-22T13:10:00.206137,427426,427426,427426,0,
2016-08-22T13:10:00.284261,427436,427436,427436,0,
2016-08-22T13:09:47.260824,0,0,0,0,
2016-08-22T13:09:47.338949,427457,427457,427457,0,
2016-08-22T13:09:47.495199,427477,427477,427477,0,
2016-08-22T13:09:47.651449,427497,427497,427497,0,
2016-08-22T13:09:47.729574,427507,427507,427507,0,
2016-08-22T13:09:47.885824,427527,427527,427527,0,
2016-08-22T13:09:48.042074,427547,427547,427547,0,
2016-08-22T13:09:48.198324,427567,427567,427567,0,
2016-08-22T13:09:48.276449,427577,427577,427577,0,
2016-08-22T13:09:48.354574,427587,427587,427587,0,
2016-08-22T13:09:48.432699,427597,427597,427597,0,
2016-08-22T13:09:48.510824,427607,427607,427607,0,
2016-08-22T13:09:48.588949,427617,427617,427617,0,
2016-08-22T13:09:48.667074,427627,427627,427627,0,
2016-08-22T13:09:48.823324,427647,427647,427647,0,
2016-08-22T13:09:49.135824,427687,427687,427687,0,
2016-08-22T13:09:49.213949,427697,427697,427697,0,
2016-08-22T13:09:49.292074,427707,427707,427707,0,
2016-08-22T13:09:49.370199,427717,427717,427717,0,
2016-08-22T13:09:49.448324,427727,427727,427727,0,
2016-08-22T13:09:49.526449,427737,427737,427737,0,
2016-08-22T13:09:49.604574,427747,427747,427747,0,
2016-08-22T13:09:49.917074,427787,427787,427787,0,
2016-08-22T13:09:49.995199,427797,427797,427797,0,
2016-08-22T13:09:50.073324,427807,427807,427807,0,
2016-08-22T13:09:50.151449,427817,427817,427817,0,
2016-08-22T13:09:50.229574,427827,427827,427827,0,
2016-08-22T13:09:50.307699,427837,427837,427837,0,
2016-08-22T13:09:50.385824,427847,427847,427847,0,
2016-08-22T13:09:50.463949,427857,427857,427857,0,
2016-08-22T13:09:50.542074,427867,427867,427867,0,
2016-08-22T13:09:50.620199,427877,427877,427877,0,
2016-08-22T13:09:50.698324,427887,427887,427887,0,
2016-08-22T13:09:50.854574,427907,427907,427907,0,
2016-08-22T13:09:50.932699,427917,427917,427917,0,
2016-08-22T13:09:51.088949,427937,427937,427937,0,
2016-08-22T13:09:51.245199,427957,427957,427957,0,
2016-08-22T13:09:51.323324,427967,427967,427967,0,
2016-08-22T13:09:51.401449,427977,427977,427977,0,
2016-08-22T13:09:51.557699,427997,427997,427997,0,
2016-08-22T13:09:51.635824,428007,428007,428007,0,
2016-08-22T13:09:51.792074,428027,428027,428027,0,
2016-08-22T13:09:52.182699,428077,428077,428077,0,
2016-08-22T13:09:52.260824,428087,428087,428087,0,
2016-08-22T13:09:52.417074,428107,428107,428107,0,
2016-08-22T13:09:52.495199,428117,428117,428117,0,
2016-08-22T13:09:52.573324,428127,428127,428127,0,
2016-08-22T13:09:52.651449,428137,428137,428137,0,
2016-08-22T13:09:52.729574,428147,428147,428147,0,
2016-08-22T13:09:52.807699,428157,428157,428157,0,
2016-08-22T13:09:52.885824,428167,428167,428167,0,
2016-08-22T13:09:53.042074,428187,428187,428187,0,
2016-08-22T13:09:53.120199,428197,428197,428197,0,
2016-08-22T13:09:53.276449,428217,428217,428217,0,
2016-08-22T13:09:53.354574,428227,428227,428227,0,
2016-08-22T13:09:53.588949,428257,428257,428257,0,
2016-08-22T13:09:53.667074,428267,428267,428267,0,
2016-08-22T13:09:53.745199,428277,428277,428277,0,
2016-08-22T13:09:53.901449,428297,428297,428297,0,
2016-08-22T13:09:54.057699,428317,428317,428317,0,
2016-08-22T13:09:54.135824,428327,428327,428327,0,
2016-08-22T13:09:54.213949,428337,428337,428337,0,
2016-08-22T13:09:54.292074,428347,428347,428347,0,
2016-08-22T13:09:54.370199,428357,428357,428357,0,
2016-08-22T13:09:54.448324,428367,428367,428367,0,
2016-08-22T13:09:54.526449,428377,428377,428377,0,
2016-08-22T13:09:54.682699,428397,428397,428397,0,
2016-08-22T13:09:54.760824,428407,428407,428407,0,
2016-08-22T13:09:54.917074,428427,428427,428427,0,
2016-08-22T13:09:54.995199,428437,428437,428437,0,
2016-08-22T13:09:55.151449,428457,428457,428457,0,
2016-08-22T13:09:55.229574,428467,428467,428467,0,
2016-08-22T13:09:55.307699,428477,428477,428477,0,
2016-08-22T13:09:55.698324,428527,428527,428527,0,
2016-08-22T13:09:55.854574,428547,428547,428547,0,
2016-08-22T13:09:55.932699,428557,428557,428557,0,
2016-08-22T13:09:56.088949,428577,428577,428577,0,
2016-08-22T13:09:56.167074,428587,428587,428587,0,
