Time,Sensor_Laser,Laser_Micro,Zeeman,Sci_Data_ID,Sci_Data,Timestamp
20160817T174738.508872,195,195,195,195,30403,30403
20160817T174738.516684,196,196,196,196,30404,30404
20160817T174738.524496,197,197,197,197,30405,30405
20160817T174738.532309,198,198,198,198,30406,30406
20160817T174738.540122,199,199,199,199,30407,30407
20160817T174738.547934,200,200,200,200,30408,30408
20160817T174738.555746,201,201,201,201,30409,30409
20160817T174738.563559,202,202,202,202,30410,30410
20160817T174738.571372,203,203,203,203,30411,30411
20160817T174738.579184,204,204,204,204,30412,30412
20160817T174738.586996,205,205,205,205,30413,30413
20160817T174738.594809,206,206,206,206,30414,30414
20160817T174738.602622,207,207,207,207,30415,30415
20160817T174738.610434,208,208,208,208,30416,30416
20160817T174738.618246,209,209,209,209,30417,30417
20160817T174738.626059,210,210,210,210,30418,30418
20160817T174738.633872,211,211,211,211,30419,30419
20160817T174738.641684,212,212,212,212,30420,30420
20160817T174738.649496,213,213,213,213,30421,30421
20160817T174738.657309,214,214,214,214,30422,30422
20160817T174738.665122,215,215,215,215,30423,30423
20160817T174738.672934,216,216,216,216,30424,30424
20160817T174738.680746,217,217,217,217,30425,30425
20160817T174738.688559,218,218,218,218,30426,30426
20160817T174738.696372,219,219,219,219,30427,30427
20160817T174738.704184,220,220,220,220,30428,30428
20160817T174738.711996,221,221,221,221,30429,30429
20160817T174738.719809,222,222,222,222,30430,30430
20160817T174738.727622,223,223,223,223,30431,30431
20160817T174738.735434,224,224,224,224,30432,30432
20160817T174738.743246,225,225,225,225,30433,30433
20160817T174738.751059,226,226,226,226,30434,30434
20160817T174738.758872,227,227,227,227,30435,30435
20160817T174738.766684,228,228,228,228,30436,30436
20160817T174738.774496,229,229,229,229,30437,30437
20160817T174738.782309,230,230,230,230,30438,30438
20160817T174738.790122,231,231,231,231,30439,30439
20160817T174738.797934,232,232,232,232,30440,30440
20160817T174738.805746,233,233,233,233,30441,30441
20160817T174738.813559,234,234,234,234,30442,30442
20160817T174738.821372,235,235,235,235,30443,30443
20160817T174738.829184,236,236,236,236,30444,30444
20160817T174738.836996,237,237,237,237,30445,30445
20160817T174738.844809,238,238,238,238,30446,30446
20160817T174738.852622,239,239,239,239,30447,30447
20160817T174738.860434,240,240,240,240,30448,30448
20160817T174738.868246,241,241,241,241,30449,30449
20160817T174738.876059,242,242,242,242,30450,30450
20160817T174738.883872,243,243,243,243,30451,30451
20160817T174738.891684,244,244,244,244,30452,30452
20160817T174738.899496,245,245,245,245,30453,30453
20160817T174738.907309,246,246,246,246,30454,30454
20160817T174738.915122,247,247,247,247,30455,30455
20160817T174738.922934,248,248,248,248,30456,30456
20160817T174738.930746,249,249,249,249,30457,30457
20160817T174738.938559,250,250,250,250,30458,30458
20160817T174738.946372,251,251,251,251,30459,30459
20160817T174738.954184,252,252,252,252,30460,30460
20160817T174738.961996,253,253,253,253,30461,30461
20160817T174738.969809,254,254,254,254,30462,30462
20160817T174738.977622,255,255,255,255,30463,30463
20160817T174738.985434,0,0,0,0,30464,30464
20160817T174738.993246,1,1,1,1,30465,30465
20160817T174739.001059,2,2,2,2,30466,30466
20160817T174739.008872,3,3,3,3,30467,30467
20160817T174739.016684,4,4,4,4,30468,30468
20160817T174739.024496,5,5,5,5,30469,30469
20160817T174739.032309,6,6,6,6,30470,30470
20160817T174739.040122,7,7,7,7,30471,30471
20160817T174739.047934,8,8,8,8,30472,30472
20160817T174739.055746,9,9,9,9,30473,30473
20160817T174739.063559,10,10,10,10,30474,30474
20160817T174739.071372,11,11,11,11,30475,30475
20160817T174739.079184,12,12,12,12,30476,30476
20160817T174739.086996,13,13,13,13,30477,30477
20160817T174739.094809,14,14,14,14,30478,30478
20160817T174739.102622,15,15,15,15,30479,30479
20160817T174739.110434,16,16,16,16,30480,30480
20160817T174739.118246,17,17,17,17,30481,30481
20160817T174739.126059,18,18,18,18,30482,30482
20160817T174739.133872,19,19,19,19,30483,30483
20160817T174739.141684,20,20,20,20,30484,30484
20160817T174739.149496,21,21,21,21,30485,30485
20160817T174739.157309,22,22,22,22,30486,30486
20160817T174739.165122,23,23,23,23,30487,30487
20160817T174739.172934,24,24,24,24,30488,30488
20160817T174739.180746,25,25,25,25,30489,30489
20160817T174739.188559,26,26,26,26,30490,30490
20160817T174739.196372,27,27,27,27,30491,30491
20160817T174739.204184,28,28,28,28,30492,30492
20160817T174739.211996,29,29,29,29,30493,30493
20160817T174739.219809,30,30,30,30,30494,30494
20160817T174739.227622,31,31,31,31,30495,30495
20160817T174739.235434,32,32,32,32,30496,30496
20160817T174739.243246,33,33,33,33,30497,30497
20160817T174739.251059,34,34,34,34,30498,30498
20160817T174739.258872,35,35,35,35,30499,30499
20160817T174739.266684,36,36,36,36,30500,30500
20160817T174739.274496,37,37,37,37,30501,30501
20160817T174739.282309,38,38,38,38,30502,30502
20160817T174739.290122,39,39,39,39,30503,30503
20160817T174739.297934,40,40,40,40,30504,30504
20160817T174739.305746,41,41,41,41,30505,30505
20160817T174739.313559,42,42,42,42,30506,30506
20160817T174739.321372,43,43,43,43,30507,30507
20160817T174739.329184,44,44,44,44,30508,30508
20160817T174739.336996,45,45,45,45,30509,30509
20160817T174739.344809,46,46,46,46,30510,30510
20160817T174739.352622,47,47,47,47,30511,30511
20160817T174739.360434,48,48,48,48,30512,30512
20160817T174739.368246,49,49,49,49,30513,30513
20160817T174739.376059,50,50,50,50,30514,30514
20160817T174739.383872,51,51,51,51,30515,30515
20160817T174739.391684,52,52,52,52,30516,30516
20160817T174739.399496,53,53,53,53,30517,30517
20160817T174739.407309,54,54,54,54,30518,30518
20160817T174739.415122,55,55,55,55,30519,30519
20160817T174739.422934,56,56,56,56,30520,30520
20160817T174739.430746,57,57,57,57,30521,30521
20160817T174739.438559,58,58,58,58,30522,30522
20160817T174739.446372,59,59,59,59,30523,30523
20160817T174739.454184,60,60,60,60,30524,30524
20160817T174739.461996,61,61,61,61,30525,30525
20160817T174739.469809,62,62,62,62,30526,30526
20160817T174739.477622,63,63,63,63,30527,30527
20160817T174739.485434,64,64,64,64,30528,30528
20160817T174739.493246,65,65,65,65,30529,30529
20160817T174739.501059,66,66,66,66,30530,30530
20160817T174739.508872,67,67,67,67,30531,30531
20160817T174739.516684,68,68,68,68,30532,30532
20160817T174739.524496,69,69,69,69,30533,30533
20160817T174739.532309,70,70,70,70,30534,30534
20160817T174739.540122,71,71,71,71,30535,30535
20160817T174739.547934,72,72,72,72,30536,30536
20160817T174739.555746,73,73,73,73,30537,30537
20160817T174739.563559,74,74,74,74,30538,30538
20160817T174739.571372,75,75,75,75,30539,30539
20160817T174739.579184,76,76,76,76,30540,30540
20160817T174739.586996,77,77,77,77,30541,30541
20160817T174739.594809,78,78,78,78,30542,30542
20160817T174739.602622,79,79,79,79,30543,30543
20160817T174739.610434,80,80,80,80,30544,30544
20160817T174739.618246,81,81,81,81,30545,30545
20160817T174739.626059,82,82,82,82,30546,30546
20160817T174739.633872,83,83,83,83,30547,30547
20160817T174739.641684,84,84,84,84,30548,30548
20160817T174739.649496,85,85,85,85,30549,30549
20160817T174739.657309,86,86,86,86,30550,30550
20160817T174739.665122,87,87,87,87,30551,30551
20160817T174739.672934,88,88,88,88,30552,30552
20160817T174739.680746,89,89,89,89,30553,30553
20160817T174739.688559,90,90,90,90,30554,30554
20160817T174739.696372,91,91,91,91,30555,30555
20160817T174739.704184,92,92,92,92,30556,30556
20160817T174739.711996,93,93,93,93,30557,30557
20160817T174739.719809,94,94,94,94,30558,30558
20160817T174739.727622,95,95,95,95,30559,30559
20160817T174739.735434,96,96,96,96,30560,30560
20160817T174739.743246,97,97,97,97,30561,30561
20160817T174739.751059,98,98,98,98,30562,30562
20160817T174739.758872,99,99,99,99,30563,30563
20160817T174739.766684,100,100,100,100,30564,30564
20160817T174739.774496,101,101,101,101,30565,30565
20160817T174739.782309,102,102,102,102,30566,30566
20160817T174739.790122,103,103,103,103,30567,30567
20160817T174739.797934,104,104,104,104,30568,30568
20160817T174739.805746,105,105,105,105,30569,30569
20160817T174739.813559,106,106,106,106,30570,30570
20160817T174739.821372,107,107,107,107,30571,30571
20160817T174739.829184,108,108,108,108,30572,30572
20160817T174739.836996,109,109,109,109,30573,30573
20160817T174739.844809,110,110,110,110,30574,30574
20160817T174739.852622,111,111,111,111,30575,30575
20160817T174739.860434,112,112,112,112,30576,30576
20160817T174739.868246,113,113,113,113,30577,30577
20160817T174739.876059,114,114,114,114,30578,30578
20160817T174739.883872,115,115,115,115,30579,30579
20160817T174739.891684,116,116,116,116,30580,30580
20160817T174739.899496,117,117,117,117,30581,30581
20160817T174739.907309,118,118,118,118,30582,30582
20160817T174739.915122,119,119,119,119,30583,30583
20160817T174739.922934,120,120,120,120,30584,30584
20160817T174739.930746,121,121,121,121,30585,30585
20160817T174739.938559,122,122,122,122,30586,30586
20160817T174739.946372,123,123,123,123,30587,30587
20160817T174739.954184,124,124,124,124,30588,30588
20160817T174739.961996,125,125,125,125,30589,30589
20160817T174739.969809,126,126,126,126,30590,30590
20160817T174739.977622,127,127,127,127,30591,30591
20160817T174739.985434,128,128,128,128,30592,30592
20160817T174739.993246,129,129,129,129,30593,30593
20160817T174740.001059,130,130,130,130,30594,30594
20160817T174740.008872,131,131,131,131,30595,30595
20160817T174740.016684,132,132,132,132,30596,30596
20160817T174740.024496,133,133,133,133,30597,30597
20160817T174740.032309,134,134,134,134,30598,30598
20160817T174740.040122,135,135,135,135,30599,30599
20160817T174740.047934,136,136,136,136,30600,30600
20160817T174740.055746,137,137,137,137,30601,30601
20160817T174740.063559,138,138,138,138,30602,30602
20160817T174740.071372,139,139,139,139,30603,30603
20160817T174740.079184,140,140,140,140,30604,30604
20160817T174740.086996,141,141,141,141,30605,30605
20160817T174740.094809,142,142,142,142,30606,30606
20160817T174740.102622,143,143,143,143,30607,30607
20160817T174740.110434,144,144,144,144,30608,30608
20160817T174740.118246,145,145,145,145,30609,30609
20160817T174740.126059,146,146,146,146,30610,30610
20160817T174740.133872,147,147,147,147,30611,30611
20160817T174740.141684,148,148,148,148,30612,30612
20160817T174740.149496,149,149,149,149,30613,30613
20160817T174740.157309,150,150,150,150,30614,30614
20160817T174740.165122,151,151,151,151,30615,30615
20160817T174740.172934,152,152,152,152,30616,30616
20160817T174740.180746,153,153,153,153,30617,30617
20160817T174740.188559,154,154,154,154,30618,30618
20160817T174740.196372,155,155,155,155,30619,30619
20160817T174740.204184,156,156,156,156,30620,30620
20160817T174740.211996,157,157,157,157,30621,30621
20160817T174740.219809,158,158,158,158,30622,30622
20160817T174740.227622,159,159,159,159,30623,30623
20160817T174740.235434,160,160,160,160,30624,30624
20160817T174740.243246,161,161,161,161,30625,30625
20160817T174740.251059,162,162,162,162,30626,30626
20160817T174740.258872,163,163,163,163,30627,30627
20160817T174740.266684,164,164,164,164,30628,30628
20160817T174740.274496,165,165,165,165,30629,30629
20160817T174740.282309,166,166,166,166,30630,30630
20160817T174740.290122,167,167,167,167,30631,30631
20160817T174740.297934,168,168,168,168,30632,30632
20160817T174740.305746,169,169,169,169,30633,30633
20160817T174740.313559,170,170,170,170,30634,30634
20160817T174740.321372,171,171,171,171,30635,30635
20160817T174740.329184,172,172,172,172,30636,30636
20160817T174740.336996,173,173,173,173,30637,30637
20160817T174740.344809,174,174,174,174,30638,30638
20160817T174740.352622,175,175,175,175,30639,30639
20160817T174740.360434,176,176,176,176,30640,30640
20160817T174740.368246,177,177,177,177,30641,30641
20160817T174740.376059,178,178,178,178,30642,30642
20160817T174740.383872,179,179,179,179,30643,30643
20160817T174740.391684,180,180,180,180,30644,30644
20160817T174740.399496,181,181,181,181,30645,30645
20160817T174740.407309,182,182,182,182,30646,30646
20160817T174740.415122,183,183,183,183,30647,30647
20160817T174740.422934,184,184,184,184,30648,30648
20160817T174740.430746,185,185,185,185,30649,30649
20160817T174740.438559,186,186,186,186,30650,30650
20160817T174740.446372,187,187,187,187,30651,30651
20160817T174740.454184,188,188,188,188,30652,30652
20160817T174740.461996,189,189,189,189,30653,30653
20160817T174740.469809,190,190,190,190,30654,30654
20160817T174740.477622,191,191,191,191,30655,30655
20160817T174740.485434,192,192,192,192,30656,30656
20160817T174740.493246,193,193,193,193,30657,30657
20160817T174740.501059,194,194,194,194,30658,30658
20160817T174740.508872,195,195,195,195,30659,30659
20160817T174740.516684,196,196,196,196,30660,30660
20160817T174740.524496,197,197,197,197,30661,30661
20160817T174740.532309,198,198,198,198,30662,30662
20160817T174740.540122,199,199,199,199,30663,30663
20160817T174740.547934,200,200,200,200,30664,30664
20160817T174740.555746,201,201,201,201,30665,30665
20160817T174740.563559,202,202,202,202,30666,30666
20160817T174740.571372,203,203,203,203,30667,30667
20160817T174740.579184,204,204,204,204,30668,30668
20160817T174740.586996,205,205,205,205,30669,30669
20160817T174740.594809,206,206,206,206,30670,30670
20160817T174740.602622,207,207,207,207,30671,30671
20160817T174740.610434,208,208,208,208,30672,30672
20160817T174740.618246,209,209,209,209,30673,30673
20160817T174740.626059,210,210,210,210,30674,30674
20160817T174740.633872,211,211,211,211,30675,30675
20160817T174740.641684,212,212,212,212,30676,30676
20160817T174740.649496,213,213,213,213,30677,30677
20160817T174740.657309,214,214,214,214,30678,30678
20160817T174740.665122,215,215,215,215,30679,30679
20160817T174740.672934,216,216,216,216,30680,30680
20160817T174740.680746,217,217,217,217,30681,30681
20160817T174740.688559,218,218,218,218,30682,30682
20160817T174740.696372,219,219,219,219,30683,30683
20160817T174740.704184,220,220,220,220,30684,30684
20160817T174740.711996,221,221,221,221,30685,30685
20160817T174740.719809,222,222,222,222,30686,30686
20160817T174740.727622,223,223,223,223,30687,30687
20160817T174740.735434,224,224,224,224,30688,30688
20160817T174740.743246,225,225,225,225,30689,30689
20160817T174740.751059,226,226,226,226,30690,30690
20160817T174740.758872,227,227,227,227,30691,30691
20160817T174740.766684,228,228,228,228,30692,30692
20160817T174740.774496,229,229,229,229,30693,30693
20160817T174740.782309,230,230,230,230,30694,30694
20160817T174740.790122,231,231,231,231,30695,30695
20160817T174740.797934,232,232,232,232,30696,30696
20160817T174740.805746,233,233,233,233,30697,30697
20160817T174740.813559,234,234,234,234,30698,30698
20160817T174740.821372,235,235,235,235,30699,30699
20160817T174740.829184,236,236,236,236,30700,30700
20160817T174740.836996,237,237,237,237,30701,30701
20160817T174740.844809,238,238,238,238,30702,30702
20160817T174740.852622,239,239,239,239,30703,30703
20160817T174740.860434,240,240,240,240,30704,30704
20160817T174740.868246,241,241,241,241,30705,30705
20160817T174740.876059,242,242,242,242,30706,30706
20160817T174740.883872,243,243,243,243,30707,30707
20160817T174740.891684,244,244,244,244,30708,30708
20160817T174740.899496,245,245,245,245,30709,30709
20160817T174740.907309,246,246,246,246,30710,30710
20160817T174740.915122,247,247,247,247,30711,30711
20160817T174740.922934,248,248,248,248,30712,30712
20160817T174740.930746,249,249,249,249,30713,30713
20160817T174740.938559,250,250,250,250,30714,30714
20160817T174740.946372,251,251,251,251,30715,30715
20160817T174740.954184,252,252,252,252,30716,30716
20160817T174740.961996,253,253,253,253,30717,30717
20160817T174740.969809,254,254,254,254,30718,30718
20160817T174740.977622,255,255,255,255,30719,30719
20160817T174740.985434,0,0,0,0,30720,30720
20160817T174740.993246,1,1,1,1,30721,30721
20160817T174741.001059,2,2,2,2,30722,30722
20160817T174741.008872,3,3,3,3,30723,30723
20160817T174741.016684,4,4,4,4,30724,30724
20160817T174741.024496,5,5,5,5,30725,30725
20160817T174741.032309,6,6,6,6,30726,30726
20160817T174741.040122,7,7,7,7,30727,30727
20160817T174741.047934,8,8,8,8,30728,30728
20160817T174741.055746,9,9,9,9,30729,30729
20160817T174741.063559,10,10,10,10,30730,30730
20160817T174741.071372,11,11,11,11,30731,30731
20160817T174741.079184,12,12,12,12,30732,30732
20160817T174741.086996,13,13,13,13,30733,30733
20160817T174741.094809,14,14,14,14,30734,30734
20160817T174741.102622,15,15,15,15,30735,30735
20160817T174741.110434,16,16,16,16,30736,30736
20160817T174741.118246,17,17,17,17,30737,30737
20160817T174741.126059,18,18,18,18,30738,30738
20160817T174741.133872,19,19,19,19,30739,30739
20160817T174741.141684,20,20,20,20,30740,30740
20160817T174741.149496,21,21,21,21,30741,30741
20160817T174741.157309,22,22,22,22,30742,30742
20160817T174741.165122,23,23,23,23,30743,30743
20160817T174741.172934,24,24,24,24,30744,30744
20160817T174741.180746,25,25,25,25,30745,30745
20160817T174741.188559,26,26,26,26,30746,30746
20160817T174741.196372,27,27,27,27,30747,30747
20160817T174741.204184,28,28,28,28,30748,30748
20160817T174741.211996,29,29,29,29,30749,30749
20160817T174741.219809,30,30,30,30,30750,30750
20160817T174741.227622,31,31,31,31,30751,30751
20160817T174741.235434,32,32,32,32,30752,30752
20160817T174741.243246,33,33,33,33,30753,30753
20160817T174741.251059,34,34,34,34,30754,30754
20160817T174741.258872,35,35,35,35,30755,30755
20160817T174741.266684,36,36,36,36,30756,30756
20160817T174741.274496,37,37,37,37,30757,30757
20160817T174741.282309,38,38,38,38,30758,30758
20160817T174741.290122,39,39,39,39,30759,30759
20160817T174741.297934,40,40,40,40,30760,30760
20160817T174741.305746,41,41,41,41,30761,30761
20160817T174741.313559,42,42,42,42,30762,30762
20160817T174741.321372,43,43,43,43,30763,30763
20160817T174741.329184,44,44,44,44,30764,30764
20160817T174741.336996,45,45,45,45,30765,30765
20160817T174741.344809,46,46,46,46,30766,30766
20160817T174741.352622,47,47,47,47,30767,30767
20160817T174741.360434,48,48,48,48,30768,30768
20160817T174741.368246,49,49,49,49,30769,30769
20160817T174741.376059,50,50,50,50,30770,30770
20160817T174741.383872,51,51,51,51,30771,30771
20160817T174741.391684,52,52,52,52,30772,30772
20160817T174741.399496,53,53,53,53,30773,30773
20160817T174741.407309,54,54,54,54,30774,30774
20160817T174741.415122,55,55,55,55,30775,30775
20160817T174741.422934,56,56,56,56,30776,30776
20160817T174741.430746,57,57,57,57,30777,30777
20160817T174741.438559,58,58,58,58,30778,30778
20160817T174741.446372,59,59,59,59,30779,30779
20160817T174741.454184,60,60,60,60,30780,30780
20160817T174741.461996,61,61,61,61,30781,30781
20160817T174741.469809,62,62,62,62,30782,30782
20160817T174741.477622,63,63,63,63,30783,30783
20160817T174741.485434,64,64,64,64,30784,30784
20160817T174741.493246,65,65,65,65,30785,30785
20160817T174741.501059,66,66,66,66,30786,30786
20160817T174741.508872,67,67,67,67,30787,30787
20160817T174741.516684,68,68,68,68,30788,30788
20160817T174741.524496,69,69,69,69,30789,30789
20160817T174741.532309,70,70,70,70,30790,30790
20160817T174741.540122,71,71,71,71,30791,30791
20160817T174741.547934,72,72,72,72,30792,30792
20160817T174741.555746,73,73,73,73,30793,30793
20160817T174741.563559,74,74,74,74,30794,30794
20160817T174741.571372,75,75,75,75,30795,30795
20160817T174741.579184,76,76,76,76,30796,30796
20160817T174741.586996,77,77,77,77,30797,30797
20160817T174741.594809,78,78,78,78,30798,30798
20160817T174741.602622,79,79,79,79,30799,30799
20160817T174741.610434,80,80,80,80,30800,30800
20160817T174741.618246,81,81,81,81,30801,30801
20160817T174741.626059,82,82,82,82,30802,30802
20160817T174741.633872,83,83,83,83,30803,30803
20160817T174741.641684,84,84,84,84,30804,30804
20160817T174741.649496,85,85,85,85,30805,30805
20160817T174741.657309,86,86,86,86,30806,30806
20160817T174741.665122,87,87,87,87,30807,30807
20160817T174741.672934,88,88,88,88,30808,30808
20160817T174741.680746,89,89,89,89,30809,30809
20160817T174741.688559,90,90,90,90,30810,30810
20160817T174741.696372,91,91,91,91,30811,30811
20160817T174741.704184,92,92,92,92,30812,30812
20160817T174741.711996,93,93,93,93,30813,30813
20160817T174741.719809,94,94,94,94,30814,30814
20160817T174741.727622,95,95,95,95,30815,30815
20160817T174741.735434,96,96,96,96,30816,30816
20160817T174741.743246,97,97,97,97,30817,30817
20160817T174741.751059,98,98,98,98,30818,30818
20160817T174741.758872,99,99,99,99,30819,30819
20160817T174741.766684,100,100,100,100,30820,30820
20160817T174741.774496,101,101,101,101,30821,30821
20160817T174741.782309,102,102,102,102,30822,30822
20160817T174741.790122,103,103,103,103,30823,30823
20160817T174741.797934,104,104,104,104,30824,30824
20160817T174741.805746,105,105,105,105,30825,30825
20160817T174741.813559,106,106,106,106,30826,30826
20160817T174741.821372,107,107,107,107,30827,30827
20160817T174741.829184,108,108,108,108,30828,30828
20160817T174741.836996,109,109,109,109,30829,30829
20160817T174741.844809,110,110,110,110,30830,30830
20160817T174741.852622,111,111,111,111,30831,30831
20160817T174741.860434,112,112,112,112,30832,30832
20160817T174741.868246,113,113,113,113,30833,30833
20160817T174741.876059,114,114,114,114,30834,30834
20160817T174741.883872,115,115,115,115,30835,30835
20160817T174741.891684,116,116,116,116,30836,30836
20160817T174741.899496,117,117,117,117,30837,30837
20160817T174741.907309,118,118,118,118,30838,30838
20160817T174741.915122,119,119,119,119,30839,30839
20160817T174741.922934,120,120,120,120,30840,30840
20160817T174741.930746,121,121,121,121,30841,30841
20160817T174741.938559,122,122,122,122,30842,30842
20160817T174741.946372,123,123,123,123,30843,30843
20160817T174741.954184,124,124,124,124,30844,30844
20160817T174741.961996,125,125,125,125,30845,30845
20160817T174741.969809,126,126,126,126,30846,30846
20160817T174741.977622,127,127,127,127,30847,30847
20160817T174741.985434,128,128,128,128,30848,30848
20160817T174741.993246,129,129,129,129,30849,30849
20160817T174742.001059,130,130,130,130,30850,30850
20160817T174742.008872,131,131,131,131,30851,30851
20160817T174742.016684,132,132,132,132,30852,30852
20160817T174742.024496,133,133,133,133,30853,30853
20160817T174742.032309,134,134,134,134,30854,30854
20160817T174742.040122,135,135,135,135,30855,30855
20160817T174742.047934,136,136,136,136,30856,30856
20160817T174742.055746,137,137,137,137,30857,30857
20160817T174742.063559,138,138,138,138,30858,30858
20160817T174742.071372,139,139,139,139,30859,30859
20160817T174742.079184,140,140,140,140,30860,30860
20160817T174742.086996,141,141,141,141,30861,30861
20160817T174742.094809,142,142,142,142,30862,30862
20160817T174742.102622,143,143,143,143,30863,30863
20160817T174742.110434,144,144,144,144,30864,30864
20160817T174742.118246,145,145,145,145,30865,30865
20160817T174742.126059,146,146,146,146,30866,30866
20160817T174742.133872,147,147,147,147,30867,30867
20160817T174742.141684,148,148,148,148,30868,30868
