Time,Bx,By,Bz,status
2016-08-22T12:38:21.610287,0,0,0,0,
2016-08-22T12:38:21.618099,312967,312967,312967,0,
2016-08-22T12:38:21.625911,312968,312968,312968,0,
2016-08-22T12:38:21.633724,312969,312969,312969,0,
2016-08-22T12:38:21.641537,312970,312970,312970,0,
2016-08-22T12:38:21.649349,312971,312971,312971,0,
2016-08-22T12:38:21.657161,312972,312972,312972,0,
2016-08-22T12:38:21.664974,312973,312973,312973,0,
2016-08-22T12:38:21.672787,312974,312974,312974,0,
2016-08-22T12:38:21.680599,312975,312975,312975,0,
2016-08-22T12:38:21.688411,312976,312976,312976,0,
2016-08-22T12:38:21.696224,312977,312977,312977,0,
2016-08-22T12:38:21.704037,312978,312978,312978,0,
2016-08-22T12:38:21.711849,312979,312979,312979,0,
2016-08-22T12:38:21.719661,312980,312980,312980,0,
2016-08-22T12:38:21.727474,312981,312981,312981,0,
2016-08-22T12:38:21.735287,312982,312982,312982,0,
2016-08-22T12:38:21.743099,312983,312983,312983,0,
2016-08-22T12:38:21.750911,312984,312984,312984,0,
2016-08-22T12:38:21.758724,312985,312985,312985,0,
2016-08-22T12:38:21.766537,312986,312986,312986,0,
2016-08-22T12:38:21.774349,312987,312987,312987,0,
2016-08-22T12:38:21.782161,312988,312988,312988,0,
2016-08-22T12:38:21.789974,312989,312989,312989,0,
2016-08-22T12:38:21.797787,312990,312990,312990,0,
2016-08-22T12:38:21.805599,312991,312991,312991,0,
2016-08-22T12:38:21.813411,312992,312992,312992,0,
2016-08-22T12:38:21.821224,312993,312993,312993,0,
2016-08-22T12:38:21.829037,312994,312994,312994,0,
2016-08-22T12:38:21.836849,312995,312995,312995,0,
2016-08-22T12:38:21.844661,312996,312996,312996,0,
2016-08-22T12:38:21.852474,312997,312997,312997,0,
2016-08-22T12:38:21.860287,312998,312998,312998,0,
2016-08-22T12:38:21.868099,312999,312999,312999,0,
2016-08-22T12:38:21.875911,313000,313000,313000,0,
2016-08-22T12:38:21.883724,313001,313001,313001,0,
2016-08-22T12:38:21.891537,313002,313002,313002,0,
2016-08-22T12:38:21.899349,313003,313003,313003,0,
2016-08-22T12:38:21.907161,313004,313004,313004,0,
2016-08-22T12:38:21.914974,313005,313005,313005,0,
2016-08-22T12:38:21.922787,313006,313006,313006,0,
2016-08-22T12:38:21.930599,313007,313007,313007,0,
2016-08-22T12:38:21.938411,313008,313008,313008,0,
2016-08-22T12:38:21.946224,313009,313009,313009,0,
2016-08-22T12:38:21.954037,313010,313010,313010,0,
2016-08-22T12:38:21.961849,313011,313011,313011,0,
2016-08-22T12:38:21.969661,313012,313012,313012,0,
2016-08-22T12:38:21.977474,313013,313013,313013,0,
2016-08-22T12:38:21.985287,313014,313014,313014,0,
2016-08-22T12:38:21.993099,313015,313015,313015,0,
2016-08-22T12:38:22.000911,313016,313016,313016,0,
2016-08-22T12:38:22.008724,313017,313017,313017,0,
2016-08-22T12:38:22.016537,313018,313018,313018,0,
2016-08-22T12:38:22.024349,313019,313019,313019,0,
2016-08-22T12:38:22.032161,313020,313020,313020,0,
2016-08-22T12:38:22.039974,313021,313021,313021,0,
2016-08-22T12:38:22.047787,313022,313022,313022,0,
2016-08-22T12:38:22.055599,313023,313023,313023,0,
2016-08-22T12:38:22.063411,313024,313024,313024,0,
2016-08-22T12:38:22.071224,313025,313025,313025,0,
2016-08-22T12:38:22.079037,313026,313026,313026,0,
2016-08-22T12:38:22.086849,313027,313027,313027,0,
2016-08-22T12:38:22.094661,313028,313028,313028,0,
2016-08-22T12:38:22.102474,313029,313029,313029,0,
2016-08-22T12:38:22.110287,313030,313030,313030,0,
2016-08-22T12:38:22.118099,313031,313031,313031,0,
2016-08-22T12:38:22.125911,313032,313032,313032,0,
2016-08-22T12:38:22.133724,313033,313033,313033,0,
2016-08-22T12:38:22.141537,313034,313034,313034,0,
2016-08-22T12:38:22.149349,313035,313035,313035,0,
2016-08-22T12:38:22.157161,313036,313036,313036,0,
2016-08-22T12:38:22.164974,313037,313037,313037,0,
2016-08-22T12:38:22.172787,313038,313038,313038,0,
2016-08-22T12:38:22.180599,313039,313039,313039,0,
2016-08-22T12:38:22.188411,313040,313040,313040,0,
2016-08-22T12:38:22.196224,313041,313041,313041,0,
2016-08-22T12:38:22.204037,313042,313042,313042,0,
2016-08-22T12:38:22.211849,313043,313043,313043,0,
2016-08-22T12:38:22.219661,313044,313044,313044,0,
2016-08-22T12:38:22.227474,313045,313045,313045,0,
2016-08-22T12:38:22.235287,313046,313046,313046,0,
2016-08-22T12:38:22.243099,313047,313047,313047,0,
2016-08-22T12:38:22.250911,313048,313048,313048,0,
2016-08-22T12:38:22.258724,313049,313049,313049,0,
2016-08-22T12:38:22.266537,313050,313050,313050,0,
2016-08-22T12:38:22.274349,313051,313051,313051,0,
2016-08-22T12:38:22.282161,313052,313052,313052,0,
2016-08-22T12:38:22.289974,313053,313053,313053,0,
2016-08-22T12:38:22.297787,313054,313054,313054,0,
2016-08-22T12:38:22.305599,313055,313055,313055,0,
2016-08-22T12:38:22.313411,313056,313056,313056,0,
2016-08-22T12:38:22.321224,313057,313057,313057,0,
2016-08-22T12:38:22.329037,313058,313058,313058,0,
2016-08-22T12:38:22.336849,313059,313059,313059,0,
2016-08-22T12:38:22.344661,313060,313060,313060,0,
2016-08-22T12:38:22.352474,313061,313061,313061,0,
2016-08-22T12:38:22.360287,313062,313062,313062,0,
2016-08-22T12:38:22.368099,313063,313063,313063,0,
2016-08-22T12:38:22.375911,313064,313064,313064,0,
2016-08-22T12:38:22.383724,313065,313065,313065,0,
2016-08-22T12:38:22.391537,313066,313066,313066,0,
2016-08-22T12:38:22.399349,313067,313067,313067,0,
2016-08-22T12:38:22.407161,313068,313068,313068,0,
2016-08-22T12:38:22.414974,313069,313069,313069,0,
2016-08-22T12:38:22.422787,313070,313070,313070,0,
2016-08-22T12:38:22.430599,313071,313071,313071,0,
2016-08-22T12:38:22.438411,313072,313072,313072,0,
2016-08-22T12:38:22.446224,313073,313073,313073,0,
2016-08-22T12:38:22.454037,313074,313074,313074,0,
2016-08-22T12:38:22.461849,313075,313075,313075,0,
2016-08-22T12:38:22.469661,313076,313076,313076,0,
2016-08-22T12:38:22.477474,313077,313077,313077,0,
2016-08-22T12:38:22.485287,313078,313078,313078,0,
2016-08-22T12:38:22.493099,313079,313079,313079,0,
2016-08-22T12:38:22.500911,313080,313080,313080,0,
2016-08-22T12:38:22.508724,313081,313081,313081,0,
2016-08-22T12:38:22.516537,313082,313082,313082,0,
2016-08-22T12:38:22.524349,313083,313083,313083,0,
2016-08-22T12:38:22.532161,313084,313084,313084,0,
2016-08-22T12:38:22.539974,313085,313085,313085,0,
2016-08-22T12:38:22.547787,313086,313086,313086,0,
2016-08-22T12:38:22.555599,313087,313087,313087,0,
2016-08-22T12:38:22.563411,313088,313088,313088,0,
2016-08-22T12:38:22.571224,313089,313089,313089,0,
2016-08-22T12:38:22.579037,313090,313090,313090,0,
2016-08-22T12:38:22.586849,313091,313091,313091,0,
2016-08-22T12:38:22.594661,313092,313092,313092,0,
2016-08-22T12:38:22.602474,313093,313093,313093,0,
2016-08-22T12:38:22.610287,313094,313094,313094,0,
2016-08-22T12:38:22.618099,313095,313095,313095,0,
2016-08-22T12:38:22.625911,313096,313096,313096,0,
2016-08-22T12:38:22.633724,313097,313097,313097,0,
2016-08-22T12:38:22.641537,313098,313098,313098,0,
2016-08-22T12:38:22.649349,313099,313099,313099,0,
2016-08-22T12:38:22.657161,313100,313100,313100,0,
2016-08-22T12:38:22.664974,313101,313101,313101,0,
2016-08-22T12:38:22.672787,313102,313102,313102,0,
2016-08-22T12:38:22.680599,313103,313103,313103,0,
2016-08-22T12:38:22.688411,313104,313104,313104,0,
2016-08-22T12:38:22.696224,313105,313105,313105,0,
2016-08-22T12:38:22.704037,313106,313106,313106,0,
2016-08-22T12:38:22.711849,313107,313107,313107,0,
2016-08-22T12:38:22.719661,313108,313108,313108,0,
2016-08-22T12:38:22.727474,313109,313109,313109,0,
2016-08-22T12:38:22.735287,313110,313110,313110,0,
2016-08-22T12:38:22.743099,313111,313111,313111,0,
2016-08-22T12:38:22.750911,313112,313112,313112,0,
2016-08-22T12:38:22.758724,313113,313113,313113,0,
2016-08-22T12:38:22.766537,313114,313114,313114,0,
2016-08-22T12:38:22.774349,313115,313115,313115,0,
2016-08-22T12:38:22.782161,313116,313116,313116,0,
2016-08-22T12:38:22.789974,313117,313117,313117,0,
2016-08-22T12:38:22.797787,313118,313118,313118,0,
2016-08-22T12:38:22.805599,313119,313119,313119,0,
2016-08-22T12:38:22.813411,313120,313120,313120,0,
2016-08-22T12:38:22.821224,313121,313121,313121,0,
2016-08-22T12:38:22.829037,313122,313122,313122,0,
2016-08-22T12:38:22.836849,313123,313123,313123,0,
2016-08-22T12:38:22.844661,313124,313124,313124,0,
2016-08-22T12:38:22.852474,313125,313125,313125,0,
2016-08-22T12:38:22.860287,313126,313126,313126,0,
2016-08-22T12:38:22.868099,313127,313127,313127,0,
2016-08-22T12:38:22.875911,313128,313128,313128,0,
2016-08-22T12:38:22.883724,313129,313129,313129,0,
2016-08-22T12:38:22.891537,313130,313130,313130,0,
2016-08-22T12:38:22.899349,313131,313131,313131,0,
2016-08-22T12:38:22.907161,313132,313132,313132,0,
2016-08-22T12:38:22.914974,313133,313133,313133,0,
2016-08-22T12:38:22.922787,313134,313134,313134,0,
2016-08-22T12:38:22.930599,313135,313135,313135,0,
2016-08-22T12:38:22.938411,313136,313136,313136,0,
2016-08-22T12:38:22.946224,313137,313137,313137,0,
2016-08-22T12:38:22.954037,313138,313138,313138,0,
2016-08-22T12:38:22.961849,313139,313139,313139,0,
2016-08-22T12:38:22.969661,313140,313140,313140,0,
2016-08-22T12:38:22.977474,313141,313141,313141,0,
2016-08-22T12:38:22.985287,313142,313142,313142,0,
2016-08-22T12:38:22.993099,313143,313143,313143,0,
2016-08-22T12:38:23.000911,313144,313144,313144,0,
2016-08-22T12:38:23.008724,313145,313145,313145,0,
2016-08-22T12:38:23.016537,313146,313146,313146,0,
2016-08-22T12:38:23.024349,313147,313147,313147,0,
2016-08-22T12:38:23.032161,313148,313148,313148,0,
2016-08-22T12:38:23.039974,313149,313149,313149,0,
2016-08-22T12:38:23.047787,313150,313150,313150,0,
2016-08-22T12:38:23.055599,313151,313151,313151,0,
2016-08-22T12:38:23.063411,313152,313152,313152,0,
2016-08-22T12:38:23.071224,313153,313153,313153,0,
