Time,Bx,By,Bz,status
2016-08-22T12:09:41.272297,136637,136637,136637,0,
2016-08-22T12:09:41.272297,136638,136638,136638,0,
2016-08-22T12:09:41.287922,136639,136639,136639,0,
2016-08-22T12:09:41.287922,136640,136640,136640,0,
2016-08-22T12:09:41.303547,136641,136641,136641,0,
2016-08-22T12:09:41.303547,136642,136642,136642,0,
2016-08-22T12:09:41.319172,136643,136643,136643,0,
2016-08-22T12:09:41.319172,136644,136644,136644,0,
2016-08-22T12:09:41.334797,136645,136645,136645,0,
2016-08-22T12:09:41.334797,136646,136646,136646,0,
2016-08-22T12:09:41.350422,136647,136647,136647,0,
2016-08-22T12:09:41.350422,136648,136648,136648,0,
2016-08-22T12:09:41.366047,136649,136649,136649,0,
2016-08-22T12:09:41.366047,136650,136650,136650,0,
2016-08-22T12:09:41.381672,136651,136651,136651,0,
2016-08-22T12:09:41.381672,136652,136652,136652,0,
2016-08-22T12:09:41.397297,136653,136653,136653,0,
2016-08-22T12:09:41.397297,136654,136654,136654,0,
2016-08-22T12:09:41.412922,136655,136655,136655,0,
2016-08-22T12:09:41.412922,136656,136656,136656,0,
2016-08-22T12:09:41.428547,136657,136657,136657,0,
2016-08-22T12:09:41.428547,136658,136658,136658,0,
2016-08-22T12:09:41.444172,136659,136659,136659,0,
2016-08-22T12:09:41.444172,136660,136660,136660,0,
2016-08-22T12:09:41.459797,136661,136661,136661,0,
2016-08-22T12:09:41.459797,136662,136662,136662,0,
2016-08-22T12:09:41.475422,136663,136663,136663,0,
2016-08-22T12:09:41.475422,136664,136664,136664,0,
2016-08-22T12:09:41.491047,136665,136665,136665,0,
2016-08-22T12:09:41.491047,136666,136666,136666,0,
2016-08-22T12:09:41.506672,136667,136667,136667,0,
2016-08-22T12:09:41.506672,136668,136668,136668,0,
2016-08-22T12:09:41.522297,136669,136669,136669,0,
2016-08-22T12:09:41.522297,136670,136670,136670,0,
2016-08-22T12:09:41.537922,136671,136671,136671,0,
2016-08-22T12:09:41.537922,136672,136672,136672,0,
2016-08-22T12:09:41.553547,136673,136673,136673,0,
2016-08-22T12:09:41.553547,136674,136674,136674,0,
