Time,Bx,By,Bz,status
2016-08-22T13:02:52.150158,0,0,0,0,
2016-08-22T13:02:52.157971,0,0,0,0,
2016-08-22T13:02:52.165783,416988,416988,416988,0,
2016-08-22T13:02:52.173595,416989,416989,416989,0,
2016-08-22T13:02:52.181408,416990,416990,416990,0,
2016-08-22T13:02:52.189221,416991,416991,416991,0,
2016-08-22T13:02:52.197033,416992,416992,416992,0,
2016-08-22T13:02:52.204845,416993,416993,416993,0,
2016-08-22T13:02:52.212658,416994,416994,416994,0,
2016-08-22T13:02:52.220471,416995,416995,416995,0,
2016-08-22T13:02:52.228283,416996,416996,416996,0,
2016-08-22T13:02:52.236095,416997,416997,416997,0,
2016-08-22T13:02:52.243908,416998,416998,416998,0,
2016-08-22T13:02:52.251721,416999,416999,416999,0,
2016-08-22T13:02:52.259533,417000,417000,417000,0,
2016-08-22T13:02:52.267345,417001,417001,417001,0,
2016-08-22T13:02:52.275158,417002,417002,417002,0,
2016-08-22T13:02:52.282971,417003,417003,417003,0,
2016-08-22T13:02:52.290783,417004,417004,417004,0,
2016-08-22T13:02:52.298595,417005,417005,417005,0,
2016-08-22T13:02:52.306408,417006,417006,417006,0,
2016-08-22T13:02:52.314221,417007,417007,417007,0,
2016-08-22T13:02:52.322033,417008,417008,417008,0,
2016-08-22T13:02:52.329845,417009,417009,417009,0,
2016-08-22T13:02:52.337658,417010,417010,417010,0,
2016-08-22T13:02:52.345471,417011,417011,417011,0,
2016-08-22T13:02:52.353283,417012,417012,417012,0,
2016-08-22T13:02:52.361095,417013,417013,417013,0,
2016-08-22T13:02:52.368908,417014,417014,417014,0,
2016-08-22T13:02:52.376721,417015,417015,417015,0,
2016-08-22T13:02:52.384533,417016,417016,417016,0,
2016-08-22T13:02:52.392345,417017,417017,417017,0,
2016-08-22T13:02:52.400158,417018,417018,417018,0,
2016-08-22T13:02:52.407971,417019,417019,417019,0,
2016-08-22T13:02:52.415783,417020,417020,417020,0,
2016-08-22T13:02:52.423595,417021,417021,417021,0,
2016-08-22T13:02:52.431408,417022,417022,417022,0,
2016-08-22T13:02:52.439221,417023,417023,417023,0,
2016-08-22T13:02:52.447033,417024,417024,417024,0,
2016-08-22T13:02:52.454845,417025,417025,417025,0,
2016-08-22T13:02:52.462658,417026,417026,417026,0,
2016-08-22T13:02:52.470471,417027,417027,417027,0,
2016-08-22T13:02:52.478283,417028,417028,417028,0,
2016-08-22T13:02:52.486095,417029,417029,417029,0,
2016-08-22T13:02:52.493908,417030,417030,417030,0,
2016-08-22T13:02:52.501721,417031,417031,417031,0,
2016-08-22T13:02:52.509533,417032,417032,417032,0,
2016-08-22T13:02:52.517345,417033,417033,417033,0,
2016-08-22T13:02:52.525158,417034,417034,417034,0,
2016-08-22T13:02:52.532971,417035,417035,417035,0,
2016-08-22T13:02:52.540783,417036,417036,417036,0,
2016-08-22T13:02:52.548595,417037,417037,417037,0,
2016-08-22T13:02:52.556408,417038,417038,417038,0,
2016-08-22T13:02:52.564221,417039,417039,417039,0,
2016-08-22T13:02:52.572033,417040,417040,417040,0,
2016-08-22T13:02:52.579845,417041,417041,417041,0,
2016-08-22T13:02:52.587658,417042,417042,417042,0,
2016-08-22T13:02:52.595471,417043,417043,417043,0,
2016-08-22T13:02:52.603283,417044,417044,417044,0,
2016-08-22T13:02:52.611095,417045,417045,417045,0,
2016-08-22T13:02:52.618908,417046,417046,417046,0,
2016-08-22T13:02:52.626721,417047,417047,417047,0,
2016-08-22T13:02:52.634533,417048,417048,417048,0,
2016-08-22T13:02:52.642345,417049,417049,417049,0,
2016-08-22T13:02:52.650158,417050,417050,417050,0,
