Time,Bx,By,Bz,status
2016-08-22T13:34:56.872019,0,0,0,0,
2016-08-22T13:34:56.879832,0,0,0,0,
2016-08-22T13:34:56.887644,0,0,0,0,
2016-08-22T13:34:56.895456,0,0,0,0,
2016-08-22T13:34:56.903269,0,0,0,0,
2016-08-22T13:34:56.911082,0,0,0,0,
2016-08-22T13:34:56.918894,0,0,0,0,
2016-08-22T13:34:56.950144,0,0,0,0,
2016-08-22T13:34:56.957956,-2565928,-2565928,-2565928,216,
2016-08-22T13:34:56.965769,479184,479184,479184,0,
2016-08-22T13:34:56.973582,479185,479185,479185,0,
2016-08-22T13:34:56.981394,479186,479186,479186,0,
2016-08-22T13:34:56.989206,479187,479187,479187,0,
2016-08-22T13:34:56.997019,479188,479188,479188,0,
2016-08-22T13:34:57.004832,479189,479189,479189,0,
2016-08-22T13:34:57.012644,479190,479190,479190,0,
2016-08-22T13:34:57.020456,479191,479191,479191,0,
2016-08-22T13:34:57.028269,-2631721,-2631721,-2631721,215,
2016-08-22T13:34:57.036082,-1907998,-1907998,-1907998,226,
2016-08-22T13:34:57.043894,479194,479194,479194,0,
2016-08-22T13:34:57.051706,479195,479195,479195,0,
2016-08-22T13:34:57.059519,479196,479196,479196,0,
2016-08-22T13:34:57.067332,479197,479197,479197,0,
2016-08-22T13:34:57.075144,479198,479198,479198,0,
2016-08-22T13:34:57.082956,479199,479199,479199,0,
2016-08-22T13:34:57.090769,479200,479200,479200,0,
2016-08-22T13:34:57.098582,479201,479201,479201,0,
2016-08-22T13:34:57.106394,-1973791,-1973791,-1973791,225,
2016-08-22T13:34:57.114206,-1250068,-1250068,-1250068,236,
2016-08-22T13:34:57.122019,479204,479204,479204,0,
2016-08-22T13:34:57.129832,479205,479205,479205,0,
2016-08-22T13:34:57.137644,479206,479206,479206,0,
2016-08-22T13:34:57.145456,479207,479207,479207,0,
2016-08-22T13:34:57.153269,479208,479208,479208,0,
2016-08-22T13:34:57.161082,479209,479209,479209,0,
2016-08-22T13:34:57.168894,479210,479210,479210,0,
2016-08-22T13:34:57.176706,479211,479211,479211,0,
2016-08-22T13:34:57.184519,-1315861,-1315861,-1315861,235,
2016-08-22T13:34:57.192332,-592138,-592138,-592138,246,
2016-08-22T13:34:57.200144,479214,479214,479214,0,
2016-08-22T13:34:57.207956,479215,479215,479215,0,
2016-08-22T13:34:57.215769,479216,479216,479216,0,
2016-08-22T13:34:57.223582,479217,479217,479217,0,
2016-08-22T13:34:57.231394,479218,479218,479218,0,
2016-08-22T13:34:57.239206,479219,479219,479219,0,
2016-08-22T13:34:57.247019,479220,479220,479220,0,
2016-08-22T13:34:57.254832,479221,479221,479221,0,
2016-08-22T13:34:57.262644,-657931,-657931,-657931,245,
2016-08-22T13:34:57.270456,0,0,0,0,
2016-08-22T13:34:57.278269,479224,479224,479224,0,
2016-08-22T13:34:57.286082,479225,479225,479225,0,
2016-08-22T13:34:57.293894,479226,479226,479226,0,
2016-08-22T13:34:57.301706,479227,479227,479227,0,
2016-08-22T13:34:57.309519,479228,479228,479228,0,
2016-08-22T13:34:57.317332,479229,479229,479229,0,
2016-08-22T13:34:57.325144,479230,479230,479230,0,
2016-08-22T13:34:57.332956,479231,479231,479231,0,
2016-08-22T13:34:57.340769,-1,-1,-1,255,
2016-08-22T13:34:57.348582,657930,657930,657930,10,
2016-08-22T13:34:57.356394,479234,479234,479234,0,
2016-08-22T13:34:57.364206,479235,479235,479235,0,
2016-08-22T13:34:57.372019,479236,479236,479236,0,
2016-08-22T13:34:57.379832,479237,479237,479237,0,
2016-08-22T13:34:57.387644,479238,479238,479238,0,
2016-08-22T13:34:57.395456,479239,479239,479239,0,
2016-08-22T13:34:57.403269,479240,479240,479240,0,
2016-08-22T13:34:57.411082,479241,479241,479241,0,
2016-08-22T13:34:57.418894,592137,592137,592137,9,
2016-08-22T13:34:57.426706,1315860,1315860,1315860,20,
2016-08-22T13:34:57.434519,479244,479244,479244,0,
2016-08-22T13:34:57.442332,479245,479245,479245,0,
2016-08-22T13:34:57.450144,479246,479246,479246,0,
