Time,Bx,By,Bz,status
2016-08-22T11:51:46.117103,3747,3747,3747,0,
2016-08-22T11:51:40.945228,-4128754,-4128768,967168,14,
2016-08-22T11:51:40.945228,-4063218,-4063231,2,196,
2016-08-22T11:51:40.945228,65536,3779,3779,0,
2016-08-22T11:51:40.945228,967424,3780,3780,0,
2016-08-22T11:51:40.945228,967680,65536,181761,0,
2016-08-22T11:51:40.945228,14,-3866610,-3866610,197,
2016-08-22T11:51:40.945228,14,-3801074,-3801074,198,
2016-08-22T11:51:40.945228,256,712,65536,0,
2016-08-22T11:51:40.945228,968448,968448,968448,0,
2016-08-22T11:51:40.945228,968704,968704,968704,1,
2016-08-22T11:51:40.945228,2,-3538688,14,201,
2016-08-22T11:51:40.945228,3785,3785,14,202,
2016-08-22T11:51:40.945228,3786,3786,256,0,
2016-08-22T11:51:40.945228,183297,0,969472,14,
2016-08-22T11:51:40.945228,-3473394,-3473408,969728,14,
2016-08-22T11:51:40.945228,-3407858,-3407871,2,206,
2016-08-22T11:51:40.945228,65536,3789,3789,0,
2016-08-22T11:51:40.945228,969984,3790,3790,0,
2016-08-22T11:51:40.945228,970240,65536,184321,0,
2016-08-22T11:51:40.945228,14,-3211250,-3211250,207,
2016-08-22T11:51:40.945228,14,-3145714,-3145714,208,
2016-08-22T11:51:40.945228,256,722,65536,0,
2016-08-22T11:51:40.945228,971008,971008,971008,0,
2016-08-22T11:51:40.945228,971264,971264,971264,1,
2016-08-22T11:51:40.945228,2,-2883328,14,211,
2016-08-22T11:51:40.945228,3795,3795,14,212,
2016-08-22T11:51:40.945228,3796,3796,256,0,
2016-08-22T11:51:40.945228,185857,0,972032,14,
2016-08-22T11:51:40.945228,-2818034,-2818048,972288,14,
2016-08-22T11:51:40.945228,-2752498,-2752511,2,216,
2016-08-22T11:51:40.945228,65536,3799,3799,0,
2016-08-22T11:51:40.945228,972544,3800,3800,0,
2016-08-22T11:51:40.945228,972800,65536,186881,0,
2016-08-22T11:51:40.945228,14,-2555890,-2555890,217,
2016-08-22T11:51:40.945228,14,-2490354,-2490354,218,
2016-08-22T11:51:40.945228,256,732,65536,0,
2016-08-22T11:51:40.945228,973568,973568,973568,0,
2016-08-22T11:51:40.945228,973824,973824,973824,1,
2016-08-22T11:51:40.945228,2,-2227968,14,221,
