Time,Bx,By,Bz,status
2016-08-22T13:03:18.536522,0,0,0,0,
2016-08-22T13:03:18.544334,0,0,0,0,
2016-08-22T13:03:18.552147,418591,418591,418591,0,
2016-08-22T13:03:18.559960,418592,418592,418592,0,
2016-08-22T13:03:18.567772,418593,418593,418593,0,
2016-08-22T13:03:18.575584,418594,418594,418594,0,
2016-08-22T13:03:18.583397,418595,418595,418595,0,
2016-08-22T13:03:18.591210,418596,418596,418596,0,
2016-08-22T13:03:18.599022,418597,418597,418597,0,
2016-08-22T13:03:18.606834,418598,418598,418598,0,
2016-08-22T13:03:18.614647,418599,418599,418599,0,
2016-08-22T13:03:18.622460,418600,418600,418600,0,
2016-08-22T13:03:18.630272,418601,418601,418601,0,
2016-08-22T13:03:18.638084,418602,418602,418602,0,
2016-08-22T13:03:18.645897,418603,418603,418603,0,
2016-08-22T13:03:18.653710,418604,418604,418604,0,
2016-08-22T13:03:18.661522,418605,418605,418605,0,
2016-08-22T13:03:18.669334,418606,418606,418606,0,
2016-08-22T13:03:18.677147,418607,418607,418607,0,
2016-08-22T13:03:18.684960,418608,418608,418608,0,
2016-08-22T13:03:18.692772,418609,418609,418609,0,
2016-08-22T13:03:18.700584,418610,418610,418610,0,
2016-08-22T13:03:18.708397,418611,418611,418611,0,
2016-08-22T13:03:18.716210,418612,418612,418612,0,
2016-08-22T13:03:18.724022,418613,418613,418613,0,
2016-08-22T13:03:18.731834,418614,418614,418614,0,
2016-08-22T13:03:18.739647,418615,418615,418615,0,
2016-08-22T13:03:18.747460,418616,418616,418616,0,
2016-08-22T13:03:18.755272,418617,418617,418617,0,
2016-08-22T13:03:18.763084,418618,418618,418618,0,
2016-08-22T13:03:18.770897,418619,418619,418619,0,
2016-08-22T13:03:18.778710,418620,418620,418620,0,
2016-08-22T13:03:18.786522,418621,418621,418621,0,
2016-08-22T13:03:18.794334,418622,418622,418622,0,
2016-08-22T13:03:18.802147,418623,418623,418623,0,
2016-08-22T13:03:18.809960,418624,418624,418624,0,
2016-08-22T13:03:18.817772,418625,418625,418625,0,
2016-08-22T13:03:18.825584,418626,418626,418626,0,
2016-08-22T13:03:18.833397,418627,418627,418627,0,
2016-08-22T13:03:18.841210,418628,418628,418628,0,
2016-08-22T13:03:18.849022,418629,418629,418629,0,
2016-08-22T13:03:18.856834,418630,418630,418630,0,
2016-08-22T13:03:18.864647,418631,418631,418631,0,
2016-08-22T13:03:18.872460,418632,418632,418632,0,
2016-08-22T13:03:18.880272,418633,418633,418633,0,
2016-08-22T13:03:18.888084,418634,418634,418634,0,
2016-08-22T13:03:18.895897,418635,418635,418635,0,
2016-08-22T13:03:18.903710,418636,418636,418636,0,
2016-08-22T13:03:18.911522,418637,418637,418637,0,
2016-08-22T13:03:18.919334,418638,418638,418638,0,
2016-08-22T13:03:18.927147,418639,418639,418639,0,
2016-08-22T13:03:18.934960,418640,418640,418640,0,
2016-08-22T13:03:18.942772,418641,418641,418641,0,
2016-08-22T13:03:18.950584,418642,418642,418642,0,
