Time,Bx,By,Bz,status
2016-08-22T13:02:28.885038,0,0,0,0,
2016-08-22T13:02:28.892851,0,0,0,0,
2016-08-22T13:02:28.900664,414635,414635,414635,0,
2016-08-22T13:02:28.908476,414636,414636,414636,0,
2016-08-22T13:02:28.916288,414637,414637,414637,0,
2016-08-22T13:02:28.924101,414638,414638,414638,0,
2016-08-22T13:02:28.931914,414639,414639,414639,0,
2016-08-22T13:02:28.939726,414640,414640,414640,0,
2016-08-22T13:02:28.947538,414641,414641,414641,0,
2016-08-22T13:02:28.955351,414642,414642,414642,0,
2016-08-22T13:02:28.963164,414643,414643,414643,0,
2016-08-22T13:02:28.970976,414644,414644,414644,0,
2016-08-22T13:02:28.978788,414645,414645,414645,0,
2016-08-22T13:02:28.986601,414646,414646,414646,0,
2016-08-22T13:02:28.994414,414647,414647,414647,0,
2016-08-22T13:02:29.002226,414648,414648,414648,0,
2016-08-22T13:02:29.010038,414649,414649,414649,0,
2016-08-22T13:02:29.017851,414650,414650,414650,0,
2016-08-22T13:02:29.025664,414651,414651,414651,0,
2016-08-22T13:02:29.033476,414652,414652,414652,0,
2016-08-22T13:02:29.041288,414653,414653,414653,0,
2016-08-22T13:02:29.049101,414654,414654,414654,0,
2016-08-22T13:02:29.056914,414655,414655,414655,0,
2016-08-22T13:02:29.064726,414656,414656,414656,0,
2016-08-22T13:02:29.072538,414657,414657,414657,0,
2016-08-22T13:02:29.080351,414658,414658,414658,0,
2016-08-22T13:02:29.088164,414659,414659,414659,0,
2016-08-22T13:02:29.095976,414660,414660,414660,0,
2016-08-22T13:02:29.103788,414661,414661,414661,0,
2016-08-22T13:02:29.111601,414662,414662,414662,0,
2016-08-22T13:02:29.119414,414663,414663,414663,0,
2016-08-22T13:02:29.127226,414664,414664,414664,0,
2016-08-22T13:02:29.135038,414665,414665,414665,0,
2016-08-22T13:02:29.142851,414666,414666,414666,0,
2016-08-22T13:02:29.150664,414667,414667,414667,0,
2016-08-22T13:02:29.158476,414668,414668,414668,0,
2016-08-22T13:02:29.166288,414669,414669,414669,0,
2016-08-22T13:02:29.174101,414670,414670,414670,0,
2016-08-22T13:02:29.181914,414671,414671,414671,0,
2016-08-22T13:02:29.189726,414672,414672,414672,0,
2016-08-22T13:02:29.197538,414673,414673,414673,0,
2016-08-22T13:02:29.205351,414674,414674,414674,0,
2016-08-22T13:02:29.213164,414675,414675,414675,0,
2016-08-22T13:02:29.220976,414676,414676,414676,0,
2016-08-22T13:02:29.228788,414677,414677,414677,0,
2016-08-22T13:02:29.236601,414678,414678,414678,0,
2016-08-22T13:02:29.244414,414679,414679,414679,0,
