time,status,x,y,z
20160811T17:19:13.040425,1,1731628,1731628,1731628
20160811T17:19:13.048237,1,1731629,1731629,1731629
20160811T17:19:13.056050,1,1731630,1731630,1731630
20160811T17:19:13.063863,1,1731631,1731631,1731631
20160811T17:19:13.071675,1,1731632,1731632,1731632
20160811T17:19:13.079487,1,1731633,1731633,1731633
20160811T17:19:13.087300,1,1731634,1731634,1731634
20160811T17:19:13.095113,1,1731635,1731635,1731635
20160811T17:19:13.102925,1,1731636,1731636,1731636
20160811T17:19:13.110737,1,1731637,1731637,1731637
20160811T17:19:13.118550,1,1731638,1731638,1731638
20160811T17:19:13.126363,1,1731639,1731639,1731639
20160811T17:19:13.134175,1,1731640,1731640,1731640
20160811T17:19:13.141987,1,1731641,1731641,1731641
20160811T17:19:13.149800,1,1731642,1731642,1731642
20160811T17:19:13.157613,1,1731643,1731643,1731643
20160811T17:19:13.165425,1,1731644,1731644,1731644
20160811T17:19:13.173237,1,1731645,1731645,1731645
20160811T17:19:13.181050,1,1731646,1731646,1731646
20160811T17:19:13.188863,1,1731647,1731647,1731647
20160811T17:19:13.196675,1,1731648,1731648,1731648
20160811T17:19:13.204487,1,1731649,1731649,1731649
20160811T17:19:13.212300,1,1731650,1731650,1731650
20160811T17:19:13.220113,1,1731651,1731651,1731651
20160811T17:19:13.227925,1,1731652,1731652,1731652
20160811T17:19:13.235737,1,1731653,1731653,1731653
20160811T17:19:13.243550,1,1731654,1731654,1731654
20160811T17:19:13.251363,1,1731655,1731655,1731655
20160811T17:19:13.259175,1,1731656,1731656,1731656
20160811T17:19:13.266987,1,1731657,1731657,1731657
20160811T17:19:13.274800,1,1731658,1731658,1731658
20160811T17:19:13.282613,1,1731659,1731659,1731659
20160811T17:19:13.290425,1,1731660,1731660,1731660
20160811T17:19:13.298237,1,1731661,1731661,1731661
20160811T17:19:13.306050,1,1731662,1731662,1731662
20160811T17:19:13.313863,1,1731663,1731663,1731663
20160811T17:19:13.321675,1,1731664,1731664,1731664
20160811T17:19:13.329487,1,1731665,1731665,1731665
20160811T17:19:13.337300,1,1731666,1731666,1731666
20160811T17:19:13.345113,1,1731667,1731667,1731667
20160811T17:19:13.352925,1,1731668,1731668,1731668
20160811T17:19:13.360737,1,1731669,1731669,1731669
20160811T17:19:13.368550,1,1731670,1731670,1731670
20160811T17:19:13.376363,1,1731671,1731671,1731671
20160811T17:19:13.384175,1,1731672,1731672,1731672
20160811T17:19:13.391987,1,1731673,1731673,1731673
20160811T17:19:13.399800,1,1731674,1731674,1731674
20160811T17:19:13.407613,1,1731675,1731675,1731675
20160811T17:19:13.415425,1,1731676,1731676,1731676
20160811T17:19:13.423237,1,1731677,1731677,1731677
20160811T17:19:13.431050,1,1731678,1731678,1731678
20160811T17:19:13.438863,1,1731679,1731679,1731679
20160811T17:19:13.446675,1,1731680,1731680,1731680
20160811T17:19:13.454487,1,1731681,1731681,1731681
20160811T17:19:13.462300,1,1731682,1731682,1731682
20160811T17:19:13.470113,1,1731683,1731683,1731683
20160811T17:19:13.477925,1,1731684,1731684,1731684
20160811T17:19:13.485737,1,1731685,1731685,1731685
20160811T17:19:13.493550,1,1731686,1731686,1731686
20160811T17:19:13.501363,1,1731687,1731687,1731687
20160811T17:19:13.509175,1,1731688,1731688,1731688
20160811T17:19:13.516987,1,1731689,1731689,1731689
20160811T17:19:13.524800,1,1731690,1731690,1731690
20160811T17:19:13.532613,1,1731691,1731691,1731691
20160811T17:19:13.540425,1,1731692,1731692,1731692
20160811T17:19:13.548237,1,1731693,1731693,1731693
20160811T17:19:13.556050,1,1731694,1731694,1731694
20160811T17:19:13.563863,1,1731695,1731695,1731695
20160811T17:19:13.571675,1,1731696,1731696,1731696
20160811T17:19:13.579487,1,1731697,1731697,1731697
20160811T17:19:13.587300,1,1731698,1731698,1731698
20160811T17:19:13.595113,1,1731699,1731699,1731699
20160811T17:19:13.602925,1,1731700,1731700,1731700
20160811T17:19:13.610737,1,1731701,1731701,1731701
20160811T17:19:13.618550,1,1731702,1731702,1731702
20160811T17:19:13.626363,1,1731703,1731703,1731703
20160811T17:19:13.634175,1,1731704,1731704,1731704
20160811T17:19:13.641987,1,1731705,1731705,1731705
20160811T17:19:13.649800,1,1731706,1731706,1731706
20160811T17:19:13.657613,1,1731707,1731707,1731707
20160811T17:19:13.665425,1,1731708,1731708,1731708
20160811T17:19:13.673237,1,1731709,1731709,1731709
20160811T17:19:13.681050,1,1731710,1731710,1731710
20160811T17:19:13.688863,1,1731711,1731711,1731711
20160811T17:19:13.696675,1,1731712,1731712,1731712
20160811T17:19:13.704487,1,1731713,1731713,1731713
20160811T17:19:13.712300,1,1731714,1731714,1731714
20160811T17:19:13.720113,1,1731715,1731715,1731715
20160811T17:19:13.727925,1,1731716,1731716,1731716
20160811T17:19:13.735737,1,1731717,1731717,1731717
20160811T17:19:13.743550,1,1731718,1731718,1731718
20160811T17:19:13.751363,1,1731719,1731719,1731719
20160811T17:19:13.759175,1,1731720,1731720,1731720
