time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20161019 22:37:26.121806,0,0,4,160,11,130,0,305,40193
20161019 22:37:26.121806,0,0,0,0,0,4,171,2198121347,1195
20161019 22:37:26.121806,0,128,3,0,0,0,0,20028929,0
20161019 22:37:26.121806,0,0,4,160,11,132,4,2877555883,33792
20161019 22:37:26.121806,0,0,0,0,0,1,49,2667642880,1195
20161019 22:37:26.121806,0,128,5,0,4,171,133,78349568,32256
20161019 22:37:26.121806,0,0,0,0,0,1,49,2566979584,1195
20161019 22:37:26.121806,0,112,15,0,4,171,127,78348032,0
20161019 22:37:26.121806,0,0,1,48,1,154,1,1195,32772
20161019 22:37:26.121806,0,160,11,128,0,4,171,2147483648,305
20161019 22:37:26.121806,0,144,11,0,1,0,0,78348548,43905
20161019 22:37:26.121806,0,0,4,160,11,129,0,305,39937
20161019 22:37:26.121806,0,0,0,0,0,4,171,2181344130,1195
20161019 22:37:26.121806,0,128,2,0,0,0,0,20028673,0
20161019 22:37:26.121806,0,0,4,160,11,131,4,2877490347,33536
20161019 22:37:26.121806,0,0,0,0,0,1,49,2650865664,1195
20161019 22:37:26.121806,0,128,4,0,4,171,132,78349312,0
20161019 22:37:26.121806,0,0,1,48,1,159,1,1195,34052
20161019 22:37:26.121806,0,160,11,128,5,4,171,2231369728,305
20161019 22:37:26.121806,0,160,0,0,1,0,0,78349828,43910
20161019 22:37:26.121806,0,0,4,160,11,134,0,305,41217
20161019 22:37:26.121806,0,0,0,0,0,4,171,2265230215,1195
20161019 22:37:26.121806,0,128,7,0,0,0,0,20029953,0
20161019 22:37:26.121806,0,0,4,160,11,136,4,2877818027,34816
20161019 22:37:26.121806,0,0,0,0,0,1,49,2734751744,1195
20161019 22:37:26.121806,0,128,9,0,4,171,137,78350592,0
20161019 22:37:26.121806,0,0,1,48,1,164,1,1195,35332
20161019 22:37:26.121806,0,160,11,128,10,4,171,2315255808,305
20161019 22:37:26.121806,0,160,5,0,1,0,0,78351108,43915
20161019 22:37:26.121806,0,0,4,160,11,139,0,305,42497
20161019 22:37:26.121806,0,0,0,0,0,4,171,2349116300,1195
20161019 22:37:26.121806,0,128,12,0,0,0,0,20031233,0
20161019 22:37:26.121806,0,0,4,160,11,141,4,2878145707,36096
20161019 22:37:26.121806,0,0,0,0,0,1,49,2818637824,1195
20161019 22:37:26.121806,0,128,14,0,4,171,142,78351872,0
20161019 22:37:26.121806,0,0,1,48,1,169,1,1195,36612
20161019 22:37:26.121806,0,160,11,128,15,4,171,2399141888,305
20161019 22:37:26.121806,0,160,10,0,1,0,0,78352388,43920
20161019 22:37:26.121806,0,0,4,160,11,144,0,305,43777
20161019 22:37:26.121806,0,0,0,0,0,4,171,2433002385,1195
20161019 22:37:26.121806,0,144,1,0,0,0,0,20032513,0
20161019 22:37:26.121806,0,0,4,160,11,146,4,2878473387,37376
20161019 22:37:26.121806,0,0,0,0,0,1,49,2902523904,1195
20161019 22:37:26.121806,0,144,3,0,4,171,147,78353152,0
20161019 22:37:26.121806,0,0,1,48,1,174,1,1195,37892
20161019 22:37:26.121806,0,160,11,144,4,4,171,2483027968,305
20161019 22:37:26.121806,0,160,15,0,1,0,0,78353668,43925
20161019 22:37:26.121806,0,0,4,160,11,149,0,305,45057
20161019 22:37:26.121806,0,0,0,0,0,4,171,2516888470,1195
20161019 22:37:26.121806,0,144,6,0,0,0,0,20033793,0
20161019 22:37:26.121806,0,0,4,160,11,151,4,2878801067,38656
20161019 22:37:26.121806,0,0,0,0,0,1,49,2986409984,1195
20161019 22:37:26.121806,0,144,8,0,4,171,152,78354432,0
20161019 22:37:26.121806,0,0,1,48,1,179,1,1195,39172
20161019 22:37:26.121806,0,160,11,144,9,4,171,2566914048,305
20161019 22:37:26.121806,0,176,4,0,1,0,0,78354948,43930
20161019 22:37:26.121806,0,0,4,160,11,154,0,305,46337
20161019 22:37:26.121806,0,0,0,0,0,4,171,2600774555,1195
20161019 22:37:26.121806,0,144,11,0,0,0,0,20035073,0
20161019 22:37:26.121806,0,0,4,160,11,156,4,2879128747,39936
20161019 22:37:26.121806,0,0,0,0,0,1,49,3070296064,1195
20161019 22:37:26.121806,0,144,13,0,4,171,157,78355712,0
20161019 22:37:26.121806,0,0,1,48,1,184,1,1195,40452
20161019 22:37:26.121806,0,160,11,144,14,4,171,2650800128,305
20161019 22:37:26.121806,0,176,9,0,1,0,0,78356228,43935
20161019 22:37:26.121806,0,0,4,160,11,159,0,305,47617
20161019 22:37:26.121806,0,0,0,0,0,4,171,2684660640,1195
20161019 22:37:26.121806,0,160,0,0,0,0,0,20036353,0
20161019 22:37:26.121806,0,0,4,160,11,161,4,2879456427,41216
20161019 22:37:26.121806,0,0,0,0,0,1,49,3154182144,1195
20161019 22:37:26.121806,0,160,2,0,4,171,162,78356992,0
20161019 22:37:26.121806,0,0,1,48,1,189,1,1195,41732
