time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160810 15:25:50.764367,0,144,13,144,13,157,157,35229,137
20160810 15:25:50.772179,0,144,14,144,14,158,158,35230,137
20160810 15:25:50.779991,0,144,15,144,15,159,159,35231,137
20160810 15:25:50.787804,0,160,0,160,0,160,160,35232,137
20160810 15:25:50.795617,0,160,1,160,1,161,161,35233,137
20160810 15:25:50.803429,0,160,2,160,2,162,162,35234,137
20160810 15:25:50.811241,0,160,3,160,3,163,163,35235,137
20160810 15:25:50.819054,0,160,4,160,4,164,164,35236,137
20160810 15:25:50.826867,0,160,5,160,5,165,165,35237,137
20160810 15:25:50.834679,0,160,6,160,6,166,166,35238,137
20160810 15:25:50.842491,0,160,7,160,7,167,167,35239,137
20160810 15:25:50.850304,0,160,8,160,8,168,168,35240,137
20160810 15:25:50.858117,0,160,9,160,9,169,169,35241,137
20160810 15:25:50.865929,0,160,10,160,10,170,170,35242,137
20160810 15:25:50.873741,0,160,11,160,11,171,171,35243,137
20160810 15:25:50.881554,0,160,12,160,12,172,172,35244,137
20160810 15:25:50.889367,0,160,13,160,13,173,173,35245,137
20160810 15:25:50.897179,0,160,14,160,14,174,174,35246,137
20160810 15:25:50.904991,0,160,15,160,15,175,175,35247,137
20160810 15:25:50.912804,0,176,0,176,0,176,176,35248,137
20160810 15:25:50.920617,0,176,1,176,1,177,177,35249,137
20160810 15:25:50.928429,0,176,2,176,2,178,178,35250,137
20160810 15:25:50.936241,0,176,3,176,3,179,179,35251,137
20160810 15:25:50.944054,0,176,4,176,4,180,180,35252,137
20160810 15:25:50.951867,0,176,5,176,5,181,181,35253,137
20160810 15:25:50.959679,0,176,6,176,6,182,182,35254,137
20160810 15:25:50.967491,0,176,7,176,7,183,183,35255,137
20160810 15:25:50.975304,0,176,8,176,8,184,184,35256,137
20160810 15:25:50.983117,0,176,9,176,9,185,185,35257,137
20160810 15:25:50.990929,0,176,10,176,10,186,186,35258,137
20160810 15:25:50.998741,0,176,11,176,11,187,187,35259,137
20160810 15:25:51.006554,0,176,12,176,12,188,188,35260,137
20160810 15:25:51.014367,0,176,13,176,13,189,189,35261,137
20160810 15:25:51.022179,0,176,14,176,14,190,190,35262,137
20160810 15:25:51.029991,0,176,15,176,15,191,191,35263,137
20160810 15:25:51.037804,0,192,0,192,0,192,192,35264,137
20160810 15:25:51.045617,0,192,1,192,1,193,193,35265,137
20160810 15:25:51.053429,0,192,2,192,2,194,194,35266,137
20160810 15:25:51.061241,0,192,3,192,3,195,195,35267,137
20160810 15:25:51.069054,0,192,4,192,4,196,196,35268,137
20160810 15:25:51.076867,0,192,5,192,5,197,197,35269,137
20160810 15:25:51.084679,0,192,6,192,6,198,198,35270,137
20160810 15:25:51.092491,0,192,7,192,7,199,199,35271,137
20160810 15:25:51.100304,0,192,8,192,8,200,200,35272,137
20160810 15:25:51.108117,0,192,9,192,9,201,201,35273,137
20160810 15:25:51.115929,0,192,10,192,10,202,202,35274,137
20160810 15:25:51.123741,0,192,11,192,11,203,203,35275,137
20160810 15:25:51.131554,0,192,12,192,12,204,204,35276,137
20160810 15:25:51.139367,0,192,13,192,13,205,205,35277,137
20160810 15:25:51.147179,0,192,14,192,14,206,206,35278,137
20160810 15:25:51.154991,0,192,15,192,15,207,207,35279,137
20160810 15:25:51.162804,0,208,0,208,0,208,208,35280,137
20160810 15:25:51.170617,0,208,1,208,1,209,209,35281,137
20160810 15:25:51.178429,0,208,2,208,2,210,210,35282,137
20160810 15:25:51.186241,0,208,3,208,3,211,211,35283,137
20160810 15:25:51.194054,0,208,4,208,4,212,212,35284,137
20160810 15:25:51.201867,0,208,5,208,5,213,213,35285,137
20160810 15:25:51.209679,0,208,6,208,6,214,214,35286,137
20160810 15:25:51.217491,0,208,7,208,7,215,215,35287,137
20160810 15:25:51.225304,0,208,8,208,8,216,216,35288,137
20160810 15:25:51.233117,0,208,9,208,9,217,217,35289,137
20160810 15:25:51.240929,0,208,10,208,10,218,218,35290,137
20160810 15:25:51.248741,0,208,11,208,11,219,219,35291,137
20160810 15:25:51.256554,0,208,12,208,12,220,220,35292,137
20160810 15:25:51.264367,0,208,13,208,13,221,221,35293,137
20160810 15:25:51.272179,0,208,14,208,14,222,222,35294,137
20160810 15:25:51.279991,0,208,15,208,15,223,223,35295,137
20160810 15:25:51.287804,0,224,0,224,0,224,224,35296,137
20160810 15:25:51.295617,0,224,1,224,1,225,225,35297,137
20160810 15:25:51.303429,0,224,2,224,2,226,226,35298,137
20160810 15:25:51.311241,0,224,3,224,3,227,227,35299,137
20160810 15:25:51.319054,0,224,4,224,4,228,228,35300,137
20160810 15:25:51.326867,0,224,5,224,5,229,229,35301,137
20160810 15:25:51.334679,0,224,6,224,6,230,230,35302,137
20160810 15:25:51.342491,0,224,7,224,7,231,231,35303,137
20160810 15:25:51.350304,0,224,8,224,8,232,232,35304,137
20160810 15:25:51.358117,0,224,9,224,9,233,233,35305,137
20160810 15:25:51.365929,0,224,10,224,10,234,234,35306,137
20160810 15:25:51.373741,0,224,11,224,11,235,235,35307,137
20160810 15:25:51.381554,0,224,12,224,12,236,236,35308,137
20160810 15:25:51.389367,0,224,13,224,13,237,237,35309,137
20160810 15:25:51.397179,0,224,14,224,14,238,238,35310,137
20160810 15:25:51.404991,0,224,15,224,15,239,239,35311,137
20160810 15:25:51.412804,0,240,0,240,0,240,240,35312,137
20160810 15:25:51.420617,0,240,1,240,1,241,241,35313,137
20160810 15:25:51.428429,0,240,2,240,2,242,242,35314,137
20160810 15:25:51.436241,0,240,3,240,3,243,243,35315,137
20160810 15:25:51.444054,0,240,4,240,4,244,244,35316,137
20160810 15:25:51.451867,0,240,5,240,5,245,245,35317,137
20160810 15:25:51.459679,0,240,6,240,6,246,246,35318,137
20160810 15:25:51.467491,0,240,7,240,7,247,247,35319,137
20160810 15:25:51.475304,0,240,8,240,8,248,248,35320,137
20160810 15:25:51.483117,0,240,9,240,9,249,249,35321,137
20160810 15:25:51.490929,0,240,10,240,10,250,250,35322,137
20160810 15:25:51.498741,0,240,11,240,11,251,251,35323,137
20160810 15:25:51.506554,0,240,12,240,12,252,252,35324,137
20160810 15:25:51.514367,0,240,13,240,13,253,253,35325,137
20160810 15:25:51.522179,0,240,14,240,14,254,254,35326,137
20160810 15:25:51.529991,0,240,15,240,15,255,255,35327,137
20160810 15:25:51.537804,0,0,0,0,0,0,0,35328,138
20160810 15:25:51.545617,0,0,1,0,1,1,1,35329,138
20160810 15:25:51.553429,0,0,2,0,2,2,2,35330,138
20160810 15:25:51.561241,0,0,3,0,3,3,3,35331,138
