time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160810 13:34:16.365422,0,176,3,176,3,179,179,225203,879
20160810 13:34:16.373235,0,176,4,176,4,180,180,225204,879
20160810 13:34:16.381047,0,176,5,176,5,181,181,225205,879
20160810 13:34:16.388859,0,176,6,176,6,182,182,225206,879
20160810 13:34:16.396672,0,176,7,176,7,183,183,225207,879
20160810 13:34:16.404485,0,176,8,176,8,184,184,225208,879
20160810 13:34:16.412297,0,176,9,176,9,185,185,225209,879
20160810 13:34:16.420109,0,176,10,176,10,186,186,225210,879
20160810 13:34:16.427922,0,176,11,176,11,187,187,225211,879
20160810 13:34:16.435735,0,176,12,176,12,188,188,225212,879
20160810 13:34:16.443547,0,176,13,176,13,189,189,225213,879
20160810 13:34:16.451359,0,176,14,176,14,190,190,225214,879
20160810 13:34:16.459172,0,176,15,176,15,191,191,225215,879
20160810 13:34:16.466985,0,192,0,192,0,192,192,225216,879
20160810 13:34:16.474797,0,192,1,192,1,193,193,225217,879
20160810 13:34:16.482609,0,192,2,192,2,194,194,225218,879
20160810 13:34:16.490422,0,192,3,192,3,195,195,225219,879
20160810 13:34:16.498235,0,192,4,192,4,196,196,225220,879
20160810 13:34:16.506047,0,192,5,192,5,197,197,225221,879
20160810 13:34:16.513859,0,192,6,192,6,198,198,225222,879
20160810 13:34:16.521672,0,192,7,192,7,199,199,225223,879
20160810 13:34:16.529485,0,192,8,192,8,200,200,225224,879
20160810 13:34:16.537297,0,192,9,192,9,201,201,225225,879
20160810 13:34:16.545109,0,192,10,192,10,202,202,225226,879
20160810 13:34:16.552922,0,192,11,192,11,203,203,225227,879
20160810 13:34:16.560735,0,192,12,192,12,204,204,225228,879
20160810 13:34:16.568547,0,192,13,192,13,205,205,225229,879
20160810 13:34:16.576359,0,192,14,192,14,206,206,225230,879
20160810 13:34:16.584172,0,192,15,192,15,207,207,225231,879
20160810 13:34:16.591985,0,208,0,208,0,208,208,225232,879
20160810 13:34:16.599797,0,208,1,208,1,209,209,225233,879
20160810 13:34:16.607609,0,208,2,208,2,210,210,225234,879
20160810 13:34:16.615422,0,208,3,208,3,211,211,225235,879
20160810 13:34:16.623235,0,208,4,208,4,212,212,225236,879
20160810 13:34:16.631047,0,208,5,208,5,213,213,225237,879
20160810 13:34:16.638859,0,208,6,208,6,214,214,225238,879
20160810 13:34:16.646672,0,208,7,208,7,215,215,225239,879
20160810 13:34:16.654485,0,208,8,208,8,216,216,225240,879
20160810 13:34:16.662297,0,208,9,208,9,217,217,225241,879
20160810 13:34:16.670109,0,208,10,208,10,218,218,225242,879
20160810 13:34:16.677922,0,208,11,208,11,219,219,225243,879
20160810 13:34:16.685735,0,208,12,208,12,220,220,225244,879
20160810 13:34:16.693547,0,208,13,208,13,221,221,225245,879
20160810 13:34:16.701359,0,208,14,208,14,222,222,225246,879
20160810 13:34:16.709172,0,208,15,208,15,223,223,225247,879
20160810 13:34:16.716985,0,224,0,224,0,224,224,225248,879
20160810 13:34:16.724797,0,224,1,224,1,225,225,225249,879
20160810 13:34:16.732609,0,224,2,224,2,226,226,225250,879
20160810 13:34:16.740422,0,224,3,224,3,227,227,225251,879
20160810 13:34:16.748235,0,224,4,224,4,228,228,225252,879
20160810 13:34:16.756047,0,224,5,224,5,229,229,225253,879
20160810 13:34:16.763859,0,224,6,224,6,230,230,225254,879
20160810 13:34:16.771672,0,224,7,224,7,231,231,225255,879
20160810 13:34:16.779485,0,224,8,224,8,232,232,225256,879
20160810 13:34:16.787297,0,224,9,224,9,233,233,225257,879
20160810 13:34:16.795109,0,224,10,224,10,234,234,225258,879
20160810 13:34:16.802922,0,224,11,224,11,235,235,225259,879
20160810 13:34:16.810735,0,224,12,224,12,236,236,225260,879
20160810 13:34:16.818547,0,224,13,224,13,237,237,225261,879
20160810 13:34:16.826359,0,224,14,224,14,238,238,225262,879
20160810 13:34:16.834172,0,224,15,224,15,239,239,225263,879
20160810 13:34:16.841985,0,240,0,240,0,240,240,225264,879
20160810 13:34:16.849797,0,240,1,240,1,241,241,225265,879
20160810 13:34:16.857609,0,240,2,240,2,242,242,225266,879
20160810 13:34:16.865422,0,240,3,240,3,243,243,225267,879
20160810 13:34:16.873235,0,240,4,240,4,244,244,225268,879
20160810 13:34:16.881047,0,240,5,240,5,245,245,225269,879
20160810 13:34:16.888859,0,240,6,240,6,246,246,225270,879
20160810 13:34:16.896672,0,240,7,240,7,247,247,225271,879
20160810 13:34:16.904485,0,240,8,240,8,248,248,225272,879
20160810 13:34:16.912297,0,240,9,240,9,249,249,225273,879
20160810 13:34:16.920109,0,240,10,240,10,250,250,225274,879
20160810 13:34:16.927922,0,240,11,240,11,251,251,225275,879
20160810 13:34:16.935735,0,240,12,240,12,252,252,225276,879
20160810 13:34:16.943547,0,240,13,240,13,253,253,225277,879
20160810 13:34:16.951359,0,240,14,240,14,254,254,225278,879
20160810 13:34:16.959172,0,240,15,240,15,255,255,225279,879
20160810 13:34:16.966985,0,0,0,0,0,0,0,225280,880
20160810 13:34:16.974797,0,0,1,0,1,1,1,225281,880
20160810 13:34:16.982609,0,0,2,0,2,2,2,225282,880
20160810 13:34:16.990422,0,0,3,0,3,3,3,225283,880
20160810 13:34:16.998235,0,0,4,0,4,4,4,225284,880
20160810 13:34:17.006047,0,0,5,0,5,5,5,225285,880
20160810 13:34:17.013859,0,0,6,0,6,6,6,225286,880
20160810 13:34:17.021672,0,0,7,0,7,7,7,225287,880
20160810 13:34:17.029485,0,0,8,0,8,8,8,225288,880
20160810 13:34:17.037297,0,0,9,0,9,9,9,225289,880
20160810 13:34:17.045109,0,0,10,0,10,10,10,225290,880
20160810 13:34:17.052922,0,0,11,0,11,11,11,225291,880
20160810 13:34:17.060735,0,0,12,0,12,12,12,225292,880
20160810 13:34:17.068547,0,0,13,0,13,13,13,225293,880
20160810 13:34:17.076359,0,0,14,0,14,14,14,225294,880
