time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160825 10:54:41.323890,72,176,9,0,1,65,185,0,2150
20160825 10:54:41.323890,72,0,1,0,0,0,1,1102709057,47617
20160825 10:54:41.323890,72,64,1,176,10,0,0,2151,256
20160825 10:54:41.323890,72,0,0,0,1,65,187,21084929,16827
20160825 10:54:41.323890,72,0,0,0,0,0,0,141033728,1
20160825 10:54:41.323890,72,64,1,176,12,1,65,3154198972,0
20160825 10:54:41.323890,72,0,0,0,0,8,105,16777217,16829
20160825 10:54:41.323890,72,0,1,64,1,189,1,1102905344,0
20160825 10:54:41.323890,72,0,8,96,10,1,0,82366,321
20160825 10:54:41.323890,72,176,14,0,1,65,190,0,2155
20160825 10:54:41.323890,72,0,1,0,0,0,1,1103036737,48897
20160825 10:54:41.323890,72,64,1,176,15,0,0,2156,256
20160825 10:54:41.323890,72,0,0,0,1,65,192,21086209,16832
20160825 10:54:41.323890,72,0,0,0,0,0,0,141361408,1
20160825 10:54:41.323890,72,64,1,192,1,1,65,3238085057,0
20160825 10:54:41.323890,72,0,0,0,0,8,110,16777217,16834
20160825 10:54:41.323890,72,0,1,64,1,194,1,1103233024,0
20160825 10:54:41.323890,72,0,8,96,15,1,0,82371,321
20160825 10:54:41.323890,72,192,3,0,1,65,195,0,2160
20160825 10:54:41.323890,72,0,1,0,0,0,1,1103364417,50177
20160825 10:54:41.323890,72,64,1,192,4,0,0,2161,256
20160825 10:54:41.323890,72,0,0,0,1,65,197,21087489,16837
20160825 10:54:41.323890,72,0,0,0,0,0,0,141689088,1
20160825 10:54:41.323890,72,64,1,192,6,1,65,3321971142,0
20160825 10:54:41.323890,72,0,0,0,0,8,115,16777217,16839
20160825 10:54:41.323890,72,0,1,64,1,199,1,1103560704,0
20160825 10:54:41.323890,72,0,8,112,4,1,0,82376,321
20160825 10:54:41.323890,72,192,8,0,1,65,200,0,2165
20160825 10:54:41.323890,72,0,1,0,0,0,1,1103692097,51457
20160825 10:54:41.323890,72,64,1,192,9,0,0,2166,256
20160825 10:54:41.323890,72,0,0,0,1,65,202,21088769,16842
20160825 10:54:41.323890,72,0,0,0,0,0,0,142016768,1
20160825 10:54:41.323890,72,64,1,192,11,1,65,3405857227,0
20160825 10:54:41.323890,72,0,0,0,0,8,120,16777217,16844
20160825 10:54:41.323890,72,0,1,64,1,204,1,1103888384,0
20160825 10:54:41.323890,72,0,8,112,9,1,0,82381,321
20160825 10:54:41.323890,72,192,13,0,1,65,205,0,2170
20160825 10:54:41.323890,72,0,1,0,0,0,1,1104019777,52737
20160825 10:54:41.323890,72,64,1,192,14,0,0,2171,256
20160825 10:54:41.323890,72,0,0,0,1,65,207,21090049,16847
20160825 10:54:41.323890,72,0,0,0,0,0,0,142344448,1
20160825 10:54:41.323890,72,64,1,208,0,1,65,3489743312,0
20160825 10:54:41.323890,72,0,0,0,0,8,125,16777217,16849
20160825 10:54:41.323890,72,0,1,64,1,209,1,1104216064,0
20160825 10:54:41.323890,72,0,8,112,14,1,0,82386,321
20160825 10:54:41.323890,72,208,2,0,1,65,210,0,2175
20160825 10:54:41.323890,72,0,1,0,0,0,1,1104347457,54017
20160825 10:54:41.323890,72,64,1,208,3,0,0,2176,256
20160825 10:54:41.323890,72,0,0,0,1,65,212,21091329,16852
20160825 10:54:41.323890,72,0,0,0,0,0,0,142672128,1
20160825 10:54:41.323890,72,64,1,208,5,1,65,3573629397,0
20160825 10:54:41.323890,72,0,0,0,0,8,130,16777217,16854
20160825 10:54:41.323890,72,0,1,64,1,214,1,1104543744,0
20160825 10:54:41.323890,72,0,8,128,3,1,0,82391,321
20160825 10:54:41.323890,72,208,7,0,1,65,215,0,2180
20160825 10:54:41.323890,72,0,1,0,0,0,1,1104675137,55297
20160825 10:54:41.323890,72,64,1,208,8,0,0,2181,256
20160825 10:54:41.323890,72,0,0,0,1,65,217,21092609,16857
20160825 10:54:41.323890,72,0,0,0,0,0,0,142999808,1
20160825 10:54:41.323890,72,64,1,208,10,1,65,3657515482,0
20160825 10:54:41.323890,72,0,0,0,0,8,135,16777217,16859
20160825 10:54:41.323890,72,0,1,64,1,219,1,1104871424,0
20160825 10:54:41.323890,72,0,8,128,8,1,0,82396,321
20160825 10:54:41.323890,72,208,12,0,1,65,220,0,2185
20160825 10:54:41.323890,72,0,1,0,0,0,1,1105002817,56577
20160825 10:54:41.323890,72,64,1,208,13,0,0,2186,256
20160825 10:54:41.323890,72,0,0,0,1,65,222,21093889,16862
20160825 10:54:41.323890,72,0,0,0,0,0,0,143327488,1
20160825 10:54:41.323890,72,64,1,208,15,1,65,3741401567,0
20160825 10:54:41.323890,72,0,0,0,0,8,140,16777217,16864
20160825 10:54:41.323890,72,0,1,64,1,224,1,1105199104,0
20160825 10:54:41.323890,72,0,8,128,13,1,0,82401,321
20160825 10:54:41.323890,72,224,1,0,1,65,225,0,2190
20160825 10:54:41.323890,72,0,1,0,0,0,1,1105330497,57857
20160825 10:54:41.323890,72,64,1,224,2,0,0,2191,256
20160825 10:54:41.323890,72,0,0,0,1,65,227,21095169,16867
20160825 10:54:41.323890,72,0,0,0,0,0,0,143655168,1
20160825 10:54:41.323890,72,64,1,224,4,1,65,3825287652,0
20160825 10:54:41.323890,72,0,0,0,0,8,145,16777217,16869
20160825 10:54:41.323890,72,0,1,64,1,229,1,1105526784,0
20160825 10:54:41.323890,72,0,8,144,2,1,0,82406,321
20160825 10:54:41.323890,72,224,6,0,1,65,230,0,2195
20160825 10:54:41.323890,72,0,1,0,0,0,1,1105658177,59137
20160825 10:54:41.323890,72,64,1,224,7,0,0,2196,256
20160825 10:54:41.323890,72,0,0,0,1,65,232,21096449,16872
20160825 10:54:41.323890,72,0,0,0,0,0,0,143982848,1
20160825 10:54:41.323890,72,64,1,224,9,1,65,3909173737,0
20160825 10:54:41.323890,72,0,0,0,0,8,150,16777217,16874
20160825 10:54:41.323890,72,0,1,64,1,234,1,1105854464,0
20160825 10:54:41.323890,72,0,8,144,7,1,0,82411,321
20160825 10:54:41.323890,72,224,11,0,1,65,235,0,2200
20160825 10:54:41.323890,72,0,1,0,0,0,1,1105985857,60417
20160825 10:54:41.323890,72,64,1,224,12,0,0,2201,256
20160825 10:54:41.323890,72,0,0,0,1,65,237,21097729,16877
20160825 10:54:41.323890,72,0,0,0,0,0,0,144310528,1
20160825 10:54:41.323890,72,64,1,224,14,1,65,3993059822,0
20160825 10:54:41.323890,72,0,0,0,0,8,155,16777217,16879
20170128 15:36:17.323890,66,0,1,0,0,0,1,1115291970,31233
20170128 15:36:17.323890,66,64,2,112,10,0,0,2343,256
20170128 15:36:17.323890,66,0,0,0,1,66,123,21134081,17019
20170128 15:36:17.323890,66,0,0,0,0,0,0,153616640,1
20170128 15:36:17.323890,66,64,2,112,12,1,66,2080457340,0
20170128 15:36:17.323890,66,0,0,0,0,9,41,16777217,17021
20170128 15:36:17.323890,66,0,1,64,2,125,1,1115488256,0
20170128 15:36:17.323890,66,0,9,32,10,1,0,82558,322
20170128 15:36:17.323890,66,112,14,0,1,66,126,0,2347
20170128 15:36:17.323890,66,0,1,0,0,0,1,1115619650,32513
20170128 15:36:17.323890,66,64,2,112,15,0,0,2348,256
20170128 15:36:17.323890,66,0,0,0,1,66,128,21135361,17024
20170128 15:36:17.323890,66,0,0,0,0,0,0,153944320,1
20170128 15:36:17.323890,66,64,2,128,1,1,66,2164343425,0
20170128 15:36:17.323890,66,0,0,0,0,9,46,16777217,17026
20170128 15:36:17.323890,66,0,1,64,2,130,1,1115815936,0
20170128 15:36:17.323890,66,0,9,32,15,1,0,82563,322
20170128 15:36:17.323890,66,128,3,0,1,66,131,0,2352
20170128 15:36:17.323890,66,0,1,0,0,0,1,1115947330,33793
20170128 15:36:17.323890,66,64,2,128,4,0,0,2353,256
20170128 15:36:17.323890,66,0,0,0,1,66,133,21136641,17029
20170128 15:36:17.323890,66,0,0,0,0,0,0,154272000,1
20170128 15:36:17.323890,66,64,2,128,6,1,66,2248229510,0
20170128 15:36:17.323890,66,0,0,0,0,9,51,16777217,17031
20170128 15:36:17.323890,66,0,1,64,2,135,1,1116143616,0
20170128 15:36:17.323890,66,0,9,48,4,1,0,82568,322
20170128 15:36:17.323890,66,128,8,0,1,66,136,0,2357
20170128 15:36:17.323890,66,0,1,0,0,0,1,1116275010,35073
20170128 15:36:17.323890,66,64,2,128,9,0,0,2358,256
20170128 15:36:17.323890,66,0,0,0,1,66,138,21137921,17034
20170128 15:36:17.323890,66,0,0,0,0,0,0,154599680,1
20170128 15:36:17.323890,66,64,2,128,11,1,66,2332115595,0
20170128 15:36:17.323890,66,0,0,0,0,9,56,16777217,17036
20170702 09:18:41.323890,66,0,1,0,0,0,1,1121976642,57345
20170702 09:18:41.323890,66,64,2,224,0,0,0,2445,256
20170702 09:18:41.323890,66,0,0,0,1,66,225,21160193,17121
20170702 09:18:41.323890,66,0,0,0,0,0,0,160301312,1
20170702 09:18:41.323890,66,64,2,224,2,1,66,3791733474,0
20170702 09:18:41.323890,66,0,0,0,0,9,143,16777217,17123
20170702 09:18:41.323890,66,0,1,64,2,227,1,1122172928,0
20170702 09:18:41.323890,66,0,9,144,0,1,0,82660,322
20170702 09:18:41.323890,66,224,4,0,1,66,228,0,2449
20170702 09:18:41.323890,66,0,1,0,0,0,1,1122304322,58625
20170702 09:18:41.323890,66,64,2,224,5,0,0,2450,256
20170702 09:18:41.323890,66,0,0,0,1,66,230,21161473,17126
20170702 09:18:41.323890,66,0,0,0,0,0,0,160628992,1
20170702 09:18:41.323890,66,64,2,224,7,1,66,3875619559,0
20170702 09:18:41.323890,66,0,0,0,0,9,148,16777217,17128
20170702 09:18:41.323890,66,0,1,64,2,232,1,1122500608,0
20170702 09:18:41.323890,66,0,9,144,5,1,0,82665,322
20170702 09:18:41.323890,66,224,9,0,1,66,233,0,2454
20170702 09:18:41.323890,66,0,1,0,0,0,1,1122632002,59905
20170702 09:18:41.323890,66,64,2,224,10,0,0,2455,256
20170702 09:18:41.323890,66,0,0,0,1,66,235,21162753,17131
20170702 09:18:41.323890,66,0,0,0,0,0,0,160956672,1
20170702 09:18:41.323890,66,64,2,224,12,1,66,3959505644,0
20170702 09:18:41.323890,66,0,0,0,0,9,153,16777217,17133
20170702 09:18:41.323890,66,0,1,64,2,237,1,1122828288,0
20170702 09:18:41.323890,66,0,9,144,10,1,0,82670,322
20170702 09:18:41.323890,66,224,14,0,1,66,238,0,2459
20170702 09:18:41.323890,66,0,1,0,0,0,1,1122959682,61185
20170702 09:18:41.323890,66,64,2,224,15,0,0,2460,256
20170702 09:18:41.323890,66,0,0,0,1,66,240,21164033,17136
20170702 09:18:41.323890,66,0,0,0,0,0,0,161284352,1
20170702 09:18:41.323890,66,64,2,240,1,1,66,4043391729,0
20170702 09:18:41.323890,66,0,0,0,0,9,158,16777217,17138
20170702 09:18:41.323890,66,0,1,64,2,242,1,1123155968,0
20170702 09:18:41.323890,66,0,9,144,15,1,0,82675,322
20170702 09:18:41.323890,66,240,3,0,1,66,243,0,2464
20170702 09:18:41.323890,66,0,1,0,0,0,1,1123287362,62465
20170702 09:18:41.323890,66,64,2,240,4,0,0,2465,256
20170702 09:18:41.323890,66,0,0,0,1,66,245,21165313,17141
20170702 09:18:41.323890,66,0,0,0,0,0,0,161612032,1
20170702 09:18:41.323890,66,64,2,240,6,1,66,4127277814,0
20170702 09:18:41.323890,66,0,0,0,0,9,163,16777217,17143
20170702 09:18:41.323890,66,0,1,64,2,247,1,1123483648,0
20170702 09:18:41.323890,66,0,9,160,4,1,0,82680,322
20170702 09:18:41.323890,66,240,8,0,1,66,248,0,2469
20170702 09:18:41.323890,66,0,1,0,0,0,1,1123615042,63745
20170702 09:18:41.323890,66,64,2,240,9,0,0,2470,256
20170702 09:18:41.323890,66,0,0,0,1,66,250,21166593,17146
20170702 09:18:41.323890,66,0,0,0,0,0,0,161939712,1
20170702 09:18:41.323890,66,64,2,240,11,1,66,4211163899,0
20170702 09:18:41.323890,66,0,0,0,0,9,168,16777217,17148
20170702 09:18:41.323890,66,0,1,64,2,252,1,1123811328,0
20170702 09:18:41.323890,66,0,9,160,9,1,0,82685,322
20170702 09:18:41.323890,66,240,13,0,1,66,253,0,2474
20170702 09:18:41.323890,66,0,1,0,0,0,1,1123942722,65025
20170702 09:18:41.323890,66,64,2,240,14,0,0,2475,256
20170702 09:18:41.323890,66,0,0,0,1,66,255,21167873,17151
20170702 09:18:41.323890,66,0,0,0,0,0,0,162267392,1
20170702 09:18:41.323890,66,64,3,0,0,1,67,82688,0
20170702 09:18:41.323890,66,0,0,0,0,9,173,16777217,17153
20170702 09:18:41.323890,66,0,1,64,3,1,1,1124139008,0
20170702 09:18:41.323890,66,0,9,160,14,1,0,82690,323
