time,status,x,y,z
20160810 13:33:52.003170,0,234150,234150,234150
20160810 13:33:52.010982,0,234151,234151,234151
20160810 13:33:52.018795,0,234152,234152,234152
20160810 13:33:52.026608,0,234153,234153,234153
20160810 13:33:52.034420,0,234154,234154,234154
20160810 13:33:52.042232,0,234155,234155,234155
20160810 13:33:52.050045,0,234156,234156,234156
20160810 13:33:52.057858,0,234157,234157,234157
20160810 13:33:52.065670,0,234158,234158,234158
20160810 13:33:52.073482,0,234159,234159,234159
20160810 13:33:52.081295,0,234160,234160,234160
20160810 13:33:52.089108,0,234161,234161,234161
20160810 13:33:52.096920,0,234162,234162,234162
20160810 13:33:52.104732,0,234163,234163,234163
20160810 13:33:52.112545,0,234164,234164,234164
20160810 13:33:52.120358,0,234165,234165,234165
20160810 13:33:52.128170,0,234166,234166,234166
20160810 13:33:52.135982,0,234167,234167,234167
20160810 13:33:52.143795,0,234168,234168,234168
20160810 13:33:52.151608,0,234169,234169,234169
20160810 13:33:52.159420,0,234170,234170,234170
20160810 13:33:52.167232,0,234171,234171,234171
20160810 13:33:52.175045,0,234172,234172,234172
20160810 13:33:52.182858,0,234173,234173,234173
20160810 13:33:52.190670,0,234174,234174,234174
20160810 13:33:52.198482,0,234175,234175,234175
20160810 13:33:52.206295,0,234176,234176,234176
20160810 13:33:52.214108,0,234177,234177,234177
20160810 13:33:52.221920,0,234178,234178,234178
20160810 13:33:52.229732,0,234179,234179,234179
20160810 13:33:52.237545,0,234180,234180,234180
20160810 13:33:52.245358,0,234181,234181,234181
20160810 13:33:52.253170,0,234182,234182,234182
20160810 13:33:52.260982,0,234183,234183,234183
20160810 13:33:52.268795,0,234184,234184,234184
20160810 13:33:52.276608,0,234185,234185,234185
20160810 13:33:52.284420,0,234186,234186,234186
20160810 13:33:52.292232,0,234187,234187,234187
20160810 13:33:52.300045,0,234188,234188,234188
20160810 13:33:52.307858,0,234189,234189,234189
20160810 13:33:52.315670,0,234190,234190,234190
20160810 13:33:52.323482,0,234191,234191,234191
20160810 13:33:52.331295,0,234192,234192,234192
20160810 13:33:52.339108,0,234193,234193,234193
20160810 13:33:52.346920,0,234194,234194,234194
20160810 13:33:52.354732,0,234195,234195,234195
20160810 13:33:52.362545,0,234196,234196,234196
20160810 13:33:52.370358,0,234197,234197,234197
20160810 13:33:52.378170,0,234198,234198,234198
20160810 13:33:52.385982,0,234199,234199,234199
20160810 13:33:52.393795,0,234200,234200,234200
20160810 13:33:52.401608,0,234201,234201,234201
20160810 13:33:52.409420,0,234202,234202,234202
