time,status,x,y,z
20160810 13:32:06.761337,0,231017,231017,231017
20160810 13:32:06.769149,0,231018,231018,231018
20160810 13:32:06.776961,0,231019,231019,231019
20160810 13:32:06.784774,0,231020,231020,231020
20160810 13:32:06.792587,0,231021,231021,231021
20160810 13:32:06.800399,0,231022,231022,231022
20160810 13:32:06.808211,0,231023,231023,231023
20160810 13:32:06.816024,0,231024,231024,231024
20160810 13:32:06.823837,0,231025,231025,231025
20160810 13:32:06.831649,0,231026,231026,231026
20160810 13:32:06.839461,0,231027,231027,231027
20160810 13:32:06.847274,0,231028,231028,231028
20160810 13:32:06.855087,0,231029,231029,231029
20160810 13:32:06.862899,0,231030,231030,231030
20160810 13:32:06.870711,0,231031,231031,231031
20160810 13:32:06.878524,0,231032,231032,231032
20160810 13:32:06.886337,0,231033,231033,231033
20160810 13:32:06.894149,0,231034,231034,231034
20160810 13:32:06.901961,0,231035,231035,231035
20160810 13:32:06.909774,0,231036,231036,231036
20160810 13:32:06.917587,0,231037,231037,231037
20160810 13:32:06.925399,0,231038,231038,231038
20160810 13:32:06.933211,0,231039,231039,231039
20160810 13:32:06.941024,0,231040,231040,231040
20160810 13:32:06.948837,0,231041,231041,231041
20160810 13:32:06.956649,0,231042,231042,231042
20160810 13:32:06.964461,0,231043,231043,231043
20160810 13:32:06.972274,0,231044,231044,231044
20160810 13:32:06.980087,0,231045,231045,231045
20160810 13:32:06.987899,0,231046,231046,231046
20160810 13:32:06.995711,0,231047,231047,231047
20160810 13:32:07.003524,0,231048,231048,231048
20160810 13:32:07.011337,0,231049,231049,231049
20160810 13:32:07.019149,0,231050,231050,231050
20160810 13:32:07.026961,0,231051,231051,231051
20160810 13:32:07.034774,0,231052,231052,231052
20160810 13:32:07.042587,0,231053,231053,231053
20160810 13:32:07.050399,0,231054,231054,231054
20160810 13:32:07.058211,0,231055,231055,231055
20160810 13:32:07.066024,0,231056,231056,231056
20160810 13:32:07.073837,0,231057,231057,231057
20160810 13:32:07.081649,0,231058,231058,231058
20160810 13:32:07.089461,0,231059,231059,231059
20160810 13:32:07.097274,0,231060,231060,231060
20160810 13:32:07.105087,0,231061,231061,231061
20160810 13:32:07.112899,0,231062,231062,231062
20160810 13:32:07.120711,0,231063,231063,231063
20160810 13:32:07.128524,0,231064,231064,231064
20160810 13:32:07.136337,0,231065,231065,231065
20160810 13:32:07.144149,0,231066,231066,231066
20160810 13:32:07.151961,0,231067,231067,231067
20160810 13:32:07.159774,0,231068,231068,231068
20160810 13:32:07.167587,0,231069,231069,231069
20160810 13:32:07.175399,0,231070,231070,231070
20160810 13:32:07.183211,0,231071,231071,231071
20160810 13:32:07.191024,0,231072,231072,231072
20160810 13:32:07.198837,0,231073,231073,231073
20160810 13:32:07.206649,0,231074,231074,231074
20160810 13:32:07.214461,0,231075,231075,231075
20160810 13:32:07.222274,0,231076,231076,231076
20160810 13:32:07.230087,0,231077,231077,231077
20160810 13:32:07.237899,0,231078,231078,231078
20160810 13:32:07.245711,0,231079,231079,231079
20160810 13:32:07.253524,0,231080,231080,231080
20160810 13:32:07.261337,0,231081,231081,231081
20160810 13:32:07.269149,0,231082,231082,231082
20160810 13:32:07.276961,0,231083,231083,231083
20160810 13:32:07.284774,0,231084,231084,231084
20160810 13:32:07.292587,0,231085,231085,231085
20160810 13:32:07.300399,0,231086,231086,231086
20160810 13:32:07.308211,0,231087,231087,231087
20160810 13:32:07.316024,0,231088,231088,231088
20160810 13:32:07.323837,0,231089,231089,231089
20160810 13:32:07.331649,0,231090,231090,231090
20160810 13:32:07.339461,0,231091,231091,231091
20160810 13:32:07.347274,0,231092,231092,231092
20160810 13:32:07.355087,0,231093,231093,231093
20160810 13:32:07.362899,0,231094,231094,231094
20160810 13:32:07.370711,0,231095,231095,231095
20160810 13:32:07.378524,0,231096,231096,231096
20160810 13:32:07.386337,0,231097,231097,231097
20160810 13:32:07.394149,0,231098,231098,231098
20160810 13:32:07.401961,0,231099,231099,231099
