time,status,x,y,z
20160810 15:09:21.774156,0,2,2,2
20160810 15:09:21.781968,0,3,3,3
20160810 15:09:21.789781,0,4,4,4
20160810 15:09:21.797594,0,5,5,5
20160810 15:09:21.805406,0,6,6,6
20160810 15:09:21.813218,0,7,7,7
20160810 15:09:21.821031,0,8,8,8
20160810 15:09:21.828844,0,9,9,9
20160810 15:09:21.836656,0,10,10,10
20160810 15:09:21.844468,0,11,11,11
20160810 15:09:21.852281,0,12,12,12
20160810 15:09:21.860094,0,13,13,13
20160810 15:09:21.867906,0,14,14,14
20160810 15:09:21.875718,0,15,15,15
20160810 15:09:21.883531,0,16,16,16
20160810 15:09:21.891344,0,17,17,17
20160810 15:09:21.899156,0,18,18,18
20160810 15:09:21.906968,0,19,19,19
20160810 15:09:21.914781,0,20,20,20
20160810 15:09:21.922594,0,21,21,21
20160810 15:09:21.930406,0,22,22,22
20160810 15:09:21.938218,0,23,23,23
20160810 15:09:21.946031,0,24,24,24
20160810 15:09:21.953844,0,25,25,25
20160810 15:09:21.961656,0,26,26,26
20160810 15:09:21.969468,0,27,27,27
20160810 15:09:21.977281,0,28,28,28
20160810 15:09:21.985094,0,29,29,29
20160810 15:09:21.992906,0,30,30,30
20160810 15:09:22.000718,0,31,31,31
20160810 15:09:22.008531,0,32,32,32
20160810 15:09:22.016344,0,33,33,33
20160810 15:09:22.024156,0,34,34,34
20160810 15:09:22.031968,0,35,35,35
20160810 15:09:22.039781,0,36,36,36
20160810 15:09:22.047594,0,37,37,37
20160810 15:09:22.055406,0,38,38,38
20160810 15:09:22.063218,0,39,39,39
20160810 15:09:22.071031,0,40,40,40
20160810 15:09:22.078844,0,41,41,41
20160810 15:09:22.086656,0,42,42,42
20160810 15:09:22.094468,0,43,43,43
20160810 15:09:22.102281,0,44,44,44
20160810 15:09:22.110094,0,45,45,45
20160810 15:09:22.117906,0,46,46,46
20160810 15:09:22.125718,0,47,47,47
20160810 15:09:22.133531,0,48,48,48
20160810 15:09:22.141344,0,49,49,49
20160810 15:09:22.149156,0,50,50,50
20160810 15:09:22.156968,0,51,51,51
20160810 15:09:22.164781,0,52,52,52
20160810 15:09:22.172594,0,53,53,53
20160810 15:09:22.180406,0,54,54,54
20160810 15:09:22.188218,0,55,55,55
20160810 15:09:22.196031,0,56,56,56
20160810 15:09:22.203844,0,57,57,57
20160810 15:09:22.211656,0,58,58,58
20160810 15:09:22.219468,0,59,59,59
20160810 15:09:22.227281,0,60,60,60
20160810 15:09:22.235094,0,61,61,61
20160810 15:09:22.242906,0,62,62,62
20160810 15:09:22.250718,0,63,63,63
20160810 15:09:22.258531,0,64,64,64
20160810 15:09:22.266344,0,65,65,65
20160810 15:09:22.274156,0,66,66,66
20160810 15:09:22.281968,0,67,67,67
20160810 15:09:22.289781,0,68,68,68
20160810 15:09:22.297594,0,69,69,69
20160810 15:09:22.305406,0,70,70,70
20160810 15:09:22.313218,0,71,71,71
20160810 15:09:22.321031,0,72,72,72
20160810 15:09:22.328844,0,73,73,73
20160810 15:09:22.336656,0,74,74,74
20160810 15:09:22.344468,0,75,75,75
20160810 15:09:22.352281,0,76,76,76
20160810 15:09:22.360094,0,77,77,77
20160810 15:09:22.367906,0,78,78,78
20160810 15:09:22.375718,0,79,79,79
20160810 15:09:22.383531,0,80,80,80
20160810 15:09:22.391344,0,81,81,81
20160810 15:09:22.399156,0,82,82,82
20160810 15:09:22.406968,0,83,83,83
