time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160808 15:21:41.930139,0,0,0,0,0,0,0,0,226
20160808 15:21:41.930139,0,160,11,0,0,0,0,0,226
20160808 15:21:41.930139,0,160,11,32,11,0,0,0,0
20160808 15:21:41.930139,0,160,11,32,11,185,0,0,0
20160808 15:21:41.930139,0,160,11,32,11,185,145,0,0
20160808 15:21:41.930139,0,160,11,32,11,185,145,2181038080,0
20160808 15:21:41.930139,0,160,11,32,11,185,145,2189754368,0
20160808 15:21:41.930139,0,160,11,32,11,185,145,2189790464,0
20160808 15:21:41.930139,0,160,11,32,11,185,145,2189790637,0
20160808 15:21:41.937952,0,160,11,32,11,185,145,2189790637,0
20160808 15:21:41.937952,0,208,1,32,11,185,145,2189790637,0
20160808 15:21:41.937952,0,208,1,48,2,185,145,2189790637,0
20160808 15:21:41.937952,0,208,1,48,2,201,145,2189790637,0
20160808 15:21:41.937952,0,208,1,48,2,201,189,2189790637,0
20160808 15:21:41.945764,0,208,1,48,2,201,189,2189790637,0
20160808 15:21:41.945764,0,64,10,48,2,201,189,2189790637,0
20160808 15:21:41.945764,0,64,10,0,13,201,189,2189790637,0
20160808 15:21:41.945764,0,64,10,0,13,85,189,2189790637,0
20160808 15:21:41.953576,0,64,10,0,13,85,189,2189790637,0
20160808 15:21:41.953576,0,0,10,0,13,85,189,2189790637,0
20160808 15:21:41.953576,0,0,10,48,1,85,189,2189790637,0
20160808 15:21:41.953576,0,0,10,48,1,32,189,2189790637,0
20160808 15:21:41.953576,0,0,10,48,1,32,49,2189790637,0
20160808 15:21:41.961389,0,0,10,48,1,32,49,2189790637,0
20160808 15:21:41.961389,0,48,0,48,1,32,49,2189790637,0
20160808 15:21:41.961389,0,48,0,32,0,32,49,2189790637,0
20160808 15:21:41.961389,0,48,0,32,0,48,49,2189790637,0
20160808 15:21:41.969202,0,48,0,32,0,48,49,2189790637,0
20160808 15:21:41.969202,0,48,0,32,0,48,49,2189790637,0
20160808 15:21:41.969202,0,48,0,32,0,48,49,2189790637,0
20160808 15:21:41.969202,0,48,0,32,0,48,49,2189790637,0
20160808 15:21:41.969202,0,48,0,32,0,48,32,2189790637,0
20160808 15:21:41.977014,0,48,0,32,0,48,32,2189790637,0
20160808 15:21:41.977014,0,0,10,32,0,48,32,2189790637,0
20160808 15:21:41.977014,0,0,10,0,0,48,32,2189790637,0
20160808 15:21:41.977014,0,0,10,0,0,29,32,2189790637,0
20160808 15:21:41.984826,0,0,10,0,0,29,32,2189790637,0
20160808 15:21:41.984826,0,16,13,0,0,29,32,2189790637,0
20160808 15:21:41.984826,0,16,13,16,13,29,32,2189790637,0
20160808 15:21:41.984826,0,16,13,16,13,0,32,2189790637,0
20160808 15:21:41.984826,0,16,13,16,13,0,0,2189790637,0
20160808 15:21:41.992639,0,16,13,16,13,0,0,2189790637,0
20160808 15:21:41.992639,0,16,13,16,13,0,0,2189790637,0
20160808 15:21:41.992639,0,16,13,0,0,0,0,2189790637,0
20160808 15:21:41.992639,0,16,13,0,0,19,0,2189790637,0
20160808 15:21:42.000452,0,16,13,0,0,19,0,2189790637,0
20160808 15:21:42.000452,0,16,13,0,0,19,0,2189790637,0
20160808 15:21:42.000452,0,16,13,16,13,19,0,2189790637,0
20160808 15:21:42.000452,0,16,13,16,13,29,0,2189790637,0
20160808 15:21:42.000452,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.008264,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.008264,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.008264,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.008264,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.016076,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.016076,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.016076,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.016076,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.016076,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.023889,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.023889,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.023889,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.023889,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.031702,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.031702,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.031702,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.031702,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.031702,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.039514,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.039514,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.039514,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.039514,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.047326,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.047326,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.047326,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.047326,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.047326,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.055139,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.055139,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.055139,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.055139,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.062952,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.062952,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.062952,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.062952,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.062952,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.070764,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.070764,0,16,13,16,13,29,29,2189790637,0
20160808 15:21:42.070764,0,16,13,0,0,29,29,2189790637,0
20160808 15:21:42.070764,0,16,13,0,0,0,29,2189790637,0
20160808 15:21:42.078576,0,16,13,0,0,0,29,2189790637,0
20160808 15:21:42.078576,0,0,0,0,0,0,29,2189790637,0
20160808 15:21:42.078576,0,0,0,16,13,0,29,2189790637,0
20160808 15:21:42.078576,0,0,0,16,13,82,29,2189790637,0
20160808 15:21:42.078576,0,0,0,16,13,82,101,2189790637,0
20160808 15:21:42.086389,0,0,0,16,13,82,101,2189790637,0
20160808 15:21:42.086389,0,96,5,16,13,82,101,2189790637,0
20160808 15:21:42.086389,0,96,5,96,9,82,101,2189790637,0
20160808 15:21:42.086389,0,96,5,96,9,118,101,2189790637,0
20160808 15:21:42.094202,0,96,5,96,9,118,101,2189790637,0
20160808 15:21:42.094202,0,96,4,96,9,118,101,2189790637,0
20160808 15:21:42.094202,0,96,4,32,0,118,101,2189790637,0
20160808 15:21:42.094202,0,96,4,32,0,99,101,2189790637,0
20160808 15:21:42.094202,0,96,4,32,0,99,111,2189790637,0
20160808 15:21:42.102014,0,96,4,32,0,99,111,2189790637,0
20160808 15:21:42.102014,0,96,13,32,0,99,111,2189790637,0
20160808 15:21:42.102014,0,96,13,96,1,99,111,2189790637,0
20160808 15:21:42.102014,0,96,13,96,1,110,111,2189790637,0
20160808 15:21:42.109826,0,96,13,96,1,110,111,2189790637,0
20160808 15:21:42.109826,0,32,0,96,1,110,111,2189790637,0
20160808 15:21:42.109826,0,32,0,112,0,110,111,2189790637,0
20160808 15:21:42.109826,0,32,0,112,0,97,111,2189790637,0
20160808 15:21:42.109826,0,32,0,112,0,97,99,2189790637,0
20160808 15:21:42.117639,0,32,0,112,0,97,99,2189790637,0
20160808 15:21:42.117639,0,96,5,112,0,97,99,2189790637,0
20160808 15:21:42.117639,0,96,5,112,4,97,99,2189790637,0
20160808 15:21:42.117639,0,96,5,112,4,32,99,2189790637,0
20160808 15:21:42.125452,0,96,5,112,4,32,99,2189790637,0
20160808 15:21:42.125452,0,112,2,112,4,32,99,2189790637,0
20160808 15:21:42.125452,0,112,2,96,15,32,99,2189790637,0
20160808 15:21:42.125452,0,112,2,96,15,109,99,2189790637,0
20160808 15:21:42.125452,0,112,2,96,15,109,32,2189790637,0
20160808 15:21:42.133264,0,112,2,96,15,109,32,2189790637,0
20160808 15:21:42.133264,0,64,3,96,15,109,32,2189790637,0
20160808 15:21:42.133264,0,64,3,80,5,109,32,2189790637,0
20160808 15:21:42.133264,0,64,3,80,5,13,32,2189790637,0
20160808 15:21:42.141076,0,64,3,80,5,13,32,2189790637,0
20160808 15:21:42.141076,0,48,5,80,5,13,32,2189790637,0
20160808 15:21:42.141076,0,48,5,48,5,13,32,2189790637,0
20160808 15:21:42.141076,0,48,5,48,5,53,32,2189790637,0
20160808 15:21:42.141076,0,48,5,48,5,53,0,2189790637,0
20160808 15:21:42.148889,0,48,5,48,5,53,0,2189790637,0
20160808 15:21:42.148889,0,0,0,48,5,53,0,2189790637,0
20160808 15:21:42.148889,0,0,0,0,0,53,0,2189790637,0
20160808 15:21:42.148889,0,0,0,0,0,53,0,2189790637,0
20160808 15:21:42.156702,0,0,0,0,0,53,0,2189790637,0
20160808 15:21:42.156702,0,32,0,0,0,53,0,2189790637,0
20160808 15:21:42.156702,0,32,0,0,0,53,0,2189790637,0
20160808 15:21:42.156702,0,32,0,0,0,54,0,2189790637,0
20160808 15:21:42.156702,0,32,0,0,0,54,54,2189790637,0
20160808 15:21:42.164514,0,32,0,0,0,54,54,2189790637,0
20160808 15:21:42.164514,0,112,0,0,0,54,54,2189790637,0
20160808 15:21:42.164514,0,112,0,32,0,54,54,2189790637,0
20160808 15:21:42.164514,0,112,0,32,0,0,54,2189790637,0
20160808 15:21:42.172326,0,112,0,32,0,0,54,2189790637,0
20160808 15:21:42.172326,0,0,0,32,0,0,54,2189790637,0
20160808 15:21:42.172326,0,0,0,80,2,0,54,2189790637,0
20160808 15:21:42.172326,0,0,0,80,2,97,54,2189790637,0
20160808 15:21:42.172326,0,0,0,80,2,97,48,2189790637,0
20160808 15:21:42.180139,0,0,0,80,2,97,48,2189790637,0
20160808 15:21:42.180139,0,0,0,80,2,97,48,2189790637,0
20160808 15:21:42.180139,0,0,0,0,0,97,48,2189790637,0
20160808 15:21:42.180139,0,0,0,0,0,82,48,2189790637,0
20160808 15:21:42.187952,0,0,0,0,0,82,48,2189790637,0
20160808 15:21:42.187952,0,0,13,0,0,82,48,2189790637,0
20160808 15:21:42.187952,0,0,13,48,10,82,48,2189790637,0
20160808 15:21:42.187952,0,0,13,48,10,58,48,2189790637,0
20160808 15:21:42.187952,0,0,13,48,10,58,58,2189790637,0
20160808 15:21:42.195764,0,0,13,48,10,58,58,2189790637,0
20160808 15:21:42.195764,0,32,0,48,10,58,58,2189790637,0
20160808 15:21:42.195764,0,32,0,0,13,58,58,2189790637,0
20160808 15:21:42.195764,0,32,0,0,13,0,58,2189790637,0
20160808 15:21:42.203576,0,32,0,0,13,0,58,2189790637,0
20160808 15:21:42.203576,0,0,0,0,13,0,58,2189790637,0
20160808 15:21:42.203576,0,0,0,96,15,0,58,2189790637,0
20160808 15:21:42.203576,0,0,0,96,15,32,58,2189790637,0
20160808 15:21:42.203576,0,0,0,96,15,32,13,2189790637,0
20160808 15:21:42.211389,0,0,0,96,15,32,13,2189790637,0
20160808 15:21:42.211389,0,0,0,96,15,32,13,2189790637,0
20160808 15:21:42.211389,0,0,0,0,0,32,13,2189790637,0
20160808 15:21:42.211389,0,0,0,0,0,111,13,2189790637,0
20160808 15:21:42.219202,0,0,0,0,0,111,13,2189790637,0
20160808 15:21:42.219202,0,48,14,0,0,111,13,2189790637,0
20160808 15:21:42.219202,0,48,14,48,14,111,13,2189790637,0
20160808 15:21:42.219202,0,48,14,48,14,62,13,2189790637,0
20160808 15:21:42.219202,0,48,14,48,14,62,62,2189790637,0
20160808 15:21:42.227014,0,48,14,48,14,62,62,2189790637,0
20160808 15:21:42.227014,0,32,0,48,14,62,62,2189790637,0
20160808 15:21:42.227014,0,32,0,0,0,62,62,2189790637,0
20160808 15:21:42.227014,0,32,0,0,0,63,62,2189790637,0
20160808 15:21:42.234826,0,32,0,0,0,63,62,2189790637,0
20160808 15:21:42.234826,0,96,5,0,0,63,62,2189790637,0
20160808 15:21:42.234826,0,96,5,96,5,63,62,2189790637,0
20160808 15:21:42.234826,0,96,5,96,5,32,62,2189790637,0
20160808 15:21:42.234826,0,96,5,96,5,32,0,2189790637,0
20160808 15:21:42.242639,0,96,5,96,5,32,0,2189790637,0
20160808 15:21:42.242639,0,0,0,96,5,32,0,2189790637,0
20160808 15:21:42.242639,0,0,0,96,5,32,0,2189790637,0
20160808 15:21:42.242639,0,0,0,96,5,101,0,2189790637,0
20160808 15:21:42.250452,0,0,0,96,5,101,0,2189790637,0
20160808 15:21:42.250452,0,64,2,96,5,101,0,2189790637,0
20160808 15:21:42.250452,0,64,2,64,2,101,0,2189790637,0
20160808 15:21:42.250452,0,64,2,64,2,66,0,2189790637,0
20160808 15:21:42.250452,0,64,2,64,2,66,101,2189790637,0
20160808 15:21:42.258264,0,64,2,64,2,66,101,2189790637,0
20160808 15:21:42.258264,0,64,3,64,2,66,101,2189790637,0
20160808 15:21:42.258264,0,64,3,64,3,66,101,2189790637,0
20160808 15:21:42.258264,0,64,3,64,3,67,101,2189790637,0
20160808 15:21:42.266076,0,64,3,64,3,67,101,2189790637,0
20160808 15:21:42.266076,0,96,1,64,3,67,101,2189790637,0
20160808 15:21:42.266076,0,96,1,80,5,67,101,2189790637,0
20160808 15:21:42.266076,0,96,1,80,5,0,101,2189790637,0
20160808 15:21:42.266076,0,96,1,80,5,0,0,2189790637,0
20160808 15:21:42.273889,0,96,1,80,5,0,0,2189790637,0
20160808 15:21:42.273889,0,0,0,80,5,0,0,2189790637,0
20160808 15:21:42.273889,0,0,0,96,1,0,0,2189790637,0
20160808 15:21:42.273889,0,0,0,96,1,85,0,2189790637,0
20160808 15:21:42.281702,0,0,0,96,1,85,0,2189790637,0
20160808 15:21:42.281702,0,0,0,96,1,85,0,2189790637,0
20160808 15:21:42.281702,0,0,0,0,0,85,0,2189790637,0
20160808 15:21:42.281702,0,0,0,0,0,0,0,2189790637,0
20160808 15:21:42.281702,0,0,0,0,0,0,110,2189790637,0
20160808 15:21:42.289514,0,0,0,0,0,0,110,2189790637,0
20160808 15:21:42.289514,0,64,7,0,0,0,110,2189790637,0
20160808 15:21:42.289514,0,64,7,64,7,0,110,2189790637,0
20160808 15:21:42.289514,0,64,7,64,7,71,110,2189790637,0
20160808 15:21:42.297326,0,64,7,64,7,71,110,2189790637,0
20160808 15:21:42.297326,0,96,6,64,7,71,110,2189790637,0
20160808 15:21:42.297326,0,96,6,48,0,71,110,2189790637,0
20160808 15:21:42.297326,0,96,6,48,0,0,110,2189790637,0
20160808 15:21:42.297326,0,96,6,48,0,0,0,2189790637,0
20160808 15:21:42.305139,0,96,6,48,0,0,0,2189790637,0
20160808 15:21:42.305139,0,96,5,48,0,0,0,2189790637,0
20160808 15:21:42.305139,0,96,5,96,6,0,0,2189790637,0
20160808 15:21:42.305139,0,96,5,96,6,48,0,2189790637,0
20160808 15:21:42.312952,0,96,5,96,6,48,0,2189790637,0
20160808 15:21:42.312952,0,0,0,96,6,48,0,2189790637,0
20160808 15:21:42.312952,0,0,0,0,0,48,0,2189790637,0
20160808 15:21:42.312952,0,0,0,0,0,101,0,2189790637,0
20160808 15:21:42.312952,0,0,0,0,0,101,102,2189790637,0
20160808 15:21:42.320764,0,0,0,0,0,101,102,2189790637,0
20160808 15:21:42.320764,0,64,11,0,0,101,102,2189790637,0
20160808 15:21:42.320764,0,64,11,64,11,101,102,2189790637,0
20160808 15:21:42.320764,0,64,11,64,11,75,102,2189790637,0
20160808 15:21:42.328576,0,64,11,64,11,75,102,2189790637,0
20160808 15:21:42.328576,0,48,1,64,11,75,102,2189790637,0
20160808 15:21:42.328576,0,48,1,64,12,75,102,2189790637,0
