time,status,x,y,z
20160811T17:21:05.570997,1,1744588,1744588,1744588
20160811T17:21:05.578809,1,1744589,1744589,1744589
20160811T17:21:05.586621,1,1744590,1744590,1744590
20160811T17:21:05.594434,1,1744591,1744591,1744591
20160811T17:21:05.602247,1,1744592,1744592,1744592
20160811T17:21:05.610059,1,1744593,1744593,1744593
20160811T17:21:05.617871,1,1744594,1744594,1744594
20160811T17:21:05.625684,1,1744595,1744595,1744595
20160811T17:21:05.633497,1,1744596,1744596,1744596
20160811T17:21:05.641309,1,1744597,1744597,1744597
20160811T17:21:05.649121,1,1744598,1744598,1744598
20160811T17:21:05.656934,1,1744599,1744599,1744599
20160811T17:21:05.664747,1,1744600,1744600,1744600
20160811T17:21:05.672559,1,1744601,1744601,1744601
20160811T17:21:05.680371,1,1744602,1744602,1744602
20160811T17:21:05.688184,1,1744603,1744603,1744603
20160811T17:21:05.695997,1,1744604,1744604,1744604
20160811T17:21:05.703809,1,1744605,1744605,1744605
20160811T17:21:05.711621,1,1744606,1744606,1744606
20160811T17:21:05.719434,1,1744607,1744607,1744607
20160811T17:21:05.727247,1,1744608,1744608,1744608
20160811T17:21:05.735059,1,1744609,1744609,1744609
20160811T17:21:05.742871,1,1744610,1744610,1744610
20160811T17:21:05.750684,1,1744611,1744611,1744611
20160811T17:21:05.758497,1,1744612,1744612,1744612
20160811T17:21:05.766309,1,1744613,1744613,1744613
20160811T17:21:05.774121,1,1744614,1744614,1744614
20160811T17:21:05.781934,1,1744615,1744615,1744615
20160811T17:21:05.789747,1,1744616,1744616,1744616
20160811T17:21:05.797559,1,1744617,1744617,1744617
20160811T17:21:05.805371,1,1744618,1744618,1744618
20160811T17:21:05.813184,1,1744619,1744619,1744619
20160811T17:21:05.820997,1,1744620,1744620,1744620
20160811T17:21:05.828809,1,1744621,1744621,1744621
20160811T17:21:05.836621,1,1744622,1744622,1744622
20160811T17:21:05.844434,1,1744623,1744623,1744623
20160811T17:21:05.852247,1,1744624,1744624,1744624
20160811T17:21:05.860059,1,1744625,1744625,1744625
20160811T17:21:05.867871,1,1744626,1744626,1744626
20160811T17:21:05.875684,1,1744627,1744627,1744627
20160811T17:21:05.883497,1,1744628,1744628,1744628
20160811T17:21:05.891309,1,1744629,1744629,1744629
20160811T17:21:05.899121,1,1744630,1744630,1744630
20160811T17:21:05.906934,1,1744631,1744631,1744631
20160811T17:21:05.914747,1,1744632,1744632,1744632
20160811T17:21:05.922559,1,1744633,1744633,1744633
20160811T17:21:05.930371,1,1744634,1744634,1744634
20160811T17:21:05.938184,1,1744635,1744635,1744635
20160811T17:21:05.945997,1,1744636,1744636,1744636
20160811T17:21:05.953809,1,1744637,1744637,1744637
20160811T17:21:05.961621,1,1744638,1744638,1744638
20160811T17:21:05.969434,1,1744639,1744639,1744639
20160811T17:21:05.977247,1,1744640,1744640,1744640
20160811T17:21:05.985059,1,1744641,1744641,1744641
20160811T17:21:05.992871,1,1744642,1744642,1744642
20160811T17:21:06.000684,1,1744643,1744643,1744643
20160811T17:21:06.008497,1,1744644,1744644,1744644
20160811T17:21:06.016309,1,1744645,1744645,1744645
20160811T17:21:06.024121,1,1744646,1744646,1744646
20160811T17:21:06.031934,1,1744647,1744647,1744647
20160811T17:21:06.039747,1,1744648,1744648,1744648
20160811T17:21:06.047559,1,1744649,1744649,1744649
20160811T17:21:06.055371,1,1744650,1744650,1744650
20160811T17:21:06.063184,1,1744651,1744651,1744651
20160811T17:21:06.070997,1,1744652,1744652,1744652
20160811T17:21:06.078809,1,1744653,1744653,1744653
20160811T17:21:06.086621,1,1744654,1744654,1744654
20160811T17:21:06.094434,1,1744655,1744655,1744655
20160811T17:21:06.102247,1,1744656,1744656,1744656
20160811T17:21:06.110059,1,1744657,1744657,1744657
20160811T17:21:06.117871,1,1744658,1744658,1744658
20160811T17:21:06.125684,1,1744659,1744659,1744659
20160811T17:21:06.133497,1,1744660,1744660,1744660
20160811T17:21:06.141309,1,1744661,1744661,1744661
20160811T17:21:06.149121,1,1744662,1744662,1744662
20160811T17:21:06.156934,1,1744663,1744663,1744663
20160811T17:21:06.164747,1,1744664,1744664,1744664
20160811T17:21:06.172559,1,1744665,1744665,1744665
20160811T17:21:06.180371,1,1744666,1744666,1744666
20160811T17:21:06.188184,1,1744667,1744667,1744667
20160811T17:21:06.195997,1,1744668,1744668,1744668
20160811T17:21:06.203809,1,1744669,1744669,1744669
20160811T17:21:06.211621,1,1744670,1744670,1744670
20160811T17:21:06.219434,1,1744671,1744671,1744671
20160811T17:21:06.227247,1,1744672,1744672,1744672
20160811T17:21:06.235059,1,1744673,1744673,1744673
20160811T17:21:06.242871,1,1744674,1744674,1744674
20160811T17:21:06.250684,1,1744675,1744675,1744675
20160811T17:21:06.258497,1,1744676,1744676,1744676
20160811T17:21:06.266309,1,1744677,1744677,1744677
20160811T17:21:06.274121,1,1744678,1744678,1744678
20160811T17:21:06.281934,1,1744679,1744679,1744679
20160811T17:21:06.289747,1,1744680,1744680,1744680
20160811T17:21:06.297559,1,1744681,1744681,1744681
