time,status,x,y,z
20160811T17:36:03.450137,1,1757534,1757534,1757534
20160811T17:36:03.457950,1,1757535,1757535,1757535
20160811T17:36:03.465763,1,1757536,1757536,1757536
20160811T17:36:03.473575,1,1757537,1757537,1757537
20160811T17:36:03.481387,1,1757538,1757538,1757538
20160811T17:36:03.489200,1,1757539,1757539,1757539
20160811T17:36:03.497013,1,1757540,1757540,1757540
20160811T17:36:03.504825,1,1757541,1757541,1757541
20160811T17:36:03.512637,1,1757542,1757542,1757542
20160811T17:36:03.520450,1,1757543,1757543,1757543
20160811T17:36:03.528263,1,1757544,1757544,1757544
20160811T17:36:03.536075,1,1757545,1757545,1757545
20160811T17:36:03.543887,1,1757546,1757546,1757546
20160811T17:36:03.551700,1,1757547,1757547,1757547
20160811T17:36:03.559513,1,1757548,1757548,1757548
20160811T17:36:03.567325,1,1757549,1757549,1757549
20160811T17:36:03.575137,1,1757550,1757550,1757550
20160811T17:36:03.582950,1,1757551,1757551,1757551
20160811T17:36:03.590763,1,1757552,1757552,1757552
20160811T17:36:03.598575,1,1757553,1757553,1757553
20160811T17:36:03.606387,1,1757554,1757554,1757554
20160811T17:36:03.614200,1,1757555,1757555,1757555
20160811T17:36:03.622013,1,1757556,1757556,1757556
20160811T17:36:03.629825,1,1757557,1757557,1757557
20160811T17:36:03.637637,1,1757558,1757558,1757558
20160811T17:36:03.645450,1,1757559,1757559,1757559
20160811T17:36:03.653263,1,1757560,1757560,1757560
20160811T17:36:03.661075,1,1757561,1757561,1757561
20160811T17:36:03.668887,1,1757562,1757562,1757562
20160811T17:36:03.676700,1,1757563,1757563,1757563
20160811T17:36:03.684513,1,1757564,1757564,1757564
20160811T17:36:03.692325,1,1757565,1757565,1757565
20160811T17:36:03.700137,1,1757566,1757566,1757566
20160811T17:36:03.707950,1,1757567,1757567,1757567
20160811T17:36:03.715763,1,1757568,1757568,1757568
20160811T17:36:03.723575,1,1757569,1757569,1757569
20160811T17:36:03.731387,1,1757570,1757570,1757570
20160811T17:36:03.739200,1,1757571,1757571,1757571
20160811T17:36:03.747013,1,1757572,1757572,1757572
20160811T17:36:03.754825,1,1757573,1757573,1757573
20160811T17:36:03.762637,1,1757574,1757574,1757574
20160811T17:36:03.770450,1,1757575,1757575,1757575
20160811T17:36:03.778263,1,1757576,1757576,1757576
20160811T17:36:03.786075,1,1757577,1757577,1757577
20160811T17:36:03.793887,1,1757578,1757578,1757578
20160811T17:36:03.801700,1,1757579,1757579,1757579
20160811T17:36:03.809513,1,1757580,1757580,1757580
20160811T17:36:03.817325,1,1757581,1757581,1757581
20160811T17:36:03.825137,1,1757582,1757582,1757582
20160811T17:36:03.832950,1,1757583,1757583,1757583
20160811T17:36:03.840763,1,1757584,1757584,1757584
20160811T17:36:03.848575,1,1757585,1757585,1757585
20160811T17:36:03.856387,1,1757586,1757586,1757586
20160811T17:36:03.864200,1,1757587,1757587,1757587
20160811T17:36:03.872013,1,1757588,1757588,1757588
20160811T17:36:03.879825,1,1757589,1757589,1757589
20160811T17:36:03.887637,1,1757590,1757590,1757590
20160811T17:36:03.895450,1,1757591,1757591,1757591
20160811T17:36:03.903263,1,1757592,1757592,1757592
20160811T17:36:03.911075,1,1757593,1757593,1757593
20160811T17:36:03.918887,1,1757594,1757594,1757594
20160811T17:36:03.926700,1,1757595,1757595,1757595
20160811T17:36:03.934513,1,1757596,1757596,1757596
20160811T17:36:03.942325,1,1757597,1757597,1757597
20160811T17:36:03.950137,1,1757598,1757598,1757598
20160811T17:36:03.957950,1,1757599,1757599,1757599
20160811T17:36:03.965763,1,1757600,1757600,1757600
