time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160810 15:37:47.287657,0,64,1,64,1,65,65,73025,285
20160810 15:37:47.295469,0,64,2,64,2,66,66,73026,285
20160810 15:37:47.303282,0,64,3,64,3,67,67,73027,285
20160810 15:37:47.311095,0,64,4,64,4,68,68,73028,285
20160810 15:37:47.318907,0,64,5,64,5,69,69,73029,285
20160810 15:37:47.326719,0,64,6,64,6,70,70,73030,285
20160810 15:37:47.334532,0,64,7,64,7,71,71,73031,285
20160810 15:37:47.342345,0,64,8,64,8,72,72,73032,285
20160810 15:37:47.350157,0,64,9,64,9,73,73,73033,285
20160810 15:37:47.357969,0,64,10,64,10,74,74,73034,285
20160810 15:37:47.365782,0,64,11,64,11,75,75,73035,285
20160810 15:37:47.373595,0,64,12,64,12,76,76,73036,285
20160810 15:37:47.381407,0,64,13,64,13,77,77,73037,285
20160810 15:37:47.389219,0,64,14,64,14,78,78,73038,285
20160810 15:37:47.397032,0,64,15,64,15,79,79,73039,285
20160810 15:37:47.404845,0,80,0,80,0,80,80,73040,285
20160810 15:37:47.412657,0,80,1,80,1,81,81,73041,285
20160810 15:37:47.420469,0,80,2,80,2,82,82,73042,285
20160810 15:37:47.428282,0,80,3,80,3,83,83,73043,285
20160810 15:37:47.436095,0,80,4,80,4,84,84,73044,285
20160810 15:37:47.443907,0,80,5,80,5,85,85,73045,285
20160810 15:37:47.451719,0,80,6,80,6,86,86,73046,285
20160810 15:37:47.459532,0,80,7,80,7,87,87,73047,285
20160810 15:37:47.467345,0,80,8,80,8,88,88,73048,285
20160810 15:37:47.475157,0,80,9,80,9,89,89,73049,285
20160810 15:37:47.482969,0,80,10,80,10,90,90,73050,285
20160810 15:37:47.490782,0,80,11,80,11,91,91,73051,285
20160810 15:37:47.498595,0,80,12,80,12,92,92,73052,285
20160810 15:37:47.506407,0,80,13,80,13,93,93,73053,285
20160810 15:37:47.514219,0,80,14,80,14,94,94,73054,285
20160810 15:37:47.522032,0,80,15,80,15,95,95,73055,285
20160810 15:37:47.529845,0,96,0,96,0,96,96,73056,285
20160810 15:37:47.537657,0,96,1,96,1,97,97,73057,285
20160810 15:37:47.545469,0,96,2,96,2,98,98,73058,285
20160810 15:37:47.553282,0,96,3,96,3,99,99,73059,285
20160810 15:37:47.561095,0,96,4,96,4,100,100,73060,285
20160810 15:37:47.568907,0,96,5,96,5,101,101,73061,285
20160810 15:37:47.576719,0,96,6,96,6,102,102,73062,285
