time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160810 15:34:01.460279,0,0,0,32,14,244,0,787742766,62464
20160810 15:34:01.468091,0,0,0,32,14,245,0,787808302,62720
20160810 15:34:01.475903,0,0,0,32,14,246,0,787873838,62976
20160810 15:34:01.483716,0,0,0,32,14,247,0,787939374,63232
20160810 15:34:01.491529,0,0,0,32,14,248,0,788004910,63488
20160810 15:34:01.499341,0,0,0,32,14,249,0,788070446,63744
20160810 15:34:01.507153,0,0,0,32,14,250,0,788135982,64000
20160810 15:34:01.514966,0,0,0,32,14,251,0,788201518,64256
20160810 15:34:01.522779,0,0,0,32,14,252,0,788267054,64512
20160810 15:34:01.530591,0,0,0,32,14,253,0,788332590,64768
20160810 15:34:01.538403,0,0,0,32,14,254,0,788398126,65024
20160810 15:34:01.546216,0,0,0,32,14,255,0,788463662,65280
20160810 15:34:01.554029,0,0,0,32,15,0,0,788529199,0
20160810 15:34:01.561841,0,0,0,32,15,1,0,788594735,256
20160810 15:34:01.569653,0,0,0,32,15,2,0,788660271,512
20160810 15:34:01.577466,0,0,0,32,15,3,0,788725807,768
20160810 15:34:01.585279,0,0,0,32,15,4,0,788791343,1024
20160810 15:34:01.593091,0,0,0,32,15,5,0,788856879,1280
20160810 15:34:01.600903,0,0,0,32,15,6,0,788922415,1536
20160810 15:34:01.608716,0,0,0,32,15,7,0,788987951,1792
20160810 15:34:01.616529,0,0,0,32,15,8,0,789053487,2048
20160810 15:34:01.624341,0,0,0,32,15,9,0,789119023,2304
20160810 15:34:01.632153,0,0,0,32,15,10,0,789184559,2560
20160810 15:34:01.639966,0,0,0,32,15,11,0,789250095,2816
20160810 15:34:01.647779,0,0,0,32,15,12,0,789315631,3072
20160810 15:34:01.655591,0,0,0,32,15,13,0,789381167,3328
20160810 15:34:01.663403,0,0,0,32,15,14,0,789446703,3584
20160810 15:34:01.671216,0,0,0,32,15,15,0,789512239,3840
20160810 15:34:01.679029,0,0,0,32,15,16,0,789577775,4096
20160810 15:34:01.686841,0,0,0,32,15,17,0,789643311,4352
20160810 15:34:01.694653,0,0,0,32,15,18,0,789708847,4608
20160810 15:34:01.702466,0,0,0,32,15,19,0,789774383,4864
20160810 15:34:01.710279,0,0,0,32,15,20,0,789839919,5120
20160810 15:34:01.718091,0,0,0,32,15,21,0,789905455,5376
20160810 15:34:01.725903,0,0,0,32,15,22,0,789970991,5632
20160810 15:34:01.733716,0,0,0,32,15,23,0,790036527,5888
20160810 15:34:01.741529,0,0,0,32,15,24,0,790102063,6144
20160810 15:34:01.749341,0,0,0,32,15,25,0,790167599,6400
20160810 15:34:01.757153,0,0,0,32,15,26,0,790233135,6656
20160810 15:34:01.764966,0,0,0,32,15,27,0,790298671,6912
20160810 15:34:01.772779,0,0,0,32,15,28,0,790364207,7168
20160810 15:34:01.780591,0,0,0,32,15,29,0,790429743,7424
20160810 15:34:01.788403,0,0,0,32,15,30,0,790495279,7680
20160810 15:34:01.796216,0,0,0,32,15,31,0,790560815,7936
20160810 15:34:01.804029,0,0,0,32,15,32,0,790626351,8192
20160810 15:34:01.811841,0,0,0,32,15,33,0,790691887,8448
20160810 15:34:01.819653,0,0,0,32,15,34,0,790757423,8704
20160810 15:34:01.827466,0,0,0,32,15,35,0,790822959,8960
20160810 15:34:01.835279,0,0,0,32,15,36,0,790888495,9216
20160810 15:34:01.843091,0,0,0,32,15,37,0,790954031,9472
20160810 15:34:01.850903,0,0,0,32,15,38,0,791019567,9728
20160810 15:34:01.858716,0,0,0,32,15,39,0,791085103,9984
20160810 15:34:01.866529,0,0,0,32,15,40,0,791150639,10240
20160810 15:34:01.874341,0,0,0,32,15,41,0,791216175,10496
20160810 15:34:01.882153,0,0,0,32,15,42,0,791281711,10752
20160810 15:34:01.889966,0,0,0,32,15,43,0,791347247,11008
20160810 15:34:01.897779,0,0,0,32,15,44,0,791412783,11264
20160810 15:34:01.905591,0,0,0,32,15,45,0,791478319,11520
20160810 15:34:01.913403,0,0,0,32,15,46,0,791543855,11776
20160810 15:34:01.921216,0,0,0,32,15,47,0,791609391,12032
20160810 15:34:01.929029,0,0,0,32,15,48,0,791674927,12288
20160810 15:34:01.936841,0,0,0,32,15,49,0,791740463,12544
20160810 15:34:01.944653,0,0,0,32,15,50,0,791805999,12800
20160810 15:34:01.952466,0,0,0,32,15,51,0,791871535,13056
20160810 15:34:01.960279,0,0,0,32,15,52,0,791937071,13312
20160810 15:34:01.968091,0,0,0,32,15,53,0,792002607,13568
20160810 15:34:01.975903,0,0,0,32,15,54,0,792068143,13824
20160810 15:34:01.983716,0,0,0,32,15,55,0,792133679,14080
20160810 15:34:01.991529,0,0,0,32,15,56,0,792199215,14336
20160810 15:34:01.999341,0,0,0,32,15,57,0,792264751,14592
20160810 15:34:02.007153,0,0,0,32,15,58,0,792330287,14848
20160810 15:34:02.014966,0,0,0,32,15,59,0,792395823,15104
20160810 15:34:02.022779,0,0,0,32,15,60,0,792461359,15360
20160810 15:34:02.030591,0,0,0,32,15,61,0,792526895,15616
20160810 15:34:02.038403,0,0,0,32,15,62,0,792592431,15872
20160810 15:34:02.046216,0,0,0,32,15,63,0,792657967,16128
20160810 15:34:02.054029,0,0,0,32,15,64,0,792723503,16384
20160810 15:34:02.061841,0,0,0,32,15,65,0,792789039,16640
20160810 15:34:02.069653,0,0,0,32,15,66,0,792854575,16896
20160810 15:34:02.077466,0,0,0,32,15,67,0,792920111,17152
20160810 15:34:02.085279,0,0,0,32,15,68,0,792985647,17408
20160810 15:34:02.093091,0,0,0,32,15,69,0,793051183,17664
20160810 15:34:02.100903,0,0,0,32,15,70,0,793116719,17920
20160810 15:34:02.108716,0,0,0,32,15,71,0,793182255,18176
20160810 15:34:02.116529,0,0,0,32,15,72,0,793247791,18432
20160810 15:34:02.124341,0,0,0,32,15,73,0,793313327,18688
20160810 15:34:02.132153,0,0,0,32,15,74,0,793378863,18944
20160810 15:34:02.139966,0,0,0,32,15,75,0,793444399,19200
20160810 15:34:02.147779,0,0,0,32,15,76,0,793509935,19456
20160810 15:34:02.155591,0,0,0,32,15,77,0,793575471,19712
20160810 15:34:02.163403,0,0,0,32,15,78,0,793641007,19968
20160810 15:34:02.171216,0,0,0,32,15,79,0,793706543,20224
20160810 15:34:02.179029,0,0,0,32,15,80,0,793772079,20480
20160810 15:34:02.186841,0,0,0,32,15,81,0,793837615,20736
20160810 15:34:02.194653,0,0,0,32,15,82,0,793903151,20992
20160810 15:34:02.202466,0,0,0,32,15,83,0,793968687,21248
20160810 15:34:02.210279,0,0,0,32,15,84,0,794034223,21504
20160810 15:34:02.218091,0,0,0,32,15,85,0,794099759,21760
20160810 15:34:02.225903,0,0,0,32,15,86,0,794165295,22016
20160810 15:34:02.233716,0,0,0,32,15,87,0,794230831,22272
20160810 15:34:02.241529,0,0,0,32,15,88,0,794296367,22528
20160810 15:34:02.249341,0,0,0,32,15,89,0,794361903,22784
20160810 15:34:02.257153,0,0,0,32,15,90,0,794427439,23040
20160810 15:34:02.264966,0,0,0,32,15,91,0,794492975,23296
20160810 15:34:02.272779,0,0,0,32,15,92,0,794558511,23552
20160810 15:34:02.280591,0,0,0,32,15,93,0,794624047,23808
20160810 15:34:02.288403,0,0,0,32,15,94,0,794689583,24064
20160810 15:34:02.296216,0,0,0,32,15,95,0,794755119,24320
20160810 15:34:02.304029,0,0,0,32,15,96,0,794820655,24576
20160810 15:34:02.311841,0,0,0,32,15,97,0,794886191,24832
20160810 15:34:02.319653,0,0,0,32,15,98,0,794951727,25088
20160810 15:34:02.327466,0,0,0,32,15,99,0,795017263,25344
20160810 15:34:02.335279,0,0,0,32,15,100,0,795082799,25600
20160810 15:34:02.343091,0,0,0,32,15,101,0,795148335,25856
20160810 15:34:02.350903,0,0,0,32,15,102,0,795213871,26112
20160810 15:34:02.358716,0,0,0,32,15,103,0,795279407,26368
20160810 15:34:02.366529,0,0,0,32,15,104,0,795344943,26624
20160810 15:34:02.374341,0,0,0,32,15,105,0,795410479,26880
20160810 15:34:02.382153,0,0,0,32,15,106,0,795476015,27136
20160810 15:34:02.389966,0,0,0,32,15,107,0,795541551,27392
20160810 15:34:02.397779,0,0,0,32,15,108,0,795607087,27648
20160810 15:34:02.405591,0,0,0,32,15,109,0,795672623,27904
20160810 15:34:02.413403,0,0,0,32,15,110,0,795738159,28160
20160810 15:34:02.421216,0,0,0,32,15,111,0,795803695,28416
20160810 15:34:02.429029,0,0,0,32,15,112,0,795869231,28672
20160810 15:34:02.436841,0,0,0,32,15,113,0,795934767,28928
20160810 15:34:02.444653,0,0,0,32,15,114,0,796000303,29184
20160810 15:34:02.452466,0,0,0,32,15,115,0,796065839,29440
20160810 15:34:02.460279,0,0,0,32,15,116,0,796131375,29696
20160810 15:34:02.468091,0,0,0,32,15,117,0,796196911,29952
20160810 15:34:02.475903,0,0,0,32,15,118,0,796262447,30208
20160810 15:34:02.483716,0,0,0,32,15,119,0,796327983,30464
20160810 15:34:02.491529,0,0,0,32,15,120,0,796393519,30720
20160810 15:34:02.499341,0,0,0,32,15,121,0,796459055,30976
20160810 15:34:02.507153,0,0,0,32,15,122,0,796524591,31232
20160810 15:34:02.514966,0,0,0,32,15,123,0,796590127,31488
20160810 15:34:02.522779,0,0,0,32,15,124,0,796655663,31744
20160810 15:34:02.530591,0,0,0,32,15,125,0,796721199,32000
20160810 15:34:02.538403,0,0,0,32,15,126,0,796786735,32256
20160810 15:34:02.546216,0,0,0,32,15,127,0,796852271,32512
20160810 15:34:02.554029,0,0,0,32,15,128,0,796917807,32768
