time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160804 13:06:00.216582,0,0,0,1,0,0,0,0,0,0,0,0
20160804 13:06:00.224395,0,0,0,1,176,6,176,6,182,182,202678,791
20160804 13:06:00.232208,0,0,0,1,176,7,176,7,183,183,202679,791
20160804 13:06:00.240020,0,0,0,1,176,8,176,8,184,184,202680,791
20160804 13:06:00.247832,0,0,0,1,176,9,176,9,185,185,202681,791
20160804 13:06:00.255645,0,0,0,1,176,10,176,10,186,186,202682,791
20160804 13:06:00.263458,0,0,0,1,176,11,176,11,187,187,202683,791
20160804 13:06:00.271270,0,0,0,1,176,12,176,12,188,188,202684,791
20160804 13:06:00.279082,0,0,0,1,176,13,176,13,189,189,202685,791
20160804 13:06:00.286895,0,0,0,1,176,14,176,14,190,190,202686,791
20160804 13:06:00.294708,0,0,0,1,176,15,176,15,191,191,202687,791
20160804 13:06:00.302520,0,0,0,1,192,0,192,0,192,192,202688,791
20160804 13:06:00.310332,0,0,0,1,192,1,192,1,193,193,202689,791
20160804 13:06:00.318145,0,0,0,1,192,2,192,2,194,194,202690,791
20160804 13:06:00.325958,0,0,0,1,192,3,192,3,195,195,202691,791
20160804 13:06:00.333770,0,0,0,1,192,4,192,4,196,196,202692,791
20160804 13:06:00.341582,0,0,0,1,192,5,192,5,197,197,202693,791
20160804 13:06:00.349395,0,0,0,1,192,6,192,6,198,198,202694,791
20160804 13:06:00.357208,0,0,0,1,192,7,192,7,199,199,202695,791
20160804 13:06:00.365020,0,0,0,1,192,8,192,8,200,200,202696,791
20160804 13:06:00.372832,0,0,0,1,192,9,192,9,201,201,202697,791
20160804 13:06:00.380645,0,0,0,1,192,10,192,10,202,202,202698,791
20160804 13:06:00.388458,0,0,0,1,192,11,192,11,203,203,202699,791
20160804 13:06:00.396270,0,0,0,1,192,12,192,12,204,204,202700,791
20160804 13:06:00.404082,0,0,0,1,192,13,192,13,205,205,202701,791
20160804 13:06:00.411895,0,0,0,1,192,14,192,14,206,206,202702,791
20160804 13:06:00.419708,0,0,0,1,192,15,192,15,207,207,202703,791
20160804 13:06:00.427520,0,0,0,1,208,0,208,0,208,208,202704,791
20160804 13:06:00.435332,0,0,0,1,208,1,208,1,209,209,202705,791
20160804 13:06:00.443145,0,0,0,1,208,2,208,2,210,210,202706,791
20160804 13:06:00.450958,0,0,0,1,208,3,208,3,211,211,202707,791
20160804 13:06:00.458770,0,0,0,1,208,4,208,4,212,212,202708,791
20160804 13:06:00.466582,0,0,0,1,208,5,208,5,213,213,202709,791
20160804 13:06:00.474395,0,0,0,1,208,6,208,6,214,214,202710,791
20160804 13:06:00.482208,0,0,0,1,208,7,208,7,215,215,202711,791
20160804 13:06:00.490020,0,0,0,1,208,8,208,8,216,216,202712,791
20160804 13:06:00.497832,0,0,0,1,208,9,208,9,217,217,202713,791
20160804 13:06:00.505645,0,0,0,1,208,10,208,10,218,218,202714,791
20160804 13:06:00.513458,0,0,0,1,208,11,208,11,219,219,202715,791
20160804 13:06:00.521270,0,0,0,1,208,12,208,12,220,220,202716,791
20160804 13:06:00.529082,0,0,0,1,208,13,208,13,221,221,202717,791
20160804 13:06:00.536895,0,0,0,1,208,14,208,14,222,222,202718,791
20160804 13:06:00.544708,0,0,0,1,208,15,208,15,223,223,202719,791
20160804 13:06:00.552520,0,0,0,1,224,0,224,0,224,224,202720,791
20160804 13:06:00.560332,0,0,0,1,224,1,224,1,225,225,202721,791
20160804 13:06:00.568145,0,0,0,1,224,2,224,2,226,226,202722,791
20160804 13:06:00.575958,0,0,0,1,224,3,224,3,227,227,202723,791
20160804 13:06:00.583770,0,0,0,1,224,4,224,4,228,228,202724,791
20160804 13:06:00.591582,0,0,0,1,224,5,224,5,229,229,202725,791
20160804 13:06:00.599395,0,0,0,1,224,6,224,6,230,230,202726,791
20160804 13:06:00.607208,0,0,0,1,224,7,224,7,231,231,202727,791
20160804 13:06:00.615020,0,0,0,1,224,8,224,8,232,232,202728,791
20160804 13:06:00.622832,0,0,0,1,224,9,224,9,233,233,202729,791
20160804 13:06:00.630645,0,0,0,1,224,10,224,10,234,234,202730,791
20160804 13:06:00.638458,0,0,0,1,224,11,224,11,235,235,202731,791
20160804 13:06:00.646270,0,0,0,1,224,12,224,12,236,236,202732,791
20160804 13:06:00.654082,0,0,0,1,224,13,224,13,237,237,202733,791
