time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160810 15:20:33.637021,0,0,3,0,3,3,3,3,0
20160810 15:20:33.644833,0,0,4,0,4,4,4,4,0
20160810 15:20:33.652646,0,0,5,0,5,5,5,5,0
20160810 15:20:33.660459,0,0,6,0,6,6,6,6,0
20160810 15:20:33.668271,0,0,7,0,7,7,7,7,0
20160810 15:20:33.676083,0,0,8,0,8,8,8,8,0
20160810 15:20:33.683896,0,0,9,0,9,9,9,9,0
20160810 15:20:33.691709,0,0,10,0,10,10,10,10,0
20160810 15:20:33.699521,0,0,11,0,11,11,11,11,0
20160810 15:20:33.707333,0,0,12,0,12,12,12,12,0
20160810 15:20:33.715146,0,0,13,0,13,13,13,13,0
20160810 15:20:33.722959,0,0,14,0,14,14,14,14,0
20160810 15:20:33.730771,0,0,15,0,15,15,15,15,0
20160810 15:20:33.738583,0,16,0,16,0,16,16,16,0
20160810 15:20:33.746396,0,16,1,16,1,17,17,17,0
20160810 15:20:33.754209,0,16,2,16,2,18,18,18,0
20160810 15:20:33.762021,0,16,3,16,3,19,19,19,0
20160810 15:20:33.769833,0,16,4,16,4,20,20,20,0
20160810 15:20:33.777646,0,16,5,16,5,21,21,21,0
20160810 15:20:33.785459,0,16,6,16,6,22,22,22,0
20160810 15:20:33.793271,0,16,7,16,7,23,23,23,0
20160810 15:20:33.801083,0,16,8,16,8,24,24,24,0
20160810 15:20:33.808896,0,16,9,16,9,25,25,25,0
20160810 15:20:33.816709,0,16,10,16,10,26,26,26,0
20160810 15:20:33.824521,0,16,11,16,11,27,27,27,0
20160810 15:20:33.832333,0,16,12,16,12,28,28,28,0
20160810 15:20:33.840146,0,16,13,16,13,29,29,29,0
20160810 15:20:33.847959,0,16,14,16,14,30,30,30,0
20160810 15:20:33.855771,0,16,15,16,15,31,31,31,0
20160810 15:20:33.863583,0,32,0,32,0,32,32,32,0
20160810 15:20:33.871396,0,32,1,32,1,33,33,33,0
20160810 15:20:33.879209,0,32,2,32,2,34,34,34,0
