time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20161009 16:16:04.037107,0,128,10,0,0,209,138,13732352,0
20161009 16:16:04.037107,0,0,0,32,10,219,1,209,35584
20161009 16:16:04.037107,0,208,1,128,11,0,209,2332033024,42
20161009 16:16:04.037107,0,208,12,0,1,0,0,13732864,53644
20161009 16:16:04.037107,0,0,0,208,1,140,0,42,56577
20161009 16:16:04.037107,0,0,0,0,0,0,209,2365641101,209
20161009 16:16:04.037107,0,128,13,0,0,0,0,2809345,0
20161009 16:16:04.037107,0,0,0,208,1,142,0,3515744465,36352
20161009 16:16:04.037107,0,128,7,0,0,0,0,2807809,0
20161009 16:16:04.037107,0,0,0,208,1,136,0,3515351249,34816
20161009 16:16:04.037107,0,0,0,0,0,0,42,3640721408,209
20161009 16:16:04.037107,0,128,9,0,0,209,137,13732096,0
20161009 16:16:04.037107,0,0,0,32,10,218,1,209,35328
20161009 16:16:04.037107,0,208,1,128,10,0,209,2315255808,42
20161009 16:16:04.037107,0,208,11,0,1,0,0,13732608,53643
20161009 16:16:04.037107,0,0,0,208,1,139,0,42,56321
20161009 16:16:04.037107,0,0,0,0,0,0,209,2348863884,209
20161009 16:16:04.037107,0,128,12,0,0,0,0,2809089,0
20161009 16:16:04.037107,0,0,0,208,1,141,0,3515678929,36096
20161009 16:16:04.037107,0,0,0,0,0,0,42,3724607488,209
20161009 16:16:04.037107,0,128,14,0,0,209,142,13733376,0
20161009 16:16:04.037107,0,0,0,32,10,223,1,209,36608
20161009 16:16:04.037107,0,208,1,128,15,0,209,2399141888,42
20161009 16:16:04.037107,0,224,0,0,1,0,0,13733888,53648
20161009 16:16:04.037107,0,0,0,208,1,144,0,42,57601
20161009 16:16:04.037107,0,0,0,0,0,0,209,2432749969,209
20161009 16:16:04.037107,0,144,1,0,0,0,0,2810369,0
20161009 16:16:04.037107,0,0,0,208,1,146,0,3516006609,37376
20161009 16:16:04.037107,0,0,0,0,0,0,42,3808493568,209
20161009 16:16:04.037107,0,144,3,0,0,209,147,13734656,0
20161009 16:16:04.037107,0,0,0,32,10,228,1,209,37888
20161009 16:16:04.037107,0,208,1,144,4,0,209,2483027968,42
20161009 16:16:04.037107,0,224,5,0,1,0,0,13735168,53653
20161009 16:16:04.037107,0,0,0,208,1,149,0,42,58881
20161009 16:16:04.037107,0,0,0,0,0,0,209,2516636054,209
20161009 16:16:04.037107,0,144,6,0,0,0,0,2811649,0
20161009 16:16:04.037107,0,0,0,208,1,151,0,3516334289,38656
20161009 16:16:04.037107,0,0,0,0,0,0,42,3892379648,209
20161009 16:16:04.037107,0,144,8,0,0,209,152,13735936,0
20161009 16:16:04.037107,0,0,0,32,10,233,1,209,39168
20161009 16:16:04.037107,0,208,1,144,9,0,209,2566914048,42
20161009 16:16:04.037107,0,224,10,0,1,0,0,13736448,53658
20161009 16:16:04.037107,0,0,0,208,1,154,0,42,60161
20161009 16:16:04.037107,0,0,0,0,0,0,209,2600522139,209
20161009 16:16:04.037107,0,144,11,0,0,0,0,2812929,0
20161009 16:16:04.037107,0,0,0,208,1,156,0,3516661969,39936
20161009 16:16:04.037107,0,0,0,0,0,0,42,3976265728,209
20161009 16:16:04.037107,0,144,13,0,0,209,157,13737216,0
20161009 16:16:04.037107,0,0,0,32,10,238,1,209,40448
20161009 16:16:04.037107,0,208,1,144,14,0,209,2650800128,42
20161009 16:16:04.037107,0,224,15,0,1,0,0,13737728,53663
20161009 16:16:04.037107,0,0,0,208,1,159,0,42,61441
20161009 16:16:04.037107,0,0,0,0,0,0,209,2684408224,209
20161009 16:16:04.037107,0,160,0,0,0,0,0,2814209,0
20161009 16:16:04.037107,0,0,0,208,1,161,0,3516989649,41216
