time,status,n_fib,n_fob,n_fsc,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160804 13:40:35.503836,0,0,0,1,0,0,0,0,0,0,0,0
20160804 13:40:35.511649,0,0,0,1,240,3,240,3,243,243,456179,1781
20160804 13:40:35.519462,0,0,0,1,240,4,240,4,244,244,456180,1781
20160804 13:40:35.527274,0,0,0,1,240,5,240,5,245,245,456181,1781
20160804 13:40:35.535086,0,0,0,1,240,6,240,6,246,246,456182,1781
20160804 13:40:35.542899,0,0,0,1,240,7,240,7,247,247,456183,1781
20160804 13:40:35.550712,0,0,0,1,240,8,240,8,248,248,456184,1781
20160804 13:40:35.558524,0,0,0,1,240,9,240,9,249,249,456185,1781
20160804 13:40:35.566336,0,0,0,1,240,10,240,10,250,250,456186,1781
20160804 13:40:35.574149,0,0,0,1,240,11,240,11,251,251,456187,1781
20160804 13:40:35.581962,0,0,0,1,240,12,240,12,252,252,456188,1781
20160804 13:40:35.589774,0,0,0,1,240,13,240,13,253,253,456189,1781
20160804 13:40:35.597586,0,0,0,1,240,14,240,14,254,254,456190,1781
20160804 13:40:35.605399,0,0,0,1,240,15,240,15,255,255,456191,1781
20160804 13:40:35.613212,0,0,0,1,0,0,0,0,0,0,456192,1782
20160804 13:40:35.621024,0,0,0,1,0,1,0,1,1,1,456193,1782
20160804 13:40:35.628836,0,0,0,1,0,2,0,2,2,2,456194,1782
20160804 13:40:35.636649,0,0,0,1,0,3,0,3,3,3,456195,1782
20160804 13:40:35.644462,0,0,0,1,0,4,0,4,4,4,456196,1782
20160804 13:40:35.652274,0,0,0,1,0,5,0,5,5,5,456197,1782
20160804 13:40:35.660086,0,0,0,1,0,6,0,6,6,6,456198,1782
20160804 13:40:35.667899,0,0,0,1,0,7,0,7,7,7,456199,1782
20160804 13:40:35.675712,0,0,0,1,0,8,0,8,8,8,456200,1782
20160804 13:40:35.683524,0,0,0,1,0,9,0,9,9,9,456201,1782
20160804 13:40:35.691336,0,0,0,1,0,10,0,10,10,10,456202,1782
20160804 13:40:35.699149,0,0,0,1,0,11,0,11,11,11,456203,1782
20160804 13:40:35.706962,0,0,0,1,0,12,0,12,12,12,456204,1782
20160804 13:40:35.714774,0,0,0,1,0,13,0,13,13,13,456205,1782
20160804 13:40:35.722586,0,0,0,1,0,14,0,14,14,14,456206,1782
20160804 13:40:35.730399,0,0,0,1,0,15,0,15,15,15,456207,1782
20160804 13:40:35.738212,0,0,0,1,16,0,16,0,16,16,456208,1782
20160804 13:40:35.746024,0,0,0,1,16,1,16,1,17,17,456209,1782
20160804 13:40:35.753836,0,0,0,1,16,2,16,2,18,18,456210,1782
20160804 13:40:35.761649,0,0,0,1,16,3,16,3,19,19,456211,1782
20160804 13:40:35.769462,0,0,0,1,16,4,16,4,20,20,456212,1782
20160804 13:40:35.777274,0,0,0,1,16,5,16,5,21,21,456213,1782
20160804 13:40:35.785086,0,0,0,1,16,6,16,6,22,22,456214,1782
20160804 13:40:35.792899,0,0,0,1,16,7,16,7,23,23,456215,1782
