time,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20161110 08:27:05.040125,0,240,2,80,4,2,242,1409286144,63
20161110 08:27:05.040125,0,176,10,0,1,0,0,49435906,62037
20161110 08:27:05.040125,0,0,2,240,2,85,0,63,47873
20161110 08:27:05.040125,0,0,0,0,0,2,242,1443033686,754
20161110 08:27:05.040125,0,80,6,0,0,0,0,4176897,0
20161110 08:27:05.040125,0,0,2,240,2,87,2,4065788658,22272
20161110 08:27:05.040125,0,80,0,0,0,0,0,4175361,0
20161110 08:27:05.040125,0,0,2,240,2,81,2,4065395442,20736
20161110 08:27:05.040125,0,0,0,0,0,0,63,3070296064,754
20161110 08:27:05.040125,0,80,2,0,2,242,82,49435136,0
20161110 08:27:05.040125,0,0,0,48,15,184,1,754,21250
20161110 08:27:05.040125,0,240,2,80,3,2,242,1392508928,63
20161110 08:27:05.040125,0,176,9,0,1,0,0,49435650,62036
20161110 08:27:05.040125,0,0,2,240,2,84,0,63,47617
20161110 08:27:05.040125,0,0,0,0,0,2,242,1426256469,754
20161110 08:27:05.040125,0,80,5,0,0,0,0,4176641,0
20161110 08:27:05.040125,0,0,2,240,2,86,2,4065723122,22016
20161110 08:27:05.040125,0,0,0,0,0,0,63,3154182144,754
20161110 08:27:05.040125,0,80,7,0,2,242,87,49436416,0
20161110 08:27:05.040125,0,0,0,48,15,189,1,754,22530
20161110 08:27:05.040125,0,240,2,80,8,2,242,1476395008,63
20161110 08:27:05.040125,0,176,14,0,1,0,0,49436930,62041
20161110 08:27:05.040125,0,0,2,240,2,89,0,63,48897
20161110 08:27:05.040125,0,0,0,0,0,2,242,1510142554,754
20161110 08:27:05.040125,0,80,10,0,0,0,0,4177921,0
20161110 08:27:05.040125,0,0,2,240,2,91,2,4066050802,23296
20161110 08:27:05.040125,0,0,0,0,0,0,63,3238068224,754
20161110 08:27:05.040125,0,80,12,0,2,242,92,49437696,0
20161110 08:27:05.040125,0,0,0,48,15,194,1,754,23810
20161110 08:27:05.040125,0,240,2,80,13,2,242,1560281088,63
20161110 08:27:05.040125,0,192,3,0,1,0,0,49438210,62046
20161110 08:27:05.040125,0,0,2,240,2,94,0,63,50177
20161110 08:27:05.040125,0,0,0,0,0,2,242,1594028639,754
20161110 08:27:05.040125,0,80,15,0,0,0,0,4179201,0
20161110 08:27:05.040125,0,0,2,240,2,96,2,4066378482,24576
20161110 08:27:05.040125,0,0,0,0,0,0,63,3321954304,754
20161110 08:27:05.040125,0,96,1,0,2,242,97,49438976,0
20161110 08:27:05.040125,0,0,0,48,15,199,1,754,25090
20161110 08:27:05.040125,0,240,2,96,2,2,242,1644167168,63
20161110 08:27:05.040125,0,192,8,0,1,0,0,49439490,62051
20161110 08:27:05.040125,0,0,2,240,2,99,0,63,51457
20161110 08:27:05.040125,0,0,0,0,0,2,242,1677914724,754
20161110 08:27:05.040125,0,96,4,0,0,0,0,4180481,0
20161110 08:27:05.040125,0,0,2,240,2,101,2,4066706162,25856
20161110 08:27:05.040125,0,0,0,0,0,0,63,3405840384,754
20161110 08:27:05.040125,0,96,6,0,2,242,102,49440256,0
20161110 08:27:05.040125,0,0,0,48,15,204,1,754,26370
20161110 08:27:05.040125,0,240,2,96,7,2,242,1728053248,63
20161110 08:27:05.040125,0,192,13,0,1,0,0,49440770,62056
20161110 08:27:05.040125,0,0,2,240,2,104,0,63,52737
20161110 08:27:05.040125,0,0,0,0,0,2,242,1761800809,754
20161110 08:27:05.040125,0,96,9,0,0,0,0,4181761,0
20161110 08:27:05.040125,0,0,2,240,2,106,2,4067033842,27136
20161110 08:27:05.040125,0,0,0,0,0,0,63,3489726464,754
20161110 08:27:05.040125,0,96,11,0,2,242,107,49441536,0
20161110 08:27:05.040125,0,0,0,48,15,209,1,754,27650
20161110 08:27:05.040125,0,240,2,96,12,2,242,1811939328,63
20161110 08:27:05.040125,0,208,2,0,1,0,0,49442050,62061
20161110 08:27:05.040125,0,0,2,240,2,109,0,63,54017
20161110 08:27:05.040125,0,0,0,0,0,2,242,1845686894,754
20161110 08:27:05.040125,0,96,14,0,0,0,0,4183041,0
20161110 08:27:05.040125,0,0,2,240,2,111,2,4067361522,28416
20161110 08:27:05.040125,0,0,0,0,0,0,63,3573612544,754
20161110 08:27:05.040125,0,112,0,0,2,242,112,49442816,0
20161110 08:27:05.040125,0,0,0,48,15,214,1,754,28930
20161110 08:27:05.040125,0,240,2,112,1,2,242,1895825408,63
20161110 08:27:05.040125,0,208,7,0,1,0,0,49443330,62066
20161110 08:27:05.040125,0,0,2,240,2,114,0,63,55297
20161110 08:27:05.040125,0,0,0,0,0,2,242,1929572979,754
20161110 08:27:05.040125,0,112,3,0,0,0,0,4184321,0
20161110 08:27:05.040125,0,0,2,240,2,116,2,4067689202,29696
20161110 08:27:05.040125,0,0,0,0,0,0,63,3657498624,754
20161110 08:27:05.040125,0,112,5,0,2,242,117,49444096,0
20161110 08:27:05.040125,0,0,0,48,15,219,1,754,30210
20161110 08:27:05.040125,0,240,2,112,6,2,242,1979711488,63
20161110 08:27:05.040125,0,208,12,0,1,0,0,49444610,62071
20161110 08:27:05.040125,0,0,2,240,2,119,0,63,56577
20161110 08:27:05.040125,0,0,0,0,0,2,242,2013459064,754
20161110 08:27:05.040125,0,112,8,0,0,0,0,4185601,0
20161110 08:27:05.040125,0,0,2,240,2,121,2,4068016882,30976
20161110 08:27:05.040125,0,0,0,0,0,0,63,3741384704,754
20161110 08:27:05.040125,0,112,10,0,2,242,122,49445376,0
20161110 08:27:05.040125,0,0,0,48,15,224,1,754,31490
20161110 08:27:05.040125,0,240,2,112,11,2,242,2063597568,63
20161110 08:27:05.040125,0,224,1,0,1,0,0,49445890,62076
20161110 08:27:05.040125,0,0,2,240,2,124,0,63,57857
20161110 08:27:05.040125,0,0,0,0,0,2,242,2097345149,754
20161110 08:27:05.040125,0,112,13,0,0,0,0,4186881,0
20161110 08:27:05.040125,0,0,2,240,2,126,2,4068344562,32256
20161110 08:27:05.040125,0,0,0,0,0,0,63,3825270784,754
20161110 08:27:05.040125,0,112,15,0,2,242,127,49446656,0
20161110 08:27:05.040125,0,0,0,48,15,229,1,754,32770
20161110 08:27:05.040125,0,240,2,128,0,2,242,2147483648,63
20161110 08:27:05.040125,0,224,6,0,1,0,0,49447170,62081
20161110 08:27:05.040125,0,0,2,240,2,129,0,63,59137
20161110 08:27:05.040125,0,0,0,0,0,2,242,2181231234,754
20161110 08:27:05.040125,0,128,2,0,0,0,0,4188161,0
20161110 08:27:05.040125,0,0,2,240,2,131,2,4068672242,33536
20161110 08:27:05.040125,0,0,0,0,0,0,63,3909156864,754
20161110 08:27:05.040125,0,128,4,0,2,242,132,49447936,0
20161110 08:27:05.040125,0,0,0,48,15,234,1,754,34050
20161110 08:27:05.040125,0,240,2,128,5,2,242,2231369728,63
20161110 08:27:05.040125,0,224,11,0,1,0,0,49448450,62086
20161110 08:27:05.040125,0,0,2,240,2,134,0,63,60417
20161110 08:27:05.040125,0,0,0,0,0,2,242,2265117319,754
20161110 08:27:05.040125,0,128,7,0,0,0,0,4189441,0
20161110 08:27:05.040125,0,0,2,240,2,136,2,4068999922,34816
20161110 08:27:05.040125,0,0,0,0,0,0,63,3993042944,754
20161110 08:27:05.040125,0,128,9,0,2,242,137,49449216,0
20161110 08:27:05.040125,0,0,0,48,15,239,1,754,35330
20161110 08:27:05.040125,0,240,2,128,10,2,242,2315255808,63
20161110 08:27:05.040125,0,240,0,0,1,0,0,49449730,62091
20161110 08:27:05.040125,0,0,2,240,2,139,0,63,61697
20161110 08:27:05.040125,0,0,0,0,0,2,242,2349003404,754
20161110 08:27:05.040125,0,128,12,0,0,0,0,4190721,0
20161110 08:27:05.040125,0,0,2,240,2,141,2,4069327602,36096
20161110 08:27:05.040125,0,0,0,0,0,0,63,4076929024,754
20161110 08:27:05.040125,0,128,14,0,2,242,142,49450496,0
20161110 08:27:05.040125,0,0,0,48,15,244,1,754,36610
20161110 08:27:05.040125,0,240,2,128,15,2,242,2399141888,63
20161110 08:27:05.040125,0,240,5,0,1,0,0,49451010,62096
20161110 08:27:05.040125,0,0,2,240,2,144,0,63,62977
20161110 08:27:05.040125,0,0,0,0,0,2,242,2432889489,754
20161110 08:27:05.040125,0,144,1,0,0,0,0,4192001,0
20161110 08:27:05.040125,0,0,2,240,2,146,2,4069655282,37376
20161110 08:27:05.040125,0,0,0,0,0,0,63,4160815104,754
20161110 08:27:05.040125,0,144,3,0,2,242,147,49451776,0
20161110 08:27:05.040125,0,0,0,48,15,249,1,754,37890
20161110 08:27:05.040125,0,240,2,144,4,2,242,2483027968,63
20161110 08:27:05.040125,0,240,10,0,1,0,0,49452290,62101
20161110 08:27:05.040125,0,0,2,240,2,149,0,63,64257
20161110 08:27:05.040125,0,0,0,0,0,2,242,2516775574,754
20161110 08:27:05.040125,0,144,6,0,0,0,0,4193281,0
20161110 08:27:05.040125,0,0,2,240,2,151,2,4069982962,38656
20161110 08:27:05.040125,0,0,0,0,0,0,63,4244701184,754
20161110 08:27:05.040125,0,144,8,0,2,242,152,49453056,0
20161110 08:27:05.040125,0,0,0,48,15,254,1,754,39170
20161110 08:27:05.040125,0,240,2,144,9,2,242,2566914048,63
20161110 08:27:05.040125,0,240,15,0,1,0,0,49453570,62106
20161110 08:27:05.040125,0,0,2,240,2,154,0,64,1
20161110 08:27:05.040125,0,0,0,0,0,2,242,2600661659,754
20161110 08:27:05.040125,0,144,11,0,0,0,0,4194561,0
20161110 08:27:05.040125,0,0,2,240,2,156,2,4070310642,39936
20161110 08:27:05.040125,0,0,0,0,0,0,64,33619968,754
20161110 08:27:05.040125,0,144,13,0,2,242,157,49454336,0
20161110 08:27:05.040125,0,0,0,64,0,3,1,754,40450
20161110 08:27:05.040125,0,240,2,144,14,2,242,2650800128,64
20161110 08:27:05.040125,0,0,4,0,1,0,0,49454850,62111
20161110 08:27:05.040125,0,0,2,240,2,159,0,64,1281
20161110 08:27:05.040125,0,0,0,0,0,2,242,2684547744,754
20161110 08:27:05.040125,0,160,0,0,0,0,0,4195841,0
20161110 08:27:05.040125,0,0,2,240,2,161,2,4070638322,41216
20161110 08:27:05.040125,0,0,0,0,0,0,64,117506048,754
20161110 08:27:05.040125,0,160,2,0,2,242,162,49455616,0
20161110 08:27:05.040125,0,0,0,64,0,8,1,754,41730
20161110 08:27:05.040125,0,240,2,160,3,2,242,2734686208,64
20161110 08:27:05.040125,0,0,9,0,1,0,0,49456130,62116
20161110 08:27:05.040125,0,0,2,240,2,164,0,64,2561
20161110 08:27:05.040125,0,0,0,0,0,2,242,2768433829,754
20161110 08:27:05.040125,0,160,5,0,0,0,0,4197121,0
20161110 08:27:05.040125,0,0,2,240,2,166,2,4070966002,42496
20161110 08:27:05.040125,0,0,0,0,0,0,64,201392128,754
20161110 08:27:05.040125,0,160,7,0,2,242,167,49456896,0
20161110 08:27:05.040125,0,0,0,64,0,13,1,754,43010
20161110 08:27:05.040125,0,240,2,160,8,2,242,2818572288,64
20161110 08:27:05.040125,0,0,14,0,1,0,0,49457410,62121
20161110 08:27:05.040125,0,0,2,240,2,169,0,64,3841
20161110 08:27:05.040125,0,0,0,0,0,2,242,2852319914,754
20161110 08:27:05.040125,0,160,10,0,0,0,0,4198401,0
20161110 08:27:05.040125,0,0,2,240,2,171,2,4071293682,43776
20161110 08:27:05.040125,0,0,0,0,0,0,64,285278208,754
20161110 08:27:05.040125,0,160,12,0,2,242,172,49458176,0
20161110 08:27:05.040125,0,0,0,64,0,18,1,754,44290
20161110 08:27:05.040125,0,240,2,160,13,2,242,2902458368,64
20161110 08:27:05.040125,0,16,3,0,1,0,0,49458690,62126
20161110 08:27:05.040125,0,0,2,240,2,174,0,64,5121
20161110 08:27:05.040125,0,0,0,0,0,2,242,2936205999,754
20161110 08:27:05.040125,0,160,15,0,0,0,0,4199681,0
20161110 08:27:05.040125,0,0,2,240,2,176,2,4071621362,45056
20161110 08:27:05.040125,0,0,0,0,0,0,64,369164288,754
20161110 08:27:05.040125,0,176,1,0,2,242,177,49459456,0
20161110 08:27:05.040125,0,0,0,64,0,23,1,754,45570
20161110 08:27:05.040125,0,240,2,176,2,2,242,2986344448,64
20161110 08:27:05.040125,0,16,8,0,1,0,0,49459970,62131
20161110 08:27:05.040125,0,0,2,240,2,179,0,64,6401
20161110 08:27:05.040125,0,0,0,0,0,2,242,3020092084,754
20161110 08:27:05.040125,0,176,4,0,0,0,0,4200961,0
20161110 08:27:05.040125,0,0,2,240,2,181,2,4071949042,46336
20161110 08:27:05.040125,0,0,0,0,0,0,64,453050368,754
20161110 08:27:05.040125,0,176,6,0,2,242,182,49460736,0
20161110 08:27:05.040125,0,0,0,64,0,28,1,754,46850
20161110 08:27:05.040125,0,240,2,176,7,2,242,3070230528,64
20161110 08:27:05.040125,0,16,13,0,1,0,0,49461250,62136
20161110 08:27:05.040125,0,0,2,240,2,184,0,64,7681
20161110 08:27:05.040125,0,0,0,0,0,2,242,3103978169,754
20161110 08:27:05.040125,0,176,9,0,0,0,0,4202241,0
20161110 08:27:05.040125,0,0,2,240,2,186,2,4072276722,47616
20161110 08:27:05.040125,0,0,0,0,0,0,64,536936448,754
20161110 08:27:05.040125,0,176,11,0,2,242,187,49462016,0
20161110 08:27:05.040125,0,0,0,64,0,33,1,754,48130
20161110 08:27:05.040125,0,240,2,176,12,2,242,3154116608,64
20161110 08:27:05.040125,0,32,2,0,1,0,0,49462530,62141
20161110 08:27:05.040125,0,0,2,240,2,189,0,64,8961
20161110 08:27:05.040125,0,0,0,0,0,2,242,3187864254,754
20161110 08:27:05.040125,0,176,14,0,0,0,0,4203521,0
20161110 08:27:05.040125,0,0,2,240,2,191,2,4072604402,48896
20161110 08:27:05.040125,0,0,0,0,0,0,64,620822528,754
20161110 08:27:05.040125,0,192,0,0,2,242,192,49463296,0
20161110 08:27:05.040125,0,0,0,64,0,38,1,754,49410
20161110 08:27:05.040125,0,240,2,192,1,2,242,3238002688,64
20161110 08:27:05.040125,0,32,7,0,1,0,0,49463810,62146
20161110 08:27:05.040125,0,0,2,240,2,194,0,64,10241
20161110 08:27:05.040125,0,0,0,0,0,2,242,3271750339,754
20161110 08:27:05.040125,0,192,3,0,0,0,0,4204801,0
20161110 08:27:05.040125,0,0,2,240,2,196,2,4072932082,50176
20161110 08:27:05.040125,0,0,0,0,0,0,64,704708608,754
20161110 08:27:05.040125,0,192,5,0,2,242,197,49464576,0
20161110 08:27:05.040125,0,0,0,64,0,43,1,754,50690
20161110 08:27:05.040125,0,240,2,192,6,2,242,3321888768,64
20161110 08:27:05.040125,0,32,12,0,1,0,0,49465090,62151
20161110 08:27:05.040125,0,0,2,240,2,199,0,64,11521
20161110 08:27:05.040125,0,0,0,0,0,2,242,3355636424,754
20161110 08:27:05.040125,0,192,8,0,0,0,0,4206081,0
20161110 08:27:05.040125,0,0,2,240,2,201,2,4073259762,51456
20161110 08:27:05.040125,0,0,0,0,0,0,64,788594688,754
20161110 08:27:05.040125,0,192,10,0,2,242,202,49465856,0
20161110 08:27:05.040125,0,0,0,64,0,48,1,754,51970
20161110 08:27:05.040125,0,240,2,192,11,2,242,3405774848,64
20161110 08:27:05.040125,0,48,1,0,1,0,0,49466370,62156
20161110 08:27:05.040125,0,0,2,240,2,204,0,64,12801
20161110 08:27:05.040125,0,0,0,0,0,2,242,3439522509,754
20161110 08:27:05.040125,0,192,13,0,0,0,0,4207361,0
20161110 08:27:05.040125,0,0,2,240,2,206,2,4073587442,52736
20161110 08:27:05.040125,0,0,0,0,0,0,64,872480768,754
20161110 08:27:05.040125,0,192,15,0,2,242,207,49467136,0
20161110 08:27:05.040125,0,0,0,64,0,53,1,754,53250
20161110 08:27:05.040125,0,240,2,208,0,2,242,3489660928,64
20161110 08:27:05.040125,0,48,6,0,1,0,0,49467650,62161
20161110 08:27:05.040125,0,0,2,240,2,209,0,64,14081
20161110 08:27:05.040125,0,0,0,0,0,2,242,3523408594,754
20161110 08:27:05.040125,0,208,2,0,0,0,0,4208641,0
20161110 08:27:05.040125,0,0,2,240,2,211,2,4073915122,54016
