time,status,sensor temperature controller,laser temperature controller,laser current controller,microwave reference controller,zeeman_controller,science_data_id,science_data,time_stamp
20160810 15:48:33.218214,0,240,0,240,0,240,240,30448,118
20160810 15:48:33.226027,0,240,1,240,1,241,241,30449,118
20160810 15:48:33.233839,0,240,2,240,2,242,242,30450,118
20160810 15:48:33.241651,0,240,3,240,3,243,243,30451,118
20160810 15:48:33.249464,0,240,4,240,4,244,244,30452,118
20160810 15:48:33.257277,0,240,5,240,5,245,245,30453,118
20160810 15:48:33.265089,0,240,6,240,6,246,246,30454,118
20160810 15:48:33.272901,0,240,7,240,7,247,247,30455,118
20160810 15:48:33.280714,0,240,8,240,8,248,248,30456,118
20160810 15:48:33.288527,0,240,9,240,9,249,249,30457,118
20160810 15:48:33.296339,0,240,10,240,10,250,250,30458,118
20160810 15:48:33.304151,0,240,11,240,11,251,251,30459,118
20160810 15:48:33.311964,0,240,12,240,12,252,252,30460,118
20160810 15:48:33.319777,0,240,13,240,13,253,253,30461,118
20160810 15:48:33.327589,0,240,14,240,14,254,254,30462,118
20160810 15:48:33.335401,0,240,15,240,15,255,255,30463,118
20160810 15:48:33.343214,0,0,0,0,0,0,0,30464,119
20160810 15:48:33.351027,0,0,1,0,1,1,1,30465,119
20160810 15:48:33.358839,0,0,2,0,2,2,2,30466,119
20160810 15:48:33.366651,0,0,3,0,3,3,3,30467,119
20160810 15:48:33.374464,0,0,4,0,4,4,4,30468,119
20160810 15:48:33.382277,0,0,5,0,5,5,5,30469,119
20160810 15:48:33.390089,0,0,6,0,6,6,6,30470,119
20160810 15:48:33.397901,0,0,7,0,7,7,7,30471,119
20160810 15:48:33.405714,0,0,8,0,8,8,8,30472,119
20160810 15:48:33.413527,0,0,9,0,9,9,9,30473,119
20160810 15:48:33.421339,0,0,10,0,10,10,10,30474,119
20160810 15:48:33.429151,0,0,11,0,11,11,11,30475,119
20160810 15:48:33.436964,0,0,12,0,12,12,12,30476,119
20160810 15:48:33.444777,0,0,13,0,13,13,13,30477,119
20160810 15:48:33.452589,0,0,14,0,14,14,14,30478,119
20160810 15:48:33.460401,0,0,15,0,15,15,15,30479,119
20160810 15:48:33.468214,0,16,0,16,0,16,16,30480,119
20160810 15:48:33.476027,0,16,1,16,1,17,17,30481,119
20160810 15:48:33.483839,0,16,2,16,2,18,18,30482,119
20160810 15:48:33.491651,0,16,3,16,3,19,19,30483,119
20160810 15:48:33.499464,0,16,4,16,4,20,20,30484,119
20160810 15:48:33.507277,0,16,5,16,5,21,21,30485,119
20160810 15:48:33.515089,0,16,6,16,6,22,22,30486,119
20160810 15:48:33.522901,0,16,7,16,7,23,23,30487,119
20160810 15:48:33.530714,0,16,8,16,8,24,24,30488,119
20160810 15:48:33.538527,0,16,9,16,9,25,25,30489,119
20160810 15:48:33.546339,0,16,10,16,10,26,26,30490,119
20160810 15:48:33.554151,0,16,11,16,11,27,27,30491,119
20160810 15:48:33.561964,0,16,12,16,12,28,28,30492,119
20160810 15:48:33.569777,0,16,13,16,13,29,29,30493,119
20160810 15:48:33.577589,0,16,14,16,14,30,30,30494,119
20160810 15:48:33.585401,0,16,15,16,15,31,31,30495,119
20160810 15:48:33.593214,0,32,0,32,0,32,32,30496,119
20160810 15:48:33.601027,0,32,1,32,1,33,33,30497,119
20160810 15:48:33.608839,0,32,2,32,2,34,34,30498,119
20160810 15:48:33.616651,0,32,3,32,3,35,35,30499,119
20160810 15:48:33.624464,0,32,4,32,4,36,36,30500,119
20160810 15:48:33.632277,0,32,5,32,5,37,37,30501,119
20160810 15:48:33.640089,0,32,6,32,6,38,38,30502,119
20160810 15:48:33.647901,0,32,7,32,7,39,39,30503,119
20160810 15:48:33.655714,0,32,8,32,8,40,40,30504,119
20160810 15:48:33.663527,0,32,9,32,9,41,41,30505,119
20160810 15:48:33.671339,0,32,10,32,10,42,42,30506,119
20160810 15:48:33.679151,0,32,11,32,11,43,43,30507,119
20160810 15:48:33.686964,0,32,12,32,12,44,44,30508,119
20160810 15:48:33.694777,0,32,13,32,13,45,45,30509,119
20160810 15:48:33.702589,0,32,14,32,14,46,46,30510,119
20160810 15:48:33.710401,0,32,15,32,15,47,47,30511,119
20160810 15:48:33.718214,0,48,0,48,0,48,48,30512,119
20160810 15:48:33.726027,0,48,1,48,1,49,49,30513,119
20160810 15:48:33.733839,0,48,2,48,2,50,50,30514,119
20160810 15:48:33.741651,0,48,3,48,3,51,51,30515,119
20160810 15:48:33.749464,0,48,4,48,4,52,52,30516,119
20160810 15:48:33.757277,0,48,5,48,5,53,53,30517,119
20160810 15:48:33.765089,0,48,6,48,6,54,54,30518,119
20160810 15:48:33.772901,0,48,7,48,7,55,55,30519,119
20160810 15:48:33.780714,0,48,8,48,8,56,56,30520,119
20160810 15:48:33.788527,0,48,9,48,9,57,57,30521,119
20160810 15:48:33.796339,0,48,10,48,10,58,58,30522,119
20160810 15:48:33.804151,0,48,11,48,11,59,59,30523,119
20160810 15:48:33.811964,0,48,12,48,12,60,60,30524,119
20160810 15:48:33.819777,0,48,13,48,13,61,61,30525,119
20160810 15:48:33.827589,0,48,14,48,14,62,62,30526,119
20160810 15:48:33.835401,0,48,15,48,15,63,63,30527,119
20160810 15:48:33.843214,0,64,0,64,0,64,64,30528,119
20160810 15:48:33.851027,0,64,1,64,1,65,65,30529,119
20160810 15:48:33.858839,0,64,2,64,2,66,66,30530,119
20160810 15:48:33.866651,0,64,3,64,3,67,67,30531,119
20160810 15:48:33.874464,0,64,4,64,4,68,68,30532,119
20160810 15:48:33.882277,0,64,5,64,5,69,69,30533,119
20160810 15:48:33.890089,0,64,6,64,6,70,70,30534,119
20160810 15:48:33.897901,0,64,7,64,7,71,71,30535,119
20160810 15:48:33.905714,0,64,8,64,8,72,72,30536,119
20160810 15:48:33.913527,0,64,9,64,9,73,73,30537,119
20160810 15:48:33.921339,0,64,10,64,10,74,74,30538,119
20160810 15:48:33.929151,0,64,11,64,11,75,75,30539,119
20160810 15:48:33.936964,0,64,12,64,12,76,76,30540,119
20160810 15:48:33.944777,0,64,13,64,13,77,77,30541,119
20160810 15:48:33.952589,0,64,14,64,14,78,78,30542,119
20160810 15:48:33.960401,0,64,15,64,15,79,79,30543,119
20160810 15:48:33.968214,0,80,0,80,0,80,80,30544,119
20160810 15:48:33.976027,0,80,1,80,1,81,81,30545,119
20160810 15:48:33.983839,0,80,2,80,2,82,82,30546,119
