time,status,x,y,z
20161018 05:58:29.537946,0,-3,65536,0
20160813 15:34:29.530134,0,0,0,11860
20160813 15:34:29.530134,0,511,-1,-458496
20160813 15:34:29.530134,0,0,46,5570560
20160813 15:34:29.530134,0,-1,-65279,0
20160813 15:34:29.530134,0,0,3036672,511
20160813 15:34:29.530134,0,-7,65536,0
20160813 15:34:29.530134,0,11863,1,-1
20160813 15:34:29.530134,0,-458496,0,0
20160813 15:34:29.530134,0,5767168,131071,-255
20160813 15:34:29.530134,0,0,0,11865
20160813 15:34:29.530134,0,511,-1,-458496
20160813 15:34:29.530134,0,0,46,5898240
20160813 15:34:29.530134,0,-1,-767,0
20160813 15:34:29.530134,0,0,3037952,511
20160813 15:34:29.530134,0,-3,65536,0
20160813 15:34:29.530134,0,11868,1,-1
20160813 15:34:29.530134,0,-196352,0,0
20160813 15:34:29.530134,0,6094848,131071,-3
20160813 15:34:29.530134,0,0,0,11870
20160813 15:34:29.530134,0,511,-1,-196352
20160813 15:34:29.530134,0,0,46,6225920
20160813 15:34:29.530134,0,-1,-131839,0
20160813 15:34:29.530134,0,0,3039232,511
20160813 15:34:29.530134,0,-3,65536,0
20160813 15:34:29.530134,0,11873,1,-1
20160813 15:34:29.530134,0,-196352,0,0
20160813 15:34:29.530134,0,6422528,131071,-3
20160813 15:34:29.530134,0,0,0,11875
20160813 15:34:29.530134,0,511,-1,-196352
20160813 15:34:29.530134,0,0,46,6553600
20160813 15:34:29.530134,0,-1,-767,0
20160813 15:34:29.530134,0,0,3040512,511
20160813 15:34:29.530134,0,-3,65536,0
20160813 15:34:29.530134,0,11878,1,-1
20160813 15:34:29.530134,0,-196352,0,0
20160813 15:34:29.530134,0,6750208,131071,-3
20160813 15:34:29.530134,0,0,0,11880
20160813 15:34:29.530134,0,511,-1,-196352
20160813 15:34:29.530134,0,0,46,6881280
20160813 15:34:29.530134,0,-1,-16127,0
20160813 15:34:29.530134,0,0,3041792,511
20160813 15:34:29.530134,0,-7,65536,0
20160813 15:34:29.530134,0,11883,1,-1
20160813 15:34:29.530134,0,-458496,0,0
20160813 15:34:29.530134,0,7077888,131071,-255
20160813 15:34:29.530134,0,0,0,11885
20160813 15:34:29.530134,0,511,-1,-458496
20160813 15:34:29.530134,0,0,46,7208960
20160813 15:34:29.530134,0,-1,-767,0
20160813 15:34:29.530134,0,0,3043072,511
20160813 15:34:29.530134,0,-3,65536,0
20160813 15:34:29.530134,0,11888,1,-1
20160813 15:34:29.530134,0,-196352,0,0
20160813 15:34:29.530134,0,7405568,131071,-3
20160813 15:34:29.530134,0,0,0,11890
20160813 15:34:29.530134,0,511,-1,-196352
20160813 15:34:29.530134,0,0,46,7536640
20160813 15:34:29.530134,0,-1,-767,0
20160813 15:34:29.530134,0,0,3044352,511
20160813 15:34:29.530134,0,-3,65536,0
20160813 15:34:29.530134,0,11893,1,-1
20160813 15:34:29.530134,0,-196352,0,0
20160813 15:34:29.530134,0,7733248,131071,-3
20160813 15:34:29.530134,0,0,0,11895
20160813 15:34:29.530134,0,511,-1,-196352
20160813 15:34:29.530134,0,0,46,7864320
20160813 15:34:29.530134,0,-1,-767,0
20160813 15:34:29.530134,0,0,3045632,511
20160813 15:34:29.530134,0,-3,65536,0
